No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s˛]","ay [m/s˛]","az [m/s˛]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
208,2020/02/04,16:32:58,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Jared White",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Called Strike",,,,,,,34.602,-0.268,-1.947,1800.00,241.412,2:0,1.757,-0.693,1.462,-1.166,0.056,0.087,0.514,-0.218,31.710,-8.691,-1.313,0.502,,,,,,,,,,,,-0.060,0.038,-0.635,15.240,1.737,1.130,-34.255,-0.628,-0.911,6.462,-9.221,"Coe College","Coe College",,,,,{9D74DF8C-234E-4C46-ADFC-3BD950A627B6},-0.218,0.514
209,2020/02/04,16:33:36,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Jared White",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.300,0.457,-2.384,2410.00,17.621,6:30,1.891,-0.744,1.423,-1.629,-0.220,-0.139,0.394,0.085,29.660,-11.260,-3.395,0.541,,,,,,,,,,,,0.053,-0.104,-0.669,15.240,1.888,1.382,-31.940,-0.361,0.701,5.976,-11.180,"Coe College","Coe College",,,,,{803EB277-32DB-419C-9C6F-F0985E036972},0.085,0.394
210,2020/02/04,16:33:52,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Jared White",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,36.701,-0.377,-1.873,2316.00,185.233,12:15,1.714,-0.735,1.566,-0.805,0.267,-0.027,0.801,-0.171,33.439,-6.248,-2.067,0.470,30.609,24.826,29.300,,,,,53.139,,,2.337,0.000,0.150,-0.681,15.240,1.696,1.199,-36.351,-0.565,-0.001,7.357,-7.222,"Coe College","Coe College",,,,,{25A24B8A-1B94-4827-B2B7-F3C9E943958D},-0.171,0.801
211,2020/02/04,16:34:27,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,31.993,-0.700,-2.888,2355.00,349.908,5:45,1.805,-0.770,1.451,-1.589,-0.156,-0.065,0.013,0.130,29.565,-12.084,-3.357,0.545,,,,,,,,,,,,0.011,-0.065,-0.681,15.240,1.767,1.620,-31.638,-0.977,0.149,5.674,-10.647,"Coe College","Coe College",,,,,{C7597C5B-77C4-4936-AF62-F188A2E96D66},0.130,0.013
212,2020/02/04,16:34:47,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.113,-1.131,-1.051,2216.00,207.951,1:0,1.734,-0.654,1.681,-0.899,0.192,0.100,0.513,-0.455,32.704,-7.751,-0.306,0.477,,,,,,,,,,,,-0.062,0.124,-0.627,15.240,1.697,0.619,-35.773,-1.041,-1.026,7.753,-7.757,"Coe College","Coe College",,,,,{F60B7169-171C-4AC9-8AAF-FF1DBA6C5CDB},-0.455,0.513
213,2020/02/04,16:35:08,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.331,-0.151,-2.568,2288.00,142.032,10:45,1.731,-0.727,1.560,-0.955,0.140,-0.208,0.733,0.219,32.980,-7.121,-4.093,0.477,,,,,,,,,,,,0.089,0.086,-0.651,15.240,1.718,1.695,-35.947,-0.475,1.484,7.652,-8.367,"Coe College","Coe College",,,,,{4B1D5A26-4FB0-456C-9D47-8E8DBB2EF841},0.219,0.733
214,2020/02/04,16:35:26,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,31.865,-0.786,-2.330,2582.00,1.206,6:0,1.844,-0.774,1.320,-1.784,-0.317,-0.079,,,29.404,-13.471,-2.904,,,,,,,,,,,,,0.022,-0.141,-0.696,15.240,1.798,1.312,-31.484,-1.126,0.277,5.932,-11.603,"Coe College","Coe College",,,,,{10490A89-D97F-4B44-9E6C-D843617DA9BD},-0.015,-0.169
215,2020/02/04,16:35:47,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.260,-0.926,-1.740,2304.00,164.322,11:30,1.775,-0.700,1.524,-1.003,0.100,-0.096,0.505,-0.103,32.925,-8.232,-2.445,0.479,,,,,,,,,,,,0.036,0.072,-0.648,15.240,1.739,1.129,-35.881,-0.987,0.603,7.684,-8.614,"Coe College","Coe College",,,,,{9A5AA3AC-245F-4EA3-AF07-A78420848328},-0.103,0.505
216,2020/02/04,16:36:10,0,0,"Quintin Berglund",{51691E19-0D1A-4763-B2BF-CED6BF1A67E1},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,,,"Contact Out",,,,,,,36.517,0.210,-2.720,2310.00,100.031,9:15,1.732,-0.781,1.503,-1.088,0.004,-0.178,0.705,0.181,33.248,-7.692,-4.016,0.476,,,,,,,,,,,,0.072,0.011,-0.699,15.240,1.728,1.789,-36.121,-0.317,1.208,7.577,-9.629,"Coe College","Coe College",,,,,{AB178F17-1454-4FF6-956D-1823AA7C11F4},0.181,0.705
217,2020/02/04,16:39:09,0,0,"Jake Schmit",{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,"Coe College","Luke Smailes",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,34.073,-1.209,-0.726,1773.00,239.166,2:0,1.836,-0.682,2.071,-1.153,0.012,0.085,0.347,-0.565,31.322,-9.828,-0.087,0.491,,,,,,,,,,,,-0.053,0.026,-0.668,15.240,1.807,0.406,-33.846,-1.032,-0.784,6.519,-9.426,"Coe College","Coe College",,,,,{AAC5759E-5C6D-4211-92A0-241A55D116DF},-0.565,0.347
