Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
Patrick Brown,DBQ,0.167,16,13,36,3,6,1,0,0,1,7,0.194,6,0,8,0,0.286,0,2,0,1,2003
Nick Poch,CEN,0.167,2,2,6,0,1,0,0,0,0,1,0.167,0,0,4,1,0.167,0,0,1,1,2003
David Issacson,SIM,0.162,17,11,37,4,6,1,0,0,2,7,0.189,1,1,11,1,0.205,0,1,2,2,2003
Adam Sires,UIU,0.16,18,14,50,7,8,3,0,0,5,11,0.22,1,3,15,0,0.222,0,2,3,4,2003
Eric Blaser,COE,0.158,20,15,38,6,6,0,1,0,3,8,0.211,9,3,11,1,0.36,0,0,5,7,2003
Dennis Brodbeck,LUT,0.156,13,11,32,4,5,3,0,0,5,8,0.25,4,0,12,0,0.25,0,0,0,0,2003
Ryan Page,DBQ,0.125,3,3,8,1,1,0,0,0,0,1,0.125,0,0,3,1,0.125,0,0,0,0,2003
Damon Scholl,WAR,0.125,5,2,8,1,1,0,0,0,1,1,0.125,1,0,1,0,0.222,0,1,0,0,2003
Dave Manion,UIU,0.091,6,6,11,0,1,0,0,0,0,1,0.091,0,0,2,0,0.091,0,3,0,0,2003
Mark Becker,DBQ,0,11,3,13,2,0,0,0,0,0,0,0,4,1,5,1,0.278,0,0,0,2,2003
Jared Miller,SIM,0,4,3,10,0,0,0,0,0,0,0,0,1,0,1,0,0.091,0,0,0,0,2003
Brodie Gilligan,LOR,0,8,3,10,0,0,0,0,0,0,0,0,1,0,7,0,0.091,0,0,0,0,2003
JD Hews,SIM,0,6,1,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2003
Seth Shepherd,SIM,0,4,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2003
Ricky Legree,COR,0,9,1,5,2,0,0,0,0,0,0,0,2,1,1,0,0.375,0,0,1,1,2003
John Robichaud,DBQ,0,6,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Nick Price,BVU,0,2,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2003
Justin Stoulil,SIM,0,4,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2003
Scott McCarty,SIM,0,4,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2003
Kent Bass,BVU,0,7,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Mike Droste,UIU,0,3,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0.25,0,0,0,0,2003
Spencer Jones,LUT,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Ben Gabriel,DBQ,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2003
Adam Klaren,LUT,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Ben Ecker,DBQ,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Mark Guy,LUT,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Mike Wieseler,COE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2003
Dan Latimer,COR,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2003
