Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
Blake Wilson,WAR,0.367,42,40,158,28,58,11,1,2,29,77,0.487,7,2,20,3,0.396,2,0,1,2,2012
Chris Erikson,LUT,0.36,40,37,139,18,50,7,2,0,26,61,0.439,3,7,13,3,0.403,0,0,0,1,2012
Zach Rogers,COR,0.358,40,40,134,22,48,9,2,4,24,73,0.545,15,4,16,5,0.427,4,0,6,6,2012
Nick Stein,COE,0.355,46,46,166,43,59,12,4,7,37,100,0.602,31,7,16,1,0.466,4,0,20,23,2012
Ryan Scheetz,BVU,0.352,43,43,165,29,58,9,0,4,33,79,0.479,14,2,10,2,0.402,3,0,2,3,2012
Andrew Krehbiel,WAR,0.352,43,42,165,31,58,11,1,0,24,71,0.43,10,3,13,0,0.399,0,3,6,11,2012
Sean Raisch,COE,0.347,41,41,147,32,51,14,1,8,44,91,0.619,15,4,16,1,0.412,4,1,2,2,2012
Ryan Powers,WAR,0.344,43,43,151,29,52,8,1,1,30,65,0.43,18,1,14,1,0.415,1,1,2,3,2012
Joe Gerace,COR,0.338,40,40,151,42,51,8,2,1,9,66,0.437,12,4,16,2,0.399,1,0,10,12,2012
Max Seeman,CEN,0.333,32,31,93,15,31,4,0,1,21,38,0.409,1,3,13,0,0.361,0,6,0,0,2012
Tyler Leadley,COE,0.328,46,46,177,36,58,3,4,0,23,69,0.39,19,1,23,5,0.39,3,8,13,14,2012
Adam Nisenson,COE,0.327,46,46,165,42,54,11,1,1,28,70,0.424,22,4,7,5,0.412,3,5,8,10,2012
Tyler Crandell,SIM,0.327,42,42,153,32,50,7,3,2,12,69,0.451,9,8,28,2,0.39,2,2,11,13,2012
Chris Reynolds,LUT,0.323,43,43,164,37,53,16,5,2,23,85,0.518,14,6,12,6,0.395,1,2,10,13,2012
Scott DeAngelis,COE,0.323,46,46,195,38,63,8,1,0,20,73,0.374,9,1,13,3,0.353,2,9,16,20,2012
Ryan Doty,WAR,0.323,37,37,130,22,42,9,0,0,15,51,0.392,9,3,19,0,0.38,0,3,1,1,2012
Michael Jontz,CEN,0.318,40,40,129,38,41,5,1,0,19,48,0.372,26,8,17,1,0.457,1,4,15,16,2012
Spencer Kuehn,DBQ,0.316,38,36,136,20,43,8,1,1,21,56,0.412,12,1,16,1,0.371,2,0,1,2,2012
Weston Foxx,BVU,0.313,42,42,147,28,46,8,0,0,27,54,0.367,21,3,21,1,0.407,1,5,6,7,2012
Kevin Bradley,LUT,0.309,43,41,139,14,43,4,1,1,28,52,0.374,7,5,11,2,0.362,1,6,3,4,2012
Matt Larson,LUT,0.307,41,41,140,36,43,4,3,3,19,62,0.443,21,4,12,1,0.412,0,2,2,3,2012
Jesse Munsterman,BVU,0.306,38,36,124,16,38,4,1,1,15,47,0.379,12,2,20,3,0.374,1,1,4,5,2012
Jordan Judkins,CEN,0.304,40,40,138,24,42,6,1,0,16,50,0.362,9,2,14,1,0.351,2,2,6,7,2012
Spencer Sobba,COE,0.304,41,37,125,19,38,9,0,2,27,53,0.424,11,4,25,0,0.379,0,4,2,2,2012
Dillon Plath,BVU,0.303,36,30,109,22,33,5,4,0,24,46,0.422,10,4,14,1,0.376,2,2,6,10,2012
Andrew Danna,DBQ,0.301,39,39,156,29,47,9,2,2,29,66,0.423,11,2,10,1,0.351,2,0,10,11,2012
Jake Barr,SIM,0.299,41,39,154,24,46,1,1,4,28,61,0.396,11,4,23,0,0.359,1,4,3,8,2012
Neil Eddie,BVU,0.295,41,40,139,20,41,6,0,0,18,47,0.338,7,3,21,3,0.338,2,5,4,4,2012
Ryan Bahnemann,LUT,0.295,43,43,146,26,43,7,4,3,32,67,0.459,23,4,16,2,0.402,1,0,2,3,2012
Christopher Briggs,DBQ,0.294,40,40,143,19,42,7,0,3,24,58,0.406,20,2,25,3,0.388,0,0,0,1,2012
Billy Kass,LOR,0.291,40,40,134,34,39,6,0,8,34,69,0.515,20,6,36,1,0.399,3,1,11,16,2012
Brock Yossi,BVU,0.291,43,42,148,30,43,6,2,0,19,53,0.358,19,5,15,4,0.387,1,4,20,21,2012
Beriah Quick,COR,0.29,32,31,93,11,27,2,1,0,10,31,0.333,7,1,14,1,0.347,0,0,1,1,2012
Mike Pudlo,LOR,0.289,40,40,128,17,37,10,1,0,16,49,0.383,7,1,32,2,0.328,1,8,5,7,2012
Grant Thomas,SIM,0.288,41,41,132,24,38,8,0,0,13,46,0.348,16,6,15,1,0.385,2,5,0,2,2012
Mike Furlong,CEN,0.287,40,40,150,34,43,11,1,4,30,68,0.453,11,6,11,1,0.353,3,2,16,18,2012
Tyler Craig,SIM,0.287,42,42,150,22,43,11,1,4,30,68,0.453,13,9,21,2,0.374,2,1,0,0,2012
Ryan Titman,BVU,0.284,35,30,102,15,29,2,2,0,8,35,0.343,5,0,12,3,0.315,1,3,5,5,2012
Levi Montague,WAR,0.283,43,41,120,21,34,11,0,0,25,45,0.375,12,5,29,1,0.37,1,8,5,9,2012
JD Hunter,COE,0.283,38,36,106,15,30,2,0,0,19,32,0.302,13,5,9,4,0.384,1,7,1,2,2012
Eric DeSousa,LOR,0.272,40,40,125,21,34,6,0,0,20,40,0.32,14,1,21,3,0.35,0,5,3,5,2012
Michael Chia,SIM,0.269,39,38,130,24,35,8,2,0,27,47,0.362,16,2,35,1,0.353,2,2,5,6,2012
Charlie Muir,COR,0.266,34,34,109,16,29,2,0,1,18,34,0.312,9,4,13,3,0.336,3,1,3,7,2012
Travis Olson,LOR,0.264,37,35,125,15,33,4,0,1,21,40,0.32,9,3,20,2,0.328,0,0,1,3,2012
Brett Crable,SIM,0.264,40,38,129,13,34,2,1,0,19,38,0.295,12,0,11,2,0.324,1,4,4,6,2012
Ryan Nordtvedt,COR,0.262,37,35,103,10,27,5,0,0,14,32,0.311,14,3,20,0,0.367,0,0,0,1,2012
Craig Kerper,WAR,0.26,40,32,123,17,32,3,2,0,13,39,0.317,4,6,11,0,0.316,0,5,7,11,2012
B.J. Juergens,LOR,0.259,35,33,112,14,29,7,0,0,16,36,0.321,13,2,17,4,0.338,3,1,6,6,2012
Joe Paletta,BVU,0.258,39,36,132,21,34,6,0,1,21,43,0.326,13,6,24,0,0.349,1,3,5,7,2012
Nick Martin,DBQ,0.258,40,40,132,24,34,3,0,1,21,40,0.303,19,8,14,1,0.379,2,9,2,5,2012
Michael Schinstock,WAR,0.257,40,40,140,30,36,7,0,1,14,46,0.329,10,3,30,3,0.318,1,2,1,2,2012
Seth Carson,CEN,0.254,40,40,134,26,34,7,0,1,20,44,0.328,7,4,14,2,0.306,2,8,6,7,2012
Todd Whited,DBQ,0.253,33,31,83,6,21,5,0,0,7,26,0.313,18,2,11,2,0.394,1,6,0,1,2012
Clay Henricksen,LOR,0.252,34,31,115,21,29,1,1,0,10,32,0.278,15,6,9,2,0.368,0,0,2,3,2012
Ethan Hale,SIM,0.246,34,33,114,16,28,5,0,0,12,33,0.289,11,4,18,1,0.331,1,5,6,6,2012
Brennan Melloy,COE,0.244,45,43,135,21,33,5,0,1,9,41,0.304,24,3,40,1,0.368,1,1,15,16,2012
Milton Kurschner,COR,0.243,40,40,111,9,27,3,0,0,11,30,0.27,20,10,20,2,0.401,1,2,1,2,2012
Nick Schlect,BVU,0.242,39,38,128,31,31,3,3,0,18,40,0.313,21,3,33,1,0.362,0,6,8,12,2012
Jordan Ries,LOR,0.235,34,31,98,15,23,3,0,3,14,35,0.357,11,0,16,1,0.309,1,3,5,7,2012
Vince Parisi,DBQ,0.233,32,30,90,15,21,3,0,1,8,27,0.3,12,0,19,0,0.324,0,3,0,1,2012
Juan Flores,COR,0.232,37,35,99,14,23,0,0,0,3,23,0.232,13,6,13,3,0.353,1,3,2,4,2012
Allen Mann,CEN,0.227,38,36,110,21,25,0,0,0,19,25,0.227,7,4,25,0,0.295,1,7,10,11,2012
Adam Ariola,CEN,0.218,40,40,142,19,31,4,1,0,20,37,0.261,8,2,19,2,0.259,6,5,5,7,2012
Mike Canevello,LOR,0.216,40,40,134,30,29,4,1,0,17,35,0.261,23,16,30,1,0.389,2,1,14,20,2012
Colton Calvert,SIM,0.168,32,29,95,8,16,3,0,1,11,22,0.232,7,3,27,2,0.243,2,1,0,0,2012
Zach Lashbrook,LUT,1,3,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2012
Jake Daniels,BVU,0.571,7,0,7,1,4,1,0,0,2,5,0.714,0,0,0,1,0.571,0,0,0,0,2012
Daniel Schoess,LUT,0.455,21,1,11,2,5,1,0,0,3,6,0.545,2,1,3,0,0.571,0,0,2,2,2012
Jory Heckenberg,COE,0.4,10,7,20,4,8,3,0,0,3,11,0.55,2,2,3,1,0.48,1,0,0,0,2012
Tony Stenberg,WAR,0.392,29,26,74,10,29,5,0,1,14,37,0.5,8,8,5,1,0.484,3,2,1,1,2012
Alex Brown,BVU,0.389,14,4,18,3,7,2,0,0,3,9,0.5,2,0,6,0,0.45,0,0,0,0,2012
Josh Stanton,CEN,0.385,16,13,39,6,15,2,0,0,8,17,0.436,3,2,4,0,0.435,2,1,3,3,2012
John Delaplane,COE,0.368,27,11,57,11,21,3,0,0,8,24,0.421,4,2,12,0,0.429,0,1,3,3,2012
Danny Fahlgren,LOR,0.366,16,12,41,8,15,4,0,0,7,19,0.463,4,2,5,0,0.438,1,1,1,1,2012
Noah Mahlik,DBQ,0.36,16,6,25,6,9,1,0,0,2,10,0.4,1,0,3,0,0.37,1,0,1,2,2012
Andy Briggs,LUT,0.333,8,8,30,6,10,1,1,0,2,13,0.433,3,0,3,0,0.394,0,1,0,0,2012
Josh Pirtle,SIM,0.333,4,2,6,1,2,0,0,0,0,2,0.333,0,0,3,0,0.333,0,0,0,1,2012
Connor Reilly,LOR,0.333,4,0,3,0,1,1,0,0,2,2,0.667,1,0,0,0,0.5,0,0,0,0,2012
Dylan Colo,BVU,0.328,27,15,61,14,20,4,0,0,13,24,0.393,4,1,11,2,0.379,0,2,6,8,2012
Kyle Duggan,DBQ,0.327,33,23,52,23,17,2,0,0,8,19,0.365,6,10,7,0,0.485,0,3,7,7,2012
Zakary Kilpatrick,DBQ,0.325,23,23,83,12,27,0,0,0,20,27,0.325,9,4,15,0,0.417,0,1,1,1,2012
Andrew Nelson,LUT,0.322,35,26,87,15,28,7,0,0,13,35,0.402,5,6,16,0,0.394,1,1,0,1,2012
Nick Massina,WAR,0.317,27,21,63,12,20,5,2,1,8,32,0.508,3,2,8,0,0.368,0,2,2,5,2012
Jake Raecker,WAR,0.311,28,22,61,6,19,4,0,0,8,23,0.377,12,3,9,0,0.442,1,1,2,2,2012
Eric Croghan,BVU,0.283,25,16,53,7,15,0,1,1,7,20,0.377,1,2,12,1,0.316,1,1,2,2,2012
Thomas Weber,LUT,0.282,32,21,71,10,20,2,0,0,8,22,0.31,16,2,14,1,0.427,0,4,2,3,2012
Andrew O'Toole,CEN,0.28,13,5,25,4,7,0,0,0,5,7,0.28,4,0,4,0,0.379,0,0,1,2,2012
Tyler Pawletzki,SIM,0.275,27,24,80,11,22,2,1,0,10,26,0.325,8,2,25,0,0.348,2,3,1,2,2012
Alex Rodriguez,LOR,0.273,22,13,44,9,12,3,0,0,6,15,0.341,7,1,8,1,0.385,0,1,6,6,2012
Matt Reynolds,LUT,0.273,6,4,11,2,3,0,1,0,1,5,0.455,3,0,5,1,0.429,0,1,1,1,2012
Michael Goerdt,COE,0.263,16,2,19,1,5,0,0,0,0,5,0.263,2,0,1,0,0.333,0,0,0,0,2012
Chad Sibigtroth,BVU,0.257,25,8,35,10,9,1,0,1,8,13,0.371,1,0,7,0,0.278,0,0,0,0,2012
Erik Sipes,CEN,0.256,16,13,43,3,11,1,0,1,7,15,0.349,5,1,10,0,0.34,1,1,0,0,2012
Justin Brown,COR,0.253,30,28,79,11,20,4,0,0,9,24,0.304,10,2,25,2,0.352,0,4,2,2,2012
Chase Hirschauer,WAR,0.25,17,14,52,5,13,2,0,0,9,15,0.288,3,0,11,0,0.291,0,0,0,0,2012
Drew Yoder,WAR,0.25,14,12,40,6,10,3,0,1,7,16,0.4,3,2,5,2,0.333,0,0,0,0,2012
Tom Weissbeck,CEN,0.25,8,3,16,2,4,1,0,0,4,5,0.313,2,0,7,0,0.333,0,0,0,0,2012
Jared Waddle,LUT,0.25,4,0,4,0,1,0,0,0,0,1,0.25,0,0,1,0,0.25,0,0,0,0,2012
Zach Wilcox,COR,0.25,4,0,4,0,1,1,0,0,1,2,0.5,0,0,1,0,0.25,0,0,0,0,2012
Chris Rana,COR,0.241,30,29,79,8,19,3,0,1,10,25,0.316,17,1,22,5,0.378,1,0,1,2,2012
AJ Reuter,COE,0.24,10,8,25,5,6,1,0,1,4,10,0.4,0,1,9,0,0.269,0,0,0,0,2012
Kaileb Armbruster,COE,0.24,9,9,25,6,6,1,0,0,6,7,0.28,4,2,2,1,0.375,1,0,0,0,2012
Aaron Peller,COE,0.236,25,19,55,7,13,2,0,0,7,15,0.273,5,3,18,1,0.318,3,2,4,4,2012
Ben Obermann,LUT,0.231,18,6,26,6,6,1,0,1,3,10,0.385,3,3,10,1,0.375,0,0,0,0,2012
Pedro Rosa,SIM,0.231,7,5,13,4,3,1,0,0,1,4,0.308,3,0,4,0,0.375,0,0,0,0,2012
Nicholas Baldocchi,DBQ,0.229,27,21,70,10,16,1,0,2,11,23,0.329,5,0,10,0,0.28,0,1,0,0,2012
Jordan Gawronski,DBQ,0.227,29,22,66,10,15,3,0,0,5,18,0.273,8,2,16,3,0.329,0,6,1,1,2012
Tim Kayser,COE,0.222,10,5,18,4,4,0,0,0,5,4,0.222,2,0,2,2,0.286,1,0,0,0,2012
Joe Walker,LOR,0.221,31,26,77,13,17,2,0,0,4,19,0.247,9,3,21,1,0.326,0,2,9,11,2012
Ian Fitzgerald,LUT,0.216,44,40,88,26,19,2,0,0,9,21,0.239,27,13,25,0,0.457,1,4,7,8,2012
Patton Hofer,COE,0.214,13,8,28,3,6,1,0,0,4,7,0.25,1,1,5,0,0.267,0,0,0,1,2012
Mark Jablonski,LOR,0.214,15,5,14,3,3,0,0,0,1,3,0.214,1,0,4,0,0.267,0,1,1,1,2012
Austen Graham,LUT,0.213,37,27,89,11,19,2,0,0,11,21,0.236,18,5,22,0,0.372,1,1,3,3,2012
Nathan Lucas,DBQ,0.208,22,12,48,4,10,1,0,1,9,14,0.292,5,1,12,2,0.296,0,1,0,0,2012
Blake Heitmeier,SIM,0.203,28,23,59,13,12,2,0,0,7,14,0.237,11,14,14,1,0.44,0,2,1,2,2012
Conor Kelley,DBQ,0.2,17,10,30,6,6,0,0,0,0,6,0.2,7,2,7,0,0.385,0,2,1,2,2012
Kyle Barton,LOR,0.2,17,7,25,3,5,1,0,0,2,6,0.24,7,0,5,1,0.375,0,1,1,1,2012
Cole Tomlinson,COE,0.2,10,1,10,1,2,0,0,0,1,2,0.2,0,1,2,0,0.273,0,0,0,0,2012
Ryan Tackitt,DBQ,0.2,6,4,10,0,2,1,0,0,2,3,0.3,2,0,1,0,0.333,0,1,0,0,2012
Brock Grubbs,DBQ,0.2,9,2,10,0,2,0,0,0,0,2,0.2,2,0,2,0,0.333,0,0,0,0,2012
Jake Effron,CEN,0.2,10,1,5,3,1,1,0,0,1,2,0.4,1,0,3,0,0.333,0,0,0,0,2012
Eric Pittman,LUT,0.196,33,29,97,9,19,1,0,1,18,23,0.237,6,1,22,2,0.248,1,5,6,8,2012
Mitch Obey,LUT,0.189,23,19,53,6,10,1,0,0,7,11,0.208,7,3,12,0,0.313,1,1,0,1,2012
Jace Ahrendsen,CEN,0.188,21,15,48,10,9,1,1,0,2,12,0.25,7,5,10,0,0.35,0,1,1,1,2012
Peter Sandstedt,LUT,0.188,16,7,32,5,6,2,0,0,1,8,0.25,1,0,7,0,0.212,0,0,0,0,2012
Aaron Laskowski,DBQ,0.174,32,17,46,3,8,1,1,0,3,11,0.239,3,1,10,2,0.24,0,1,1,1,2012
Robbie Jewell,LUT,0.171,25,11,41,8,7,1,0,0,4,8,0.195,5,1,10,0,0.277,0,0,4,5,2012
Joseph Grote,WAR,0.167,18,12,42,6,7,1,0,0,5,8,0.19,5,1,7,1,0.271,0,2,1,1,2012
Alex Schnebbe,COR,0.156,19,12,32,2,5,0,0,0,2,5,0.156,3,2,10,1,0.27,0,2,0,0,2012
Josh McQuillen,COE,0.154,10,2,13,1,2,0,0,0,3,2,0.154,1,0,2,1,0.2,1,0,0,0,2012
Erik Rasmussen,WAR,0.154,13,2,13,1,2,0,0,0,1,2,0.154,3,0,5,0,0.313,0,0,0,0,2012
Taylor Nelson,SIM,0.153,25,21,72,7,11,1,1,0,11,14,0.194,9,2,22,2,0.262,1,0,1,1,2012
Alex Davis,BVU,0.15,13,5,20,6,3,0,0,0,3,3,0.15,2,3,4,1,0.32,0,1,2,2,2012
Craig Furstenau,COR,0.143,20,8,35,0,5,1,0,0,5,6,0.171,1,0,17,1,0.167,0,0,0,1,2012
Tanner Beck,COE,0.143,20,0,7,2,1,0,0,0,1,1,0.143,0,0,2,0,0.143,0,1,0,0,2012
Jeremy Ryan,COR,0.125,7,5,16,1,2,1,0,0,2,3,0.188,1,0,6,2,0.176,0,1,0,0,2012
Cody Richter,LOR,0.125,7,2,8,0,1,0,0,0,1,1,0.125,2,1,3,0,0.364,0,0,0,0,2012
Andrew Burdick,COR,0.118,21,9,34,2,4,0,0,0,0,4,0.118,1,1,15,1,0.167,0,2,0,2,2012
Trent Smith,CEN,0.111,10,3,9,1,1,0,0,0,0,1,0.111,1,0,3,0,0.2,0,2,0,1,2012
Jackson Litterer,WAR,0.1,7,3,10,2,1,0,0,0,0,1,0.1,0,0,3,0,0.1,0,0,1,1,2012
Michael Campbell,DBQ,0.1,6,4,10,1,1,0,0,0,2,1,0.1,1,0,2,0,0.182,0,0,0,0,2012
Jacob Courtright,COR,0.087,12,6,23,1,2,0,0,0,3,2,0.087,2,0,14,1,0.154,1,0,0,0,2012
Kody Karjala,COR,0.083,15,6,24,1,2,0,0,0,0,2,0.083,2,3,8,0,0.241,0,0,0,0,2012
Kevin Harlander,LOR,0,14,3,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Blake Jobe,COR,0,7,2,6,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2012
Jim Nowak,COR,0,8,0,5,0,0,0,0,0,0,0,0,1,1,3,0,0.286,0,0,0,0,2012
Tanner Oliver,BVU,0,4,1,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2012
Kyle Stennes,COR,0,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Nick Norris,COR,0,11,1,3,1,0,0,0,0,0,0,0,1,0,2,0,0.25,0,0,0,0,2012
Jeremy Gerardy,LOR,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Matt Kruger,WAR,0,2,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Nick Svare,COE,0,4,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2012
Kyle Hibbing,BVU,0,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Mitchell Windle,DBQ,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Nick Anderson,SIM,0,1,1,3,0,0,0,0,0,0,0,0,1,0,2,0,0.25,0,0,0,0,2012
Jesse Lawler,DBQ,0,14,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0.25,0,0,0,1,2012
Michael Riordan,DBQ,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Andrew Trott,COR,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Adam Kennedy,LOR,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Nick Battalini,LOR,0,2,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0.333,0,1,0,0,2012
Chaz Boots,WAR,0,6,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Andy Wilbur,LUT,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Jordan Smith,COR,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2012
Phillip Elking,DBQ,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Alex Jenson,WAR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Mike Kray,WAR,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,2012
Bradley Cunningham,CEN,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
James Stone,BVU,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012
Cole Grewell,SIM,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Aldon Severson,LUT,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Bryce Schutte,LUT,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Andrew Burgmeier,LUT,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2012
Ryan Friedrich,BVU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
R.J. Hoshell,LOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Paul Krenger,DBQ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Chris Dorff,SIM,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Augie Lindmark,LUT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Bret Bell,CEN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Nathan Brown,COE,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Brian Nolasco,COE,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Brian Birks,SIM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Alex Sharp,WAR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Ian Grigsby,BVU,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Schuyler Radke,BVU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Brian Pflum,LOR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Brady Larson,WAR,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
Ryan Powers,WAR,0.437,42,42,151,45,66,13,2,0,38,83,0.55,26,3,12,0,0.525,1,1,1,2,2013
Brandon Wessels,BVU,0.407,42,42,162,29,66,10,2,1,24,83,0.512,10,3,20,2,0.446,2,3,8,9,2013
Joe Paletta,BVU,0.395,42,42,152,31,60,12,1,0,25,74,0.487,18,6,15,2,0.475,1,2,5,8,2013
Drew Yoder,WAR,0.391,45,45,169,33,66,9,3,4,41,93,0.55,12,5,10,2,0.432,6,1,0,2,2013
Brett Crable,SIM,0.363,41,41,157,35,57,6,0,0,22,63,0.401,13,1,5,0,0.413,1,3,1,3,2013
Nick Stein,COE,0.36,42,42,136,40,49,8,2,8,30,85,0.625,20,6,17,3,0.446,6,1,20,20,2013
AJ Reuter,COE,0.357,41,40,143,29,51,13,0,0,23,64,0.448,15,4,17,3,0.427,2,0,6,7,2013
Eric Pittman,LUT,0.344,33,33,122,21,42,10,2,0,13,56,0.459,7,7,7,1,0.409,1,0,7,11,2013
Jake Barr,SIM,0.343,41,41,172,35,59,8,3,0,12,73,0.424,6,5,21,1,0.378,2,1,2,5,2013
Tyler Craig,SIM,0.342,41,41,158,30,54,14,4,7,45,97,0.614,12,6,25,1,0.404,2,0,1,2,2013
Mitch Knippenberg,LUT,0.34,33,30,103,17,35,3,0,0,16,38,0.369,12,3,18,1,0.42,1,0,2,3,2013
Adam Ariola,CEN,0.333,41,41,144,28,48,2,1,1,33,55,0.382,11,5,11,2,0.388,5,4,7,9,2013
Aldon Severson,LUT,0.325,29,24,77,9,25,4,0,0,10,29,0.377,10,3,11,1,0.418,1,0,1,1,2013
Blake Heitmeier,SIM,0.324,38,35,102,21,33,3,0,0,23,36,0.353,12,23,16,1,0.493,1,6,4,5,2013
Tyler Crandell,SIM,0.323,41,41,158,30,51,6,7,1,18,74,0.468,11,6,22,1,0.389,0,2,6,8,2013
Jesse Munsterman,BVU,0.321,42,42,156,23,50,8,2,0,18,62,0.397,9,4,21,3,0.371,1,0,3,7,2013
Spencer Kuehn,DBQ,0.317,35,35,120,13,38,8,0,1,24,49,0.408,8,1,16,1,0.362,1,2,2,4,2013
Andrew Krehbiel,WAR,0.313,46,46,195,39,61,8,2,0,28,73,0.374,7,4,20,2,0.348,1,2,9,10,2013
Robbie Rushing,CEN,0.312,41,41,138,22,43,12,2,2,19,65,0.471,22,12,26,1,0.448,0,0,1,3,2013
Blake Wilson,WAR,0.308,46,45,159,30,49,8,2,1,32,64,0.403,9,2,24,4,0.347,3,3,0,1,2013
Michael Goerdt,COE,0.3,42,42,150,23,45,10,1,0,19,57,0.38,10,2,15,4,0.35,1,2,5,5,2013
Jordan Gawronski,DBQ,0.295,30,28,88,6,26,3,1,0,5,31,0.352,4,3,17,1,0.347,0,1,0,2,2013
Sam Stetzel,CEN,0.295,41,41,149,29,44,0,0,0,14,44,0.295,24,7,18,1,0.417,0,2,6,9,2013
Seth Carson,CEN,0.295,41,38,122,28,36,2,0,0,17,38,0.311,11,6,18,5,0.376,2,5,7,10,2013
Levi Montague,WAR,0.292,46,46,144,36,42,9,2,7,33,76,0.528,22,2,36,1,0.382,5,3,10,11,2013
Zach Hendrikson,LUT,0.292,29,28,96,8,28,4,0,0,16,32,0.333,10,1,19,0,0.361,1,1,1,2,2013
Mike Pudlo,LOR,0.285,40,40,137,17,39,4,0,0,7,43,0.314,23,2,29,2,0.395,0,4,8,14,2013
Chris Briggs,DBQ,0.284,33,33,109,11,31,4,0,4,20,47,0.431,8,1,20,1,0.331,3,0,2,3,2013
JD Hunter,COE,0.283,32,29,99,19,28,6,0,0,10,34,0.343,14,2,13,0,0.379,1,6,0,2,2013
Ryan Doty,WAR,0.282,38,36,142,30,40,12,2,2,31,62,0.437,9,2,14,2,0.327,3,2,1,2,2013
Weston Foxx,BVU,0.281,42,41,167,27,47,6,3,1,22,62,0.371,16,5,17,1,0.36,1,0,8,10,2013
Mark Jablonski,LOR,0.28,39,33,100,21,28,4,1,1,9,37,0.37,16,3,20,0,0.392,1,3,13,14,2013
Andy Danna,DBQ,0.276,36,36,127,30,35,10,3,1,17,54,0.425,13,2,12,2,0.347,2,3,7,7,2013
Jake Esdohr,SIM,0.275,33,30,102,9,28,6,0,1,16,37,0.363,12,2,25,2,0.359,1,2,0,2,2013
Mike Canevello,LOR,0.272,36,36,125,31,34,6,1,1,19,45,0.36,14,6,12,1,0.367,2,1,15,18,2013
Craig Konrardy,COE,0.272,37,35,114,22,31,8,1,1,22,44,0.386,5,5,19,0,0.331,0,5,7,8,2013
Nick Schlect,BVU,0.271,41,38,118,25,32,6,4,0,7,46,0.39,12,8,29,0,0.377,0,4,9,11,2013
