No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s˛]","ay [m/s˛]","az [m/s˛]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
11,2019/09/07,11:56:26,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,36.657,3.263,-0.278,2104.00,297.506,4:0,1.095,0.310,2.082,-0.898,-0.109,0.210,0.891,0.251,32.853,-5.083,0.123,0.459,,,,,,,,,,,,-0.154,-0.080,-0.328,15.240,1.160,0.648,-36.103,1.704,-2.613,7.034,-11.170,"Coe College","Coe College",,,,,{09CE6451-3BB0-417B-B280-FF013143D2A0},-0.290,0.866
12,2019/09/07,11:56:39,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Called Strike",,,,,,,36.339,1.146,-1.916,2045.00,203.445,12:45,1.283,0.267,2.130,-0.426,0.365,0.158,0.858,-0.135,32.743,-4.535,-0.996,0.460,,,,,,,,,,,,-0.116,0.268,-0.254,15.240,1.306,1.323,-35.901,0.192,-1.964,6.760,-5.281,"Coe College","Coe College",,,,,{F4C8B79D-DE51-496F-9063-ADF74433BB16},0.133,0.900
13,2019/09/07,11:56:51,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Called Strike",,,,,,,37.081,2.710,-2.987,2037.00,257.249,2:30,1.067,0.376,2.094,-0.706,0.067,0.294,0.914,-0.172,33.197,-4.143,-0.887,0.454,,,,,,,,,,,,-0.215,0.049,-0.344,15.240,1.146,2.005,-36.534,1.291,-3.736,7.474,-8.964,"Coe College","Coe College",,,,,{9D2D2F70-14C1-44A1-894A-C815621F9166},0.170,0.889
14,2019/09/07,11:57:05,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Daniel Hawes",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Swinging Strikeout",,,,,,,38.371,1.524,-1.353,2161.00,210.705,1:0,1.315,0.305,2.130,-0.534,0.178,0.106,1.048,0.132,34.590,-3.739,0.104,0.436,,,,,,,,,,,,-0.078,0.132,-0.265,15.240,1.357,0.653,-38.010,0.724,-1.460,8.468,-7.351,"Coe College","Coe College",,,,,{A8181E97-C2EB-49C8-82A9-72CC0123748E},-0.121,1.040
15,2019/09/07,11:57:27,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Single,,,,,,,37.865,2.016,-0.486,2099.00,197.764,12:30,1.240,0.252,2.120,-0.459,0.273,0.087,1.048,-0.005,34.102,-3.689,-1.414,0.442,27.969,28.196,37.022,,,,,56.157,,,2.922,-0.064,0.201,-0.303,15.240,1.305,0.926,-37.502,0.683,-1.172,8.240,-6.151,"Coe College","Coe College",,,,,{38A7118E-6CC5-4718-946B-29D2C6A65BE9},-0.020,1.061
16,2019/09/07,11:58:00,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College",,,Bottom,,,,,,,,,,,,,37.678,3.257,-2.561,2090.00,302.120,4:0,1.126,0.298,2.215,-0.985,-0.250,0.398,0.680,-0.321,33.999,-6.815,-1.612,0.442,18.998,31.083,13.217,,,,,29.455,,,2.154,-0.294,-0.184,-0.319,15.240,1.185,2.559,-37.129,1.538,-5.300,7.275,-13.137,"Coe College","Coe College",,,,,{55970B1A-B80F-4441-B592-1E3374CB663C},0.287,0.689
17,2019/09/07,12:00:24,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Greg Hall",{3A53F65F-56DE-4709-9BB2-8E46F877ABEE},R,"Coe College",,,Top,,,,,,,,,,,,,15.315,-5.533,7.755,1894.00,,,3.857,2.356,1.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{C5880B7F-48A1-42A1-8047-33E3D8D65CC5},,
18,2019/09/07,12:00:52,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Greg Hall",{3A53F65F-56DE-4709-9BB2-8E46F877ABEE},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Swinging Strike",,,,,,,41.351,-2.173,0.908,1521.00,138.349,10:30,0.886,-0.080,1.086,-0.068,0.588,-0.523,0.161,-0.551,37.547,-2.942,-4.210,0.430,,,,,,,,,,,,0.359,0.404,0.056,15.240,0.805,-0.175,-40.901,-1.517,7.820,9.255,-1.018,"Coe College","Coe College",,,,,{5DC41902-2EB8-4DD9-A186-94416490DFE2},0.549,0.159
19,2019/09/07,12:01:21,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Greg Hall",{3A53F65F-56DE-4709-9BB2-8E46F877ABEE},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,36.653,0.154,-3.247,2268.00,335.824,5:15,1.686,0.074,1.990,-0.905,-0.134,0.060,0.646,-0.876,33.528,-7.914,-3.440,0.456,,,,,,,,,,,,-0.044,-0.098,-0.043,15.240,1.644,2.352,-36.222,0.071,-0.763,5.966,-11.511,"Coe College","Coe College",,,,,{FD668AFE-0E4F-41D7-A87D-419FEC48782A},0.884,0.642
20,2019/09/07,12:02:27,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Jackson Varney",{9D935FD6-8148-4710-8F47-1E2CFABC1547},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Foul Ball",,,,,,,36.380,-0.970,-0.541,2103.00,172.442,11:45,1.636,0.104,2.021,-0.498,0.301,-0.040,0.671,-0.135,32.809,-6.216,-1.264,0.463,,,,,,,,,,,,0.029,0.220,-0.096,15.240,1.598,0.422,-35.931,-0.822,0.490,7.338,-6.118,"Coe College","Coe College",,,,,{0AAA0447-9B11-45DB-8E2E-8DD84858DBF7},0.131,0.675
21,2019/09/07,12:03:08,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Jackson Varney",{9D935FD6-8148-4710-8F47-1E2CFABC1547},L,"Coe College","Wind Up",,Top,,,,Fastball,,"Contact Out",,,,,,,36.719,1.212,-0.512,2277.00,218.889,1:15,1.683,0.135,2.007,-0.628,0.150,0.121,1.119,0.133,33.189,-5.574,0.582,0.457,,,,,,,,,,,,-0.089,0.110,-0.115,15.240,1.721,0.272,-36.366,0.298,-1.529,7.144,-7.915,"Coe College","Coe College",,,,,{338C2204-CB6F-4768-A637-F76256C0FD47},-0.137,1.133
22,2019/09/07,12:04:10,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Grant Riggan",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College",,,Top,,,,,,,,,,,,,31.797,8.604,-4.775,1711.00,190.984,12:15,2.857,2.576,1.973,-0.647,0.435,0.084,4.307,0.984,27.952,1.123,-6.501,0.540,,,,,,,,,,,,-0.061,0.316,-2.558,15.240,2.977,3.305,-30.926,4.275,-0.766,5.163,-5.866,"Coe College","Coe College",,,,,{0A3DEC03-E7BA-48B1-9E31-DFE4D3B4186A},-1.003,4.381
23,2019/09/07,12:05:13,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Hunter Greene",{416465A4-2F29-44DF-945F-0AADBD19F8B3},R,"Coe College",Stretch,,Top,,,,Fastball,,"Called Strike",,,,,,,38.807,-5.468,2.043,1636.00,,,1.342,-0.021,1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{0571F064-52F0-4FE0-87C7-C3D2B1A09F62},,
24,2019/09/07,12:06:01,0,0,"Quintin Berglund",{4A6B1341-4344-4595-A7D0-FAFE81158BAD},R,"Coe College","Hunter Greene",{416465A4-2F29-44DF-945F-0AADBD19F8B3},R,"Coe College",,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{FDEAF8D4-2C81-4BE6-8F92-FAA2AF493961},,
25,2019/09/07,12:06:46,0,0,"Tyler Riebhoff",{F90C7B92-D21E-4D90-B73D-24515B3D5C73},R,"Coe College","Jordan Shifrin",{391682E7-492C-4096-893A-FC219DA083E3},R,"Coe College",,,Bottom,,,,,,,,,,,,,34.607,0.488,-2.049,1858.00,225.683,1:30,1.256,0.440,2.070,-0.633,0.255,0.261,0.509,0.103,31.007,-6.224,-0.375,0.487,,,,,,,,,,,,-0.190,0.186,-0.405,15.240,1.284,1.264,-34.285,-0.125,-2.883,7.082,-6.995,"Coe College","Coe College",,,,,{DFEBDA79-AF9B-4E75-B2EC-B051E47C1468},-0.128,0.509
