No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [km/h]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [cm]","Pitch Break Ind (V) [cm]","Pitch Break (H) [cm]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [km/h]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [km/h]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [cm]","pfxz [cm]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
59,2019/09/07,10:38:03,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},L,"Coe College","Wind Up",,Top,,,,Fastball,,"Contact Out",,,,,,,125.807,1.242,-2.553,1709.00,268.655,3:0,1.688,0.122,2.242,-84.137,0.794,33.821,1.032,-0.270,113.424,-6.357,-0.212,0.475,127.231,28.891,32.396,,,,,81.843,,,3.748,-25.183,0.591,-0.101,15.240,1.659,1.688,-34.610,0.759,-3.906,6.924,-9.718,"Coe College","Coe College",,,,,{25187A5B-53B3-47AA-B197-6D239E0D37F7},0.263,1.024
60,2019/09/07,10:39:45,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Nolan Cavanaugh",{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,"Coe College",,,Bottom,,,,,,,,,,,,,134.208,2.333,-1.859,2477.00,337.064,5:15,1.336,0.673,2.067,-86.196,-11.014,4.661,0.868,0.201,121.469,-6.038,-1.481,0.449,,,,,,,,,,,,-3.411,-8.059,-0.632,15.240,1.378,1.162,-36.775,1.135,-0.608,6.618,-11.247,"Coe College","Coe College",,,,,{7EB8D69E-775A-4EFA-90B8-ECE0C7147232},-0.199,0.868
61,2019/09/07,10:39:54,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Nolan Cavanaugh",{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,"Coe College",,,Bottom,,,,,,,,,,,,,130.555,2.816,-0.916,2312.00,144.936,10:45,1.281,0.653,2.005,-72.406,7.320,-5.138,1.014,0.401,117.867,-5.093,-1.003,0.463,,,,,,,,,,,,3.756,5.351,-0.615,15.240,1.355,0.374,-35.918,1.151,0.632,6.985,-8.909,"Coe College","Coe College",,,,,{462561FA-DDAC-45EA-91BF-6F80EB2CF44C},-0.395,1.025
62,2019/09/07,10:40:20,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Nolan Cavanaugh",{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,134.095,2.312,-1.071,2370.00,169.082,11:45,1.406,0.554,2.009,-58.279,16.454,-3.174,1.338,0.137,121.689,-3.104,-1.954,0.448,,,,,,,,,,,,2.311,11.981,-0.537,15.240,1.456,0.855,-36.907,1.260,0.417,6.405,-7.650,"Coe College","Coe College",,,,,{B46C535D-7F00-41A1-95BD-C59FEBBBC498},-0.145,1.318
63,2019/09/07,10:40:34,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Nolan Cavanaugh",{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Foul Ball",,,,,,,134.281,2.683,-1.560,2473.00,208.043,1:0,1.307,0.556,2.050,-61.607,13.023,6.937,1.155,0.085,121.741,-4.104,-1.629,0.447,,,,,,,,,,,,-5.074,9.526,-0.546,15.240,1.375,1.284,-36.953,1.209,-0.912,6.812,-8.098,"Coe College","Coe College",,,,,{A512EC7C-6D06-469E-98AC-767384E185A8},-0.090,1.175
64,2019/09/07,10:40:55,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Nolan Cavanaugh",{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,135.965,1.103,-3.416,2507.00,349.465,5:45,1.283,0.523,2.128,-80.524,-7.878,1.465,0.535,-0.462,123.806,-6.817,-3.569,0.441,,,,,,,,,,,,-1.075,-5.780,-0.475,15.240,1.295,2.333,-37.310,0.406,-0.198,6.615,-10.874,"Coe College","Coe College",,,,,{1307C73E-E168-44AA-9F43-F0584C65E131},0.470,0.540
65,2019/09/07,10:41:10,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Nolan Cavanaugh",{9AFDA1EE-B1E1-4EEA-8A35-92D08D9FA3B1},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Foul Ball",,,,,,,135.635,1.734,-2.108,2590.00,160.403,11:15,1.306,0.592,2.034,-44.663,29.304,-10.433,1.031,-0.090,122.521,-3.980,-2.980,0.445,,,,,,,,,,,,7.652,21.492,-0.546,15.240,1.356,1.273,-37.303,0.499,1.384,7.804,-5.923,"Coe College","Coe College",,,,,{D6469A61-BA60-4DBD-8609-91DA96F510CB},0.102,1.053
66,2019/09/07,10:41:27,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Joey Sartain",{57BC746C-E6C6-4F3B-B8DA-9388DE1D1186},R,"Coe College","Wind Up",,Bottom,,,,Slider,,Ball,,,,,,,126.247,0.263,-3.332,2492.00,109.351,9:45,1.416,0.619,1.939,-78.013,8.308,-23.656,0.526,-0.642,114.131,-6.913,-5.788,0.482,,,,,,,,,,,,17.191,6.037,-0.535,15.240,1.390,2.068,-34.708,0.033,2.688,6.820,-8.866,"Coe College","Coe College",,,,,{98FA201E-647A-4483-B674-1478C94A422B},0.655,0.522
67,2019/09/07,10:41:44,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Joey Sartain",{57BC746C-E6C6-4F3B-B8DA-9388DE1D1186},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,"Contact Out",,,,,,,136.484,0.998,-1.730,2417.00,142.047,10:45,1.328,0.516,2.125,-51.936,20.011,-15.607,0.869,-0.166,124.033,-4.575,-3.251,0.438,124.344,-11.464,-24.276,,,,,3.945,,,0.121,11.502,14.747,-0.479,15.240,1.350,1.156,-37.616,0.309,2.128,7.505,-7.082,"Coe College","Coe College",,,,,{06A486FC-AE64-4C07-83E3-7BFBA0ED0FDB},0.175,0.880
68,2019/09/07,10:42:13,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Joey Sartain",{57BC746C-E6C6-4F3B-B8DA-9388DE1D1186},R,"Coe College","Wind Up",,Bottom,,,,Fastball,,Ball,,,,,,,136.118,1.876,-0.515,2578.00,139.154,10:45,1.385,0.555,2.071,-64.567,8.561,-7.401,1.020,0.283,123.092,-4.830,-1.354,0.443,,,,,,,,,,,,5.428,6.278,-0.538,15.240,1.431,0.391,-37.392,0.807,0.993,7.380,-8.662,"Coe College","Coe College",,,,,{5C9EA944-BB8C-4674-A8AB-942035E25250},-0.291,1.026
