No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
190,2020/01/22,14:36:25,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,36.753,0.920,0.462,2030.00,90.705,9:0,1.368,-0.409,1.772,-1.025,0.015,-0.476,0.604,-0.064,33.441,-6.666,-3.073,0.464,,,,,,,,,,,,0.260,0.010,-0.417,15.240,1.384,-0.122,-36.447,0.214,4.472,7.709,-9.628,"Coe College","Coe College",,,,,{06B62C03-7310-4255-9230-05CB656BAB31},-0.064,0.604
191,2020/01/22,14:36:55,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,36.210,0.769,0.934,1992.00,82.885,8:45,1.426,-0.287,1.797,-1.132,-0.064,-0.576,0.512,0.025,33.327,-7.565,-3.334,0.469,,,,,,,,,,,,0.318,-0.035,-0.306,15.240,1.437,-0.382,-35.935,0.081,5.359,6.872,-10.398,"Coe College","Coe College",,,,,{BBA0B0BB-E22C-4C47-8FDC-AEFA85D2E01F},0.025,0.512
192,2020/01/22,14:37:06,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.115,1.147,-0.024,2004.00,72.925,8:30,1.411,-0.389,1.720,-1.142,-0.115,-0.443,0.596,0.061,34.068,-7.235,-3.295,0.460,,,,,,,,,,,,0.237,-0.064,-0.385,15.240,1.432,0.184,-36.814,0.305,4.190,7.321,-10.946,"Coe College","Coe College",,,,,{5397AD73-DF82-439D-A78C-DD11A29D2503},0.061,0.596
193,2020/01/22,14:37:20,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.163,0.587,-0.277,2094.00,105.780,9:30,1.366,-0.396,1.731,-0.876,0.146,-0.508,0.657,0.190,34.017,-5.855,-4.026,0.459,,,,,,,,,,,,0.270,0.080,-0.385,15.240,1.375,0.369,-36.866,0.048,4.784,7.416,-8.389,"Coe College","Coe College",,,,,{08601092-30B6-49DF-B82A-8C5B512E5A9E},0.190,0.657
194,2020/01/22,14:37:33,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Quintin Berglund",{92948D11-5A7D-4DB1-BDBC-14F51A9FD5F2},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.812,0.938,0.436,1948.00,73.068,8:30,1.391,-0.249,1.807,-1.046,-0.068,-0.253,0.610,-0.119,34.520,-6.808,-1.447,0.450,,,,,,,,,,,,0.140,-0.037,-0.258,15.240,1.407,-0.193,-37.514,0.231,2.565,7.874,-10.477,"Coe College","Coe College",,,,,{C2854809-D203-4EEA-9707-1C7EDA3D36B4},-0.119,0.610
195,2020/01/22,14:37:58,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,37.348,-0.132,-1.775,2177.00,200.578,12:45,1.308,-0.408,1.662,-0.530,0.492,0.140,0.740,-0.041,33.460,-4.062,-0.740,0.462,,,,,,,,,,,,-0.090,0.278,-0.361,15.240,1.300,1.092,-36.976,-0.291,-1.570,8.557,-4.939,"Coe College","Coe College",,,,,{2391DB9D-AD3B-403D-86F6-FE9CC8D39170},-0.041,0.740
196,2020/01/22,14:38:07,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,37.057,-0.374,-1.994,2264.00,195.812,12:30,1.321,-0.363,1.731,-0.483,0.547,0.104,0.732,0.099,33.403,-3.956,-1.221,0.463,,,,,,,,,,,,-0.072,0.308,-0.313,15.240,1.308,1.239,-36.714,-0.420,-1.251,8.034,-4.457,"Coe College","Coe College",,,,,{0DA4E71B-393B-45E5-8DD6-9B56CDA8132B},0.099,0.732
197,2020/01/22,14:38:15,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.802,-0.850,-1.655,2149.00,187.637,12:15,1.338,-0.391,1.711,-0.491,0.556,0.031,0.606,0.050,33.164,-4.484,-1.427,0.467,,,,,,,,,,,,-0.030,0.317,-0.348,15.240,1.312,1.042,-36.458,-0.724,-0.512,7.991,-4.385,"Coe College","Coe College",,,,,{9E416F30-F6D9-42A4-BD17-7CAA9F50CD45},0.050,0.606
198,2020/01/22,14:38:24,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,36.485,-0.475,-1.349,2099.00,194.144,12:30,1.385,-0.351,1.947,-0.505,0.527,0.102,0.747,-0.076,33.066,-4.263,-0.580,0.463,,,,,,,,,,,,-0.067,0.303,-0.322,15.240,1.372,0.820,-36.213,-0.463,-1.135,7.569,-4.660,"Coe College","Coe College",,,,,{D4E36F94-3578-4987-B6C8-D651ABCEC11E},-0.076,0.747
199,2020/01/22,14:38:33,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.971,-0.498,-1.437,2025.00,194.660,12:30,1.371,-0.365,1.794,-0.512,0.514,0.101,0.719,-0.060,33.507,-4.297,-0.683,0.461,,,,,,,,,,,,-0.066,0.290,-0.331,15.240,1.355,0.883,-36.664,-0.503,-1.147,7.696,-4.750,"Coe College","Coe College",,,,,{ACAD656E-A585-42CE-A026-0044E5EF413D},-0.060,0.719
200,2020/01/22,14:38:41,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.064,-0.066,-2.192,1930.00,197.347,12:30,1.373,-0.416,1.784,-0.547,0.475,0.089,0.808,0.116,33.353,-4.142,-1.525,0.462,,,,,,,,,,,,-0.066,0.270,-0.362,15.240,1.368,1.373,-36.723,-0.239,-1.152,8.195,-5.126,"Coe College","Coe College",,,,,{23D71B5D-60C2-4123-A78C-B7EAE24AD45B},0.116,0.808
201,2020/01/22,14:38:51,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.692,-0.251,-1.760,2084.00,198.112,12:30,1.338,-0.378,1.779,-0.524,0.519,0.127,0.743,-0.005,33.109,-4.151,-0.818,0.466,,,,,,,,,,,,-0.082,0.293,-0.335,15.240,1.328,1.072,-36.369,-0.347,-1.408,7.849,-4.801,"Coe College","Coe College",,,,,{8EC246DD-C8D7-478A-B1ED-677555B0810D},-0.005,0.743
202,2020/01/22,14:39:02,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Dawson Abiley",{B4AA7DF4-82A9-4CE3-ADB3-6A2D416784F8},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,37.109,-0.975,-1.484,2029.00,193.990,12:30,1.357,-0.385,1.698,-0.514,0.516,0.097,0.564,-0.059,33.597,-4.773,-0.768,0.462,,,,,,,,,,,,-0.063,0.293,-0.347,15.240,1.327,0.916,-36.773,-0.822,-1.108,7.816,-4.681,"Coe College","Coe College",,,,,{C87ED748-FC97-44C8-BADE-9E685BCF5390},-0.059,0.564
