attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
75,"Apr 15, 2009",cenlut3,,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Jason Hassman,Blake Smith,Tyler Wivinis,0,2,Trevor Talbott,11,000000200,cf,2b/ss,lf,dh,rf,3b,1b,c,ss,D.J. Glasgow,"central college
",Central College,D.J. Glasgow,,9.0,Y,,"Pella, Iowa (A.N. Kuyper Field)",3 p.m.   ,2:26   ,,"luther college
",Luther College,Nate Neis,Chris Reynolds,Jake Waddle,Zack Topping,Ben Schott,Steve Beckman,Mark Weber,Joe Thompson,Alex Thomas,1,5,Cody Hyland,10,010300001,3b,2b,c,dh,1b,ss,lf,rf,cf,Nate Todd,,Nate Todd
107,"Mar 31, 2009",coecor1,,Scott DeAngelis,Jeff Wagner,Pat Richmond,Ryan Velvick,Ryan Schisler,Tyler McAllister,Adam Nisenson,Nick McKenzie,Jon Reiner,4,8,Alec Lewis,12,000007001,2b,lf,1b,cf,3b,ss,rf,dh,c,Cody Raisch,"coe college
",Coe College,Adam Butler,,9.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:00 pm   ,2:37   ,HP: Dave Bohnenkamp  1B: Chuck Epperson,"cornell college
",Cornell College,David Bartine,Michael Tierney,Ryan Clausen,Matt Pfister,Matthew Shimanovsky,Jason Douglas,Nick Weinmeister,Jesse Searls,,3,7,Adam Butler,9,202010002,rf,cf,1b,lf,ss,c,3b,2b,,Casey Korn," 48 degrees, 25 m winds",Alec Lewis
250,"Apr 24, 2009",bvuwar1,1,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Brock Yossi,Garrett Hill,Tyler Case,Michael Stephenson,1,2,Tregg Fay,7,0200000,ss,1b,rf,lf,c,3b,dh,cf,2b,Ryan Wuebker,#18 buena vista univ.,#18 Buena Vista Univ.,Ryan Wuebker,,7.0,Y,,"Storm Lake, Iowa (BVU/Storm Lake Field)",5:00pm   ,1:30   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Kyle Jones,A.J. Lewis,Steve Chamberlin,Zach Nagle,0,8,Billy Schmitt,9,3020300,lf,ss,dh,1b,cf,rf,c,2b,3b,Billy Schmitt,,Billy Schmitt
,"Mar 07, 2009",simrfrd1,1,Dascher,Clay,Brockman,Wiest,Nicholson,Dercks,Stanfield,Smith,Bucey,1,3,Riffle,6,0010200,cf,lf,1b,c,dh,ss,rf,3b,2b,Kuchelmeiste,rockford college,Rockford College,Kuchelmeiste,,7.0,N,,"Phoenix, AZ (Gene Autry Park)",11:30 AM   ,  ,,"simpson college
",Simpson College,Corey Rasmussen,Jesse Reis,Scott Ethell,Chris Jones,Cory Dawson,Curt Bjork,Jared Swim,Jason Hayes,Zach Smith,2,6,Clint Rhodes,8,0220200,ss,2b,3b,lf,1b,c,cf,rf,dh,Mike Huyser,,Mike Huyser
,"Mar 20, 2009",lutccm1,1,Krause,Wackler,Haase,K.Johnson,Schumacher,A.Johnson,Lewis,Emmerich,Sykora,0,15,Venturini,15,010095X,ss,2b,dh,c,1b,lf,cf,rf/cf,3b,Massee,concordia-moorhead,Concordia-Moorhead,Adam Kohls,,7.0,Y,,"Mesa, Arizona (Mountain View H.S.)",  ,  ,,"luther college
",Luther College,Chris Reynolds,Nate Neis,Jake Waddle,Ben Schott,Mark Weber,Joe Thompson,Zack Topping,Steve Beckman,Alex Thomas,1,3,Greg Siems,7,0002010,2b,3b,c,1b,lf,rf,dh,ss,cf,Adam Kohls,,Massee
70,"Mar 16, 2009",bvumlc2,2,Brett Wilson,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Mitchell Feller,Michael Stephenson,2,25,Matt Bissen,15,880342X,ss,3b,cf,lf,dh,1b,rf,c,2b,Nathan Smejkal,"buena vista university
",Buena Vista Univ.,Polfer,,7.0,Y,,"Storm Lake, Iowa (BVU/SL Baseball)",4:15pm   ,2:00   ,,martin luther coll.,Martin Luther Coll.,Janke,Scott,Krause,Morgan,Pudlo,"Janke, J.",Hansen,Schultz,Tomizawa,7,1,King,4,0001000,ss,2b,cf,1b,3b,dh/p,rf,lf,c,Polfer,,Nathan Smejkal
86,"Apr 21, 2009",dbqlor2,2,Chris Hylland,Chris Duran,Evan Bierman,Richard Garcia,Alex Larson,Jacob Rannals,Mark Hennessy,Bill Albee,Orlando Mejia,3,2,Louis Dettorre,5,0000200,ss,dh,3b,lf,rf,cf,c,1b,2b,Bobby Orosco,"dubuque, univ. of","Dubuque, Univ. of",Bobby Orosco,,7.0,Y,,"Dubuque, Iowa (Chlapaty Field)",3:40 pm   ,2:10   ,,"loras college
",Loras College,Alex Miklo,Nick Olberding,Ben Kuebel,John Schroeder,Austin Brown,BJ Juergens,Kyle Soeder,Tyler Shireman,Adam Gross,0,15,Jay Martin,17,3022314,2b,ss,3b/ss,c,lf,1b,dh,rf,cf,Alex Mallonee,,Alex Mallonee
85,"Mar 15, 2009",warcuc3,,Walker,Slechta,Isaac,Seris,Bickel,Tropp,Balind,"Stephens, S.",Linsner,3,2,Leyhane,3,000002000,ss,3b,rf,1b,lf,2b,c,cf,dh,Jusk,concordia (ill.),Concordia (Ill.),Leyhane,,9.0,Y,,"Sauget, IL (GCS Ballpark)",10 a.m.   ,2:06   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Mike Johnson,Patrick Grau,A.J. Lewis,Kyle Jones,Isiah Stevens,Zach Nagle,,2,3,Nate Rost,7,010001010,lf,2b,1b,cf,c,rf,3b,ss,,Jerrold Martijn,,Jerrold Martijn
90,"Mar 21, 2009",lorwar3,2,Adam Gross,Ben Kuebel,Nick Olberding,Clark Egdorf,John Schroeder,BJ Juergens,Austin Brown,Tyler Shireman,Alex Miklo,2,3,Austin Safranski,7,0100101,cf,3b,ss,1b,c,dh,lf,rf,2b,Austin Safranski,"loras college
",Loras College,Billy Schmitt,,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",2:50   ,1:35   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Mike Johnson,Patrick Grau,Billy Schmitt,Jerrold Martijn,A.J. Lewis,Isiah Stevens,Zach Nagle,3,2,Billy Schmitt,7,0000200,lf,ss,1b,rf,p,cf,c,3b,2b,Billy Schmitt,,Austin Safranski
436,"Apr 11, 2009",bvucoe2,1,Max Tunning,Ryan Schisler,Pat Richmond,Ryan Velvick,Tyler McAllister,John Logan,Adam Nisenson,Scott DeAngelis,Jon Reiner,2,6,Cody Raisch,10,0210012,3b/2b,lf/3b,1b,cf,ss,dh,rf,2b,c,Cody Raisch,"coe college
",Coe College,Luke Probasco,,7.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 pm   ,2:00   ,HP: Jeff Frese  1B: Taylor Umland,#9 buena vista univ.,#9 Buena Vista Univ.,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,0,5,Luke Probasco,8,0020201,ss,3b,rf,lf,c,1b,dh,cf,2b,Jarad George,,Cody Raisch
