attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
100,"Mar 15, 2009",bvugac2,2,Brad Blum,Mark Blum,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,,1,11,Chris Bireline,9,001046X,ss,3b,lf,c,1b,rf,cf,2b,,Brandon Pietrzyk,"buena vista university
",Buena Vista Univ.,A. Bren,,7.0,Y,,"Storm Lake, Iowa (BVU/SL Baseball Fiel)",3:30pm   ,2:30   ,,"gustavus adolphus
",Gustavus Adolphus,M. DesLaurie,N. Ruff,T. Herman,Al. Woitas,M. Morgan,An. Woitas,C. Eul,A. Bartz,G. Lane,1,8,K. Hagen,8,0300320,ss,2b,3b,1b,c,cf,dh,lf,rf,B. Knoll,,Chris Bireline
203,"May 02, 2009",corlor2,1,David Bartine,Matt Pfister,Michael Tierney,Casey Korn,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Andy Krekel,Ryan Fincham,2,18,Justin Brown,14,112112(10),rf,dh,cf,ss,3b,1b,2b,c,lf,Jeff Boyle,"cornell college
",Cornell College,Nick Olberding,,7.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",1:00 PM   ,2:40   ,,"loras college
",Loras College,Alex Miklo,Nick Olberding,Ben Kuebel,Clark Egdorf,John Schroeder,Austin Brown,BJ Juergens,Tyler Shireman,Adam Gross,4,17,Nick Olberding,17,0124064,2b,ss/p,3b/ss,1b,c,lf,dh,rf,cf,Austin Safranski,,Justin Brown
93,"Apr 24, 2009",cordbq1,,Chris Duran,Bill Albee,Evan Bierman,Shadi Abuhakmeh,Alex Larson,Jeffrey Stevens,Michael Hoppman,Caleb Russell,Orlando Mejia,6,3,Cole Freese,9,100200000,rf,1b,3b,c,cf,lf,dh,2b,ss,Mark Hennessy,"dubuque, univ. of","Dubuque, Univ. of",Jordan Skaar,,9.0,Y,,"Dubuque, Iowa (Chlapaty Field)",3 p.m.   ,2:20   ,HP: Paul Keitel  1B: Taylor Umand,"cornell college
",Cornell College,David Bartine,Matt Pfister,Casey Korn,Andrew Patzke,Matthew Shimanovsky,J.T. Pells,Andy Krekel,Jesse Searls,Ryan Fincham,1,10,David Bartine,17,000110044,rf/p,lf,1b,3b,ss,dh,c,2b,cf,Jeff Boyle, sunny 82,David Bartine
150,"Apr 11, 2009",cendbq2,1,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Jason Hassman,Josh Stanton,Tyler Wivinis,2,8,Doug Eisenman,8,1070000,cf,2b,lf,dh,rf,3b,1b,c,ss,Corey Eisenmann,"central college
",Central College,Doug Eisenman,,7.0,Y,,"Pella, Iowa (A.N. Kuyper Field)",1 p.m.   ,2:35   ,HP: Eric Thornton  1B: Jay Wichmann,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Richard Garcia,Evan Bierman,Jesse Ramirez,Shadi Abuhakmeh,Alex Larson,Chris Hylland,Orlando Mejia,,0,12,Blayke Conway,13,2002206,1b,lf,3b,c,rf,cf,2b,ss,,Justin Ramos,,Blayke Conway
100,"Mar 27, 2009",cenlor1,,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Dave Lakin,Tyler Wivinis,0,9,D.J. Glasgow,12,03000330X,cf,2b,lf,rf,1b,3b,c,dh,ss,D.J. Glasgow,"central college
",Central College,Cole Boge,,9.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3 pm   ,4:57   ,HP: Kevin Benzing  1B: Randy Schult,"loras college
",Loras College,Adam Gross,Ben Kuebel,Nick Olberding,Clark Egdorf,John Schroeder,BJ Juergens,Austin Brown,Tyler Shireman,Alex Miklo,1,2,Jay Martin,9,000200000,cf,3b,ss,1b,c,dh,lf,rf,2b,Cole Boge,,D.J. Glasgow
50,"Feb 28, 2009",cenbet2,2,T. Churchill,P. Anderson,S. Flaherty,M. Therrien,B. Tokar,E. Anderson,T. Oesterlin,R. Doheny,Littlefield,4,5,A. Beck,9,2000003,ss,2b,lf,dh,1b,c,cf,rf,3b,K. McCracken,bethel univ. (minn.),Bethel Univ. (Minn.),Caleb Rangel,,7.0,Y,,"Minneapolis, Minn. (Metrodome)",7:58 am   ,2 hrs   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Dave Lakin,Quinn O'Brien,B.J. Pilling,1,4,Caleb Rangel,6,1100200,cf,ss,lf/p,1b,rf,3b,2b,c,dh,Corey Eisenmann,,A. Beck
,"Mar 14, 2009",simjhu1,1,Corey Rasmussen,Jesse Reis,Chris Jones,Cory Dawson,Dave Johnson,Curt Bjork,Jared Swim,Scott Ethell,Jason Hayes,2,10,Mike Huyser,13,10003420,ss,2b,lf,dh,1b/3b,c,cf,3b,rf,Clint Rhodes,"simpson college
",Simpson College,Mike Huyser,,8.0,Y,,"Phoenix, AZ (Salt River HS)",  ,  ,,#5 johns hopkins univ.,#5 Johns Hopkins Univ.,D Merzel,J Teta,B Youchak,T Emr,J Sikorski,B Walsh,C Huisman,M Aspegren,J Swarr,3,12,R Kahn,18,10204212,2b,ss,cf,3b,1b,rf,dh,lf,c,D Fioretti,,R Kahn
60,"Mar 13, 2009",censov,,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Tyler Wivinis,Dave Lakin,0,17,Jarred Lackey,18,505223X,cf,ss,lf,rf/p,1b,dh,c,3b,2b,D.J. Glasgow,"central college
",Central College,Ben Naak.,,7.0,Y,,"Fort Myers, Fla.",4 pm   ,2 hours   ,,southern vermont,Southern Vermont,Dave Gage,Brett Pawlak,Dan Cook,Adam Northup,Eric Wells,P.Warrington,Tim Johnson,Will Warner,Rob Murawski,4,2,Andrew Morin,5,0010010,2b/ss,ss,c,1b,dh,cf,rf,lf,3b,Ben Naak.,,D.J. Glasgow
56,"Apr 01, 2009",corgrn1,,Michael Tierney,Matthew Shimanovsky,Casey Korn,Andrew Patzke,Ryan Clausen,J.T. Pells,Andy Krekel,Nick Weinmeister,Ryan Fincham,2,4,David de Besche,9,000001201,cf,2b/ss,ss/3b,lf,1b,dh,c,3b,rf,Chris Handke,"cornell college
",Cornell College,David Bartine,,9.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",5:09 PM   ,2:28   ,,"grinnell college
",Grinnell College,Takabuki,Sollo,Mendoza,Roder,Suryn,B. Maloney,Nodzenski,Pierce,Prouty,3,5,Pope,8,001100120,2b,3b,ss,rf,lf,1b,c,dh,cf,Harris,,Bogard
110,"Mar 14, 2009",warwebs,,Raetzloff,Bielanski,Biagini,Schaefer,Huey,Fuiten,Pisani,Kienker,Little,3,6,Gebhardt,9,010100130,2b,lf,dh,c,cf,3b,1b,rf,ss,Law,"webster university
",Webster University,Law,,9.0,Y,,"Sauget, IL (GCS Ballpark)",5:20 p.m   ,2:56   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,A.J. Lewis,Kyle Jones,Zach Nagle,Steve Chamberlin,0,11,Nate Rost,16,011440001,dh,ss,cf,1b,rf,c,lf,3b,2b,Billy Schmitt,,Billy Schmitt
,"Mar 08, 2009",simmonm1,1,Corey Rasmussen,Jesse Reis,Chris Jones,Cory Dawson,Scott Ethell,Curt Bjork,Jared Swim,Jason Hayes,Zach Smith,0,14,Dan Murphy,14,221900X,ss,2b,lf,1b,3b,c,cf,rf,dh,Brandon Harrison,"simpson college
",Simpson College,,,7.0,N,,"Phoenix, AZ (Gene Autry Park)",  ,  ,,monmouth (ill.),Monmouth (Ill.),Herrin,Ruyle,Kamm,M. Johnson,Sashko,Davis,Peterson,Basala,Shaver,4,7,Wolcott,11,0001114,cf,3b,1b,dh,ss,rf,lf,c,2b,D. Johnson,,Brandon Harrison
35,"Apr 01, 2009",dbqsim1,,Corey Rasmussen,Jesse Reis,Chris Jones,Cory Dawson,Dave Johnson,Scott Ethell,Curt Bjork,Jared Swim,Jason Hayes,1,4,Jared Sass,5,000400X,ss,2b,lf,dh,1b,3b,c,cf,rf,Brandon Harrison,"simpson college
",Simpson College,Mark Hennessy,,7.0,Y,,"Indianola, Iowa (McBride Field)",3:30   ,1:45   ,,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Richard Garcia,Jesse Ramirez,Evan Bierman,Alex Larson,Shadi Abuhakmeh,Chris Hylland,Bill Albee,Caleb Russell,2,3,Mark Hennessy,4,1101000,dh,lf,c,3b,cf,rf,2b,1b,ss,Mark Hennessy, Cool and sunny,Chris Dorff
111,"May 16, 2009",warfon,,Ben Roemmich,Danny Rose,Mike Johnson,Jerrold Martijn,Patrick Grau,Kyle Jones,A.J. Lewis,Isiah Stevens,Steve Chamberlin,0,4,Nate Rost,8,00130000X,lf,ss,1b,dh,cf,rf,c,3b,2b,Billy Schmitt,"wartburg college
",Wartburg College,Grover,,9.0,Y,,"Moline, Illinois (Swanson/Brunner)",12:03 pm   ,1:59   ,HP: Jeff Frese  1B: Matt Moore  2B: Ron Mohler  3B: Kevin F,"fontbonne university
",Fontbonne University,Tolan,Horn,Nikolaisen,Kraemer,Juergensmeye,Burlison,Richardson,Almany,Tovar,3,2,Grover,10,000001010,2b,c,rf,1b,cf,lf,dh,3b,ss,Grover,,Billy Schmitt
77,"Apr 07, 2009",dbqlawr2,2,Clark,Rashid,A. Frelich,Otte,Pedretti,Forseth,Kostreva,Haiduke,Welke,5,15,Leitner,13,400902X,ss,rf,lf,cf,dh,3b/2b,1b,2b/c,c,Wilt,"lawrence university
",Lawrence University,Blayke Conway,,7.0,Y,,"Appleton, Wis. (Whiting Field)",4:30 pm   ,2:38   ,HP: Dennis Semph  1B: Dennis Kostac,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Jeffrey Stevens,Evan Bierman,Jesse Ramirez,Shadi Abuhakmeh,Alex Larson,Chris Hylland,Jacob Rannals,Caleb Russell,5,14,Blayke Conway,15,3330320,1b,rf,3b,dh,c,cf,2b,lf,ss,Mark Hennessy,,Leitner
53,"Apr 08, 2009",cengrn2,,Takabuki,Sollo,Mendoza,Roder,Nodzenski,Maloney,Suryn,Pierce,Prouty,2,9,Pope,12,3221000001,2b,3b,ss,rf,c,1b,lf,dh,cf,Bogard,"grinnell college
",Grinnell College,Joel Pulliam,,10.0,Y,,"Grinnell, Iowa (North Diamond)",2 p.m.   ,2:43   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Blake Smith,Anthony Miller,Josh Stanton,Tyler Wivinis,5,8,Joel Pulliam,10,2001400010,cf,2b,lf/p,1b,rf,dh,3b,c,ss,Trevor Talbott,,Pope
,"Apr 07, 2009",simnwu1,1,"DePriest, G","Ostrom, J","Hilgenkamp,","Hubka, M","Peters, J","Beckman, B","Petersen, C","Wahl, C",Stephenson,3,10,"Gatzemeyer,",9,414010X,lf,ss,dh,c,cf,rf,1b,3b,2b,"Happold, J","nebraska wesleyan university
",Nebraska Wesleyan,Miles Swenson,,7.0,Y,,"Lincoln, Neb. (NWU Field)",1:03 pm   ,1:52   ,HP: Gary Cullison  1B: Frank McEntarff,"simpson college
",Simpson College,Corey Rasmussen,Zach Smith,Cory Dawson,Dave Johnson,Chris Jones,Scott Ethell,Jared Swim,Curt Bjork,Jason Hayes,3,7,Tim Bolten,7,0020500,ss,2b,dh,1b,lf,3b,cf,c,rf,Miles Swenson,,"Happold, J"
,"Mar 08, 2009",corfont2,2,Tolan,Horn,Nikolaisen,Juergensmeye,Kraemer,Almany,Tovar,Richardson,Burlison,3,23,Hanson,20,026537X,2b,c,rf,cf,1b,3b,ss,dh,lf,Jereb,"fontbonne university
",Fontbonne University,Nick Weinmeister,,7.0,Y,,"St. Louis, Mo. (Shaw Park)",  ,  ,,"cornell college
",Cornell College,Jason Douglas,Caleb Wilson,Casey Korn,Mark Corbeil,J.T. Pells,Andrew Patzke,Matthew Shimanovsky,Matt Pfister,Jesse Searls,5,15,Frank Anshutz,22,5500230,c,rf,3b,1b,dh,lf,ss,cf,2b,Adam Harrington,,Jereb
100,"Apr 19, 2009",bvucen2,1,Ben Tressel,Anthony Miller,Caleb Rangel,Jarred Lackey,Mike Furlong,Derek Knutson,Jason Hassman,Josh Stanton,Tyler Wivinis,5,13,D.J. Glasgow,12,20017030,cf,3b,lf/p,rf,2b,dh,1b,c,ss,Joel Pulliam,"central college
",Central College,D.J. Glasgow,,8.0,Y,,"Pella, Iowa (P.H. Kuyper Field)",1 p.m.   ,3:09   ,HP: Rich Choponis  1B: Tim Dunphy,#9 buena vista univ.,#9 Buena Vista Univ.,Brad Blum,Mark Blum,Michael Hoffman,Kevin Kloewer,Garrett Hill,Brock Yossi,Tyler Case,Michael Stephenson,,1,15,Kyle Dupic,13,05103042,ss,1b,lf,c,rf,3b,cf,2b,,Brandon Pietrzyk,,Kyle Dupic
100,"Mar 27, 2009",bvuthom1,,Burke,Costa,Fieldsend,Leland,Desjardins,Geel,Gallant,Schauwecker,Nickerson,5,6,Estes,13,0103020,cf,2b,ss,c/dh,rf,lf,3b,dh,1b,Cameron,thomas college,Thomas College,Cameron,,7.0,Y,,"Mesa, AZ (Gene Autry Park)",12:00 pm   ,2:00   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,Mark Blum,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,,1,11,Matt Bissen,14,2230013,ss,3b/1b,lf,c,1b,rf,cf,2b,,Brandon Pietrzyk,,Brandon Pietrzyk
85,"Mar 17, 2009",cenpla,,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Tyler Wivinis,Dave Lakin,5,2,Doug Eisenman,8,000100001,cf,ss,dh,rf,1b,lf,c,3b,2b,Corey Eisenmann,"central college
",Central College,D.J. Glasgow,,9.0,Y,,"Fort Myers, Fla.",9 am   ,2:30 pm   ,,plattsburgh state,Plattsburgh State,J. Campbell,E. Schwind,M. Kelley,J. Curcio,Shaughnessy,C. Pack,J. Colligan,K. Gent,R. Dominguez,1,3,M. O'Leary,4,100001100,ss,rf,3b,1b,2b,dh,cf,lf,c,M. O'Leary,,M. O'Leary
55,"Mar 11, 2009",dbqfit1,1,Phelan,Granahan,Graham,Balderelli,Morrison,Smart,Rocheleau,Hughes,,5,4,"Miller, III",6,2101000,ss,2b,1b,c,cf,3b,lf,rf,,Sauer,fitchburg state,Fitchburg State,Sauer,,7.0,Y,,"Winter Haven, Fla. (Chain Lakes)",9:30 am   ,2:00   ,,"dubuque, univ. of","Dubuque, Univ. of",Richard Garcia,Chris Hylland,Jesse Ramirez,Alex Larson,Shadi Abuhakmeh,Chris Duran,Jeffrey Stevens,Ryan Pyles,Caleb Russell,3,6,Jordan Skaar,6,0002301,lf,2b,c,cf,dh,1b,3b,rf,ss,Jordan Skaar,,Jordan Skaar
50,"Feb 28, 2009",warcuc1,,Danny Rose,Zach Nagle,Jerrold Martijn,Kyle Jones,A.J. Lewis,Patrick Grau,Mike Johnson,Isiah Stevens,Ben Roemmich,3,6,Billy Schmitt,11,02000103X,2b,ss,cf,dh,c,rf,1b,3b,lf,Jake Kuennen,"wartburg college
",Wartburg College,Collaro,,9.0,Y,,"Phoenix, Ariz.",3:30 pm   ,2:30   ,,concordia (ill.),Concordia (Ill.),Walker,Slechta,Isaac,Seris,Bickel,Tropp,Schwartz,"Stephens, S.",Linsner,4,1,Milroy,4,000000001,ss,3b,rf,1b,lf,2b,c,cf,dh,Collaro,,Jake Kuennen
75,"Mar 20, 2009",lorwar1,,Adam Gross,Ben Kuebel,Nick Olberding,John Schroeder,Kyle Soeder,Austin Brown,BJ Juergens,Tyler Shireman,Alex Miklo,3,5,Jay Martin,8,000230000,cf,3b,ss,c,dh,lf,1b,rf,2b,Cole Boge,"loras college
",Loras College,Cole Boge,,9.0,Y,,"Dubuque, Iowa (Petrakis Park)",5:45 pm   ,2:15   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Mike Johnson,Patrick Grau,Billy Schmitt,Kyle Jones,A.J. Lewis,Zach Nagle,,2,8,Nate Rost,11,230000030,lf,ss,1b,cf,3b,rf,c,2b/3b,,Jerrold Martijn,,Jerrold Martijn
103,"Apr 03, 2009",lutwar2,,Ben Roemmich,Danny Rose,Mike Johnson,Billy Schmitt,Patrick Grau,Kyle Jones,A.J. Lewis,Jerrold Martijn,Zach Nagle,1,3,Brad Watson,5,0010020,lf,ss,1b,3b,cf,rf,c,dh,2b,Brad Watson,"wartburg college
",Wartburg College,Max Flaig,,7.0,Y,,"Waverly, Iowa (Hertel Field)",6:56PM   ,1:33PM   ,HP: Bill Boyd  1B: Mike Gan,"luther college
",Luther College,Nate Neis,Jake Waddle,Zack Topping,Ben Schott,Mark Weber,Chris Reynolds,Steve Beckman,Joe Thompson,Alex Thomas,2,0,Jeff Riddle,6,0000000,2b,c,dh,1b,lf,ss,3b,rf,cf,Max Flaig,,Brad Watson
70,"Mar 16, 2009",cenumm2,2,Bacon,Olson,Peterson,Folie,Mooney-Leber,Blair,Barta,Nyquist,Thompson,1,1,Kramer,5,0001000,cf,2b,ss,3b,dh,1b,lf,c,rf,Randall,univ of minn.-morris,Univ of Minn.-Morris,Randall,,7.0,Y,,"Fort Myers, FL",4:40 pm   ,2:30   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Jarred Lackey,Derek Knutson,Blake Smith,Dave Lakin,Josh Stanton,Tyler Wivinis,B.J. Pilling,0,18,Anthony Miller,16,20122(11)0,cf,ss,rf,1b,dh,2b,c,3b,lf,Josh Nalan,,Josh Nalan
79,"Mar 01, 2009",cenha,1,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Dave Lakin,Zach Jones,Blake Smith,Tyler Wivinis,4,4,Joel Pulliam,10,0010012,cf,ss,lf,1b,rf,2b,dh,c,3b,Adam Squires,"central college
",Central College,Adam Squires,,7.0,Y,,"Minneapolis, Minn. (Metrodome)",4:00 am   ,2:22   ,,"hamline university
",Hamline University,Kaczrowski,"Miller, C.",Humerickhous,"Buresh, A","Rogers, T.","Modrynski, J","King, A.","Preese, R.","Powell, A.",1,7,"Kreitlow, C.",10,0104200,ss,cf,3b,dh,rf,1b,lf,c,2b,"Bugielski, B",,"Bugielski, B"
60,"Mar 08, 2009",bvudoan1,1,"Hincy, Antho","Reed, Josh","Snow, Blake","Frinkman, Th","Bies, Adam","Johnson, Tyl","Albert, Mich","Dunn, Anthon","Henson, Dean",0,5,Schachenmeye,8,0011030,ss,2b,rf,dh,1b,c,cf,3b,lf,"Brull, Chanc",doane college,Doane College,"Brull, Chanc",,7.0,Y,,"Crete, Neb. (Ledon Baseball Field)",1:30 PM   ,2:42   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,2,7,Kyle Dupic,9,1400011,ss,3b,dh/rf,lf,c,1b,rf,cf,2b,Jarad George,,Jarad George
100,"Apr 25, 2009",bvuwar3,,Brad Blum,Mark Blum,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Brock Yossi,Garrett Hill,Tyler Case,Michael Stephenson,0,4,Luke Probasco,7,01000030X,ss,1b,rf,lf,c,3b,dh,cf,2b,Luke Probasco,#18 buena vista univ.,#18 Buena Vista Univ.,Jake Kuennen,,9.0,Y,,"Storm Lake, Iowa (BVU/Storm Lake Field)",1:00pm   ,1:30   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Kyle Jones,A.J. Lewis,Steve Chamberlin,Zach Nagle,2,0,Nate Rost,6,000000000,lf,ss,dh,1b,cf,rf,c,2b,3b,Jake Kuennen,,Luke Probasco
74,"Apr 15, 2009",coecor3,2,David Bartine,Michael Tierney,Andrew Patzke,Casey Korn,Caleb Wilson,Matthew Shimanovsky,Ryan Clausen,Andy Krekel,Ryan Fincham,0,2,Nick Weinmeister,6,0010100,rf,cf,3b,ss,dh,2b,1b,c,lf,Adam Butler,"cornell college
",Cornell College,Adam Butler,,7.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",7:30 pm   ,1:52   ,,"coe college
",Coe College,Jeff Wagner,Max Tunning,Pat Richmond,Ryan Velvick,Ryan Schisler,Tyler McAllister,Adam Nisenson,Scott DeAngelis,Jon Reiner,1,8,Alec Lewis,13,3040010,lf,3b,1b,cf,dh,ss,rf,2b,c,Alec Lewis, 60 degrees and c,Alec Lewis
124,"Mar 15, 2009",corash1,1,Jason Douglas,Matthew Shimanovsky,Michael Tierney,Casey Korn,Mark Corbeil,Matt Pfister,David Bartine,Nick Weinmeister,Jesse Searls,3,3,Casey Korn,3,00021000,c,ss,cf,p,1b,lf,rf,3b,2b,Casey Korn,"cornell college
",Cornell College,Casey Korn,,8.0,Y,,"Mount Vernon, IA (Ash Park)",2:00 PM   ,2:25   ,,ashford university,Ashford University,Wakely,Peters,Cummings,Steve,Wojciechowsk,Sukut,Misitano,Schmitt,VanBlaricome,3,5,Happ,8,30000002,cf,2b,3b,dh,1b,lf,rf,c,ss,Becker,,Happ
45,"Mar 31, 2009",cenlut1,1,Nate Neis,Jake Waddle,Ben Schott,Zack Topping,Mark Weber,Chris Reynolds,Joe Thompson,Steve Beckman,Alex Thomas,2,6,Nate Todd,10,040020X,2b,c,1b,dh,lf,ss,rf,3b,cf,Adam Kohls,"luther college
",Luther College,Corey Eisenmann,,7.0,Y,,"Decorah, Iowa (Luther College)",1:00 pm   ,3:10   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Dave Lakin,Tyler Wivinis,2,3,Doug Eisenman,8,0010200,cf,2b,lf,rf,1b,3b,c,dh,ss,Corey Eisenmann,,Adam Kohls
90,"Mar 21, 2009",corsim3,,Corey Rasmussen,Jesse Reis,Curt Bjork,Cory Dawson,Dave Johnson,Chris Jones,Jared Swim,Cale Smith,Scott Ethell,2,3,Mike Huyser,5,0200100,cf,2b,c,dh,1b,lf,rf,ss,3b,Brandon Harrison,"simpson college
",Simpson College,Brandon Harrison,,7.0,Y,,"Indianola, Iowa (McBride Field)",3:30   ,2:00   ,,"cornell college
",Cornell College,David Bartine,Michael Tierney,Andrew Patzke,Casey Korn,Matt Pfister,Matthew Shimanovsky,Andy Krekel,Nick Weinmeister,Jesse Searls,2,6,Chris Handke,8,0402000,rf,cf,dh,1b,lf,ss,c,3b,2b,Adam Butler, Sunny,Adam Butler
35,"Apr 19, 2009",lutmlc1,1,Nate Neis,Paul Ryan,Zack Topping,Mark Weber,Dan Genrich,Steve Beckman,Joe Thompson,Darin Schneider,Alex Thomas,0,8,Greg Siems,12,151100X,3b,2b,c,1b,dh,ss,rf,lf,cf,Greg Siems,"luther college
",Luther College,Blum,,7.0,Y,,"Decorah, Iowa (Luther College)",2:00 pm   ,1:43   ,,martin luther coll.,Martin Luther Coll.,Holzhueter,Krause,Pudlo,Morgan,Polfer,Scott,Gurgel,Korth,Tomizawa,1,0,Brenner,5,0000000,ss,cf,3b,dh,1b,2b,rf,lf,c,Blum,,Greg Siems
,"May 07, 2009",iiac02,,Jeff Wagner,Adam Nisenson,Pat Richmond,Ryan Schisler,Ryan Velvick,Tyler McAllister,John Logan,Max Tunning,Jon Reiner,2,10,Ryan Nicholson,16,15200200X,cf,rf,1b,lf,3b,ss,dh,2b,c,Ryan Nicholson,"coe college
",Coe College,Clint Rhodes,,9.0,Y,,"Cedar Rapids, IA (Veterans Mem. Stad.)",3:15pm   ,2:11   ,HP: Eric Thornton  1B: Scott Behn  3B: Larry Allen,"simpson college
",Simpson College,Corey Rasmussen,Jared Swim,Scott Ethell,Dave Johnson,Cory Dawson,Jesse Reis,Chris Jones,Curt Bjork,Cale Smith,2,3,Tim Bolten,6,001010010,cf,rf/lf,3b,1b,dh,2b,lf,c,ss,Clint Rhodes,,Ryan Nicholson
100,"Mar 07, 2009",cormvle2,2,Bo Bunton,Henkleman,Allerdissen,Stenzel,Huckstep,Seward,Esker,Mills,Haven,1,23,"M, Schwartz",23,(11)56010X,rf,cf,2b,1b,3b,dh,lf,ss,c,Kollack,maryville university,Maryville University,Frank Anshutz,,7.0,Y,,"St. Louis, Mo. (Weber Field)",  ,  ,,"cornell college
",Cornell College,Jason Douglas,Jesse Searls,Matthew Shimanovsky,Casey Korn,J.T. Pells,Andrew Patzke,Matt Pfister,Dan Krauss,Ryan Fincham,6,5,Charlie Muir,5,4000010,c,2b,ss,3b,dh,lf,cf,1b,rf,Nick Weinmeister,,Kollack
200,"Apr 29, 2009",coewar3,,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Billy Schmitt,Kyle Jones,A.J. Lewis,Zach Nagle,3,6,Danny Rose,14,101000040,lf,ss,p,1b,cf,3b,rf,c,2b,Jerrold Martijn,"wartburg college
",Wartburg College,Nate Rost,,9.0,Y,,"Waverly, Iowa (Hertel Field)",6 p.m.   ,2:48   ,,"coe college
",Coe College,Tyler McAllister,Jeff Wagner,Pat Richmond,Ryan Schisler,Ryan Velvick,Adam Nisenson,Spencer Sobba,Max Tunning,Jon Reiner,0,9,Alec Lewis,13,010022220,ss,cf,1b,lf,3b,rf,dh,2b,c,Cody Raisch,,Cody Raisch
121,"May 14, 2009",warmi,,Jeremy Aliff,Hunter Owen,Will Hawkins,Josh Ordenea,Russ Boyd,Tony Malasch,Todd Barntho,Billy Murphy,,2,5,Shelby Rober,7,30200000X,cf,rf,1b,3b,c,lf,2b,ss,,Tait Hendrix,millsaps college,Millsaps College,Jerrold Martijn,,9.0,Y,,"Moline, Illinois (Swanson/Brunner)",3:33 pm   ,2:33   ,HP: Paul Cusack  1B: Jeff Frese  2B: Kevin Wirth  3B: Ron Mohl,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,Kyle Jones,A.J. Lewis,Steve Chamberlin,Zach Nagle,2,3,Jerrold Martijn,8,000000201,lf,ss,p,1b,cf,rf,c,2b,3b,Jerrold Martijn,,Tait Hendrix
