date,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
4/21/2018,Jack Lasswell,Dalton Garst,Kellen Mitchell,Will Doherty,Thomas Kempf,Justin Jenson,Tyler Imrich,Tyler Lewan,Jarad Clevenger,1,0,Doug Van Dyke,5,000000000,2b,3b,1b,c,dh,rf,lf,ss,cf,Doug Van Dyke,,"dubuque, univ. of",Doug Van Dyke,,9,Austin Bohling,"Dubuque, Iowa (Dan W. Runkle Field)",1:00,2:51,,WAR,wartburg,JoJo McNair,Eric Willis,Blake Mahoney,Zach Hovick,Cody Hyler,Joseph Baumann,David Fitzgerald,Parker Ridge,Clay Henning,0,3,Austin Bohling,10,002010000,lf,2b,cf,1b,c,dh,rf,3b,ss,Benjamin Milewski,,Benjamin Milewski
3/16/2018,Bryce Rheault,Peyton Renning,Devin Wagenman,Coleman Roberts,Joe Rock,Tyler Tennyson,Porter Sartor,Nick Henrichs,Parker Truesdell,1,10,Jayden Clark,16,120033001,ss,lf,cf,rf,dh,1b,3b,c,2b,Tate Holmes,,buena vista,Tate Holmes,,9,,"Tucson, AZ (Kino Sport Complex 3)",10:00 am,3:15,,,macalester,Abelson,Baretta,McMullen,Brantner,Low,Castagnetti,Goldberg,Francalangia,Bearden,0,18,Moskal,18,10204(11)000,cf,lf,1b,c,dh,3b,rf,2b,ss,Polk,,Polk
3/31/2018,Justus Stocks,Owen Gubbels,Spencer Scheer,Derek Kolbush,Brook Johnson,Tyler Winterstein,Joel Maxwell,Dalton Vergith,Kyle Hunter,2,0,Dalton Hinrichs,4,000000000,rf,ss,3b,1b,lf,2b,dh,c,cf,Riley Ward,NWU,nebraska wesleyan,Riley Ward,,9,,"Lincoln, Neb. (NWU Field)",11:45 am,2:30,Home Plate: Mike FyeFirst: Chris Simon,WAR,wartburg,JoJo McNair,David Fitzgerald,Eric Willis,Blake Mahoney,Zach Hovick,Cody Hyler,Tyler Nunemaker,Parker Ridge,Clay Henning,0,9,Chris Tomkins,9,020010303,lf,rf,2b,cf,1b,c,dh,3b,ss,Dylan Gotto,"35 degrees, overcast",Dylan Gotto
3/9/2018,Isaac Evans,Cameron Frazier,Kevin DeLaney,Jacob Henry,Kyle Alvarado,Jacob Burns,Daniel Berger,Thomas Simon,Thomas Kahle,6,7,TJ Johnson,6,100024X,cf,lf,rf,ss,2b,dh,c,3b,1b,Jack Greene,,coe college,"Blunt, Kyle","Greene, J. faced 4 batters in the 4th.",7,TJ Johnson,"Auburndale, Fla. (Lake Myrtle Park #5)",3:52 pm,3:17,,,aurora,"Mayes, Jeffrey","Wetekind, Jett","Purviance, Davis","Davis, Cole","DeSpain, Bryce","Wiskow, Austin","Larsen, Bryan","Gill, AJ","Smith, Nathan",2,6,"Mathey, Nicholas",6,0203100,ss,c,cf,1b,dh,2b,rf,lf,3b,"Blunt, Kyle","70, Sunny, Winds ENE at 5 mph",Josh Gonzales
3/12/2018,Jordan DeCroock,Clayton Bodine,Zach Bakko,Cam Erickson,Walker Rogers,Donovan Tomony,Keane Turner,Joe Rydel,Josh Tyler,1,0,Jake Kraft,6,0000000,cf,ss,lf,dh,3b,1b,2b,c,rf,Darius Uditsky,,augsburg univ.,Darius Uditsky,D.Uditsky faced 4 batters in the 3rd.,7,,"Tucson, Ariz. (Kino Sports Complex)",5:31 pm,2:24,,,"dubuque, univ. of",Jack Lasswell,Jarad Clevenger,Dalton Garst,Kellen Mitchell,Thomas Kempf,Tyler Imrich,Luke Carroll,Michael Hoffman,Josh Pawlowski,2,9,Doug Knight,12,3230010,2b,rf,3b,1b,dh,lf,c,ss,cf,Tyler Carlson,,Tyler Carlson
3/30/2018,Jake Vogt,Matt Clark,Trent Athman,Bryce Hingst,Derek McCready,Mitch Bruggers,Gannon Jordahl,Jared Swanson,Jake Halverson,0,3,Colin Coffey,8,00201000X,cf,rf,c,1b,dh,3b,lf,2b,ss,Colin Coffey,LUT,luther college,Cameron Liston,Lowery faced 3 batters in the 7th.,9,,"Decorah, Iowa (Luther College)",1:00 pm,2:25,,SIM,simpson college,Jared Herzog,Hunter Hillygus,Noah Sacco,Truman Schmitt,Trey Kehoe,Brandon Urias,Scott Meier,Nathan Carlin,Tanner Jansen,3,2,Colin Sexton,2,000200000,cf,rf,lf,c,1b,3b,2b,ss,dh,Cameron Liston,,Colin Coffey
3/4/2018,Jared Herzog,Noah Sacco,Hunter Hillygus,Truman Schmitt,Trey Kehoe,Tanner Jansen,Nathan Carlin,Brandon Urias,Scott Meier,3,0,Michael Sunga,5,0000000,cf,lf,1b,c,dh,rf,ss,3b,2b,Curt Castenson,,simpson,Curt Castenson,Kunzer faced 3 batters in the 7th.,7,,"Tucson, Ariz. (Kino Sports Complex)",6:29 pm,2:16,,,briar cliff,Peyton Griesert,Brady Harpenau,Sawyer Olson,Nick Robinson,Mateo Shannon,Jacob Hom,Arnulfo Gutierrez,Logan Adam,Avery Foltz,1,13,T.J. Egbarts,14,2430004,2b,dh,lf,1b,c,rf,ss,3b,cf,Matt Wesselmann,"63, clear",Matt Wesselmann
4/10/2018,Justus Stocks,Spencer Scheer,Derek Kolbush,Tyler Winterstein,Matt Orozco,Cole Schumacher,Joel Maxwell,Jared Scdoris,Riley Ward,3,11,Tucker McHugh,15,05000006X,cf/rf,rf/lf,1b,2b,dh,3b,lf,c,ss,Brody Murphy,NWU,nebraska wesleyan,Nick Henrichs,,9,Tucker McHugh,"Lincoln, Neb. (NWU Field)",2:58 pm,2:28,Home Plate: Jon FyeFirst: Adam Barrickman,BVU,buena vista,Bryce Rheault,Devin Wagenman,Peyton Renning,Coleman Roberts,Tyler Tennyson,Porter Sartor,Alex Savary,Tyler Stoltze,Parker Truesdell,2,10,Nick Henrichs,14,340100200,ss,cf,lf,rf,1b,3b,dh,c,2b,Tyler Heineman,"59 degrees, sunny",Connor Cech
3/10/2018,Jake Halverson,Cole Jensen,Jake Vogt,Bryce Hingst,Derek McCready,Tommy Gleason,Mitch Bruggers,Trent Athman,Jared Swanson,2,5,Ryan McKnight,8,00003020,ss,rf/cf,cf/2b,1b,dh,lf,3b,c,2b,Colin Coffey,,luther college,Nate Loch,LaPage faced 1 batter in the 8th.,8,Sam Archer,"Pleasant Hill, IA (Southeast Polk HS)",12:30 pm,,,,gustavus adolphus,R. Moriarty,C. Pengilly,Ethan Mocchi,B. Panning,C. Clemensen,J. Lundquist,B. Peterson,G Brockhouse,N. Lindberg,1,7,Sam Archer,10,00202102,rf,ss,c,cf,2b,1b/p,3b,lf,dh/1b,A. Stockwell,,J. Lundquist
4/28/2018,Bradyn Thomas,Owen Gubbels,Derek Kolbush,Tyler Winterstein,Nick Bruno,Joel Maxwell,Matt Orozco,Cole Schumacher,Kyle Hunter,6,12,Hayden Parker,16,214014X,2b,ss,1b,3b,dh,lf,c,rf,cf,Riley Ward,NWU,nebraska wesleyan,Nate Loch,,7,Hayden Parker,"Lincoln, Neb. (NWU Field)",3:00 pm,2:30,Home Plate: Ben EngstrandFirst: Rex Engstrand,LUT,luther,Jake Vogt,Jake Halverson,Trent Athmann,Bryce Hingst,Mitch Bruggers,Joe McKibben,Derek McCready,Gannon Jordahl,Kelby Johnson,0,9,Nate Loch,11,2300310,cf,ss,c,1b,3b,rf,dh,lf,2b,Ross Hingst,,Sam Condello
5/5/2018,Isaac Evans,Riley LeGrand,Jordan Kaplan,Grant Henning,Jacob Burns,Nolan Arp,Nolan Weber,Thomas Simon,Matthew Schrader,4,6,Travis Bowman,7,100400001,cf,rf,1b,dh,lf,2b/ss,c,3b,ss,David Keaton,COE,coe college,David Keaton,"Greene, J. faced 3 batters in the 7th.",9,,"Cedar Rapids, Iowa (Bill Quinby Field)",4:03 pm,2:53,Home Plate: Dennis BrodbeckFirst: David Nee,SIM,simpson,Jared Herzog,Scott Meier,Noah Sacco,Hunter Hillygus,Trey Kehoe,Truman Schmitt,Brandon Urias,Nathan Carlin,Tanner Jansen,0,11,Trey Kehoe,11,031402100,cf,2b,lf,1b,dh/p,c,3b,ss,rf,Cameron Liston,"84, Sunny, Winds W at 11 mph",Trey Kehoe
5/11/2018,Jack Lasswell,Dalton Garst,Kellen Mitchell,Justin Jensen,Thomas Kempf,Zach McCoy,Jarad Clevenger,Will Doherty,Tyler Imrich,3,3,Nathan Schneiderman,7,10020000X,2b,3b,1b,cf,dh,ss,rf,c,lf,Doug Van Dyke,DBQ,dubuque,Benjamin Milewski,,9,Nathan Schneiderman,"Cedar Rapids, Iowa (Veterans Stadium)",11:58 am,1:58,Home Plate: Larry AllenFirst: Brett MeilThird Base: Allen Steckl,WAR,wartburg,JoJo McNair,Eric Willis,Emmanuel JEffery,Blake Mahoney,Zach Hovick,Cody Hyler,David Fitzgerald,Parker Ridge,Clay Henning,2,2,Austin Bohling,5,000010100,lf,2b,dh,cf,1b,c,rf,3b,ss,Benjamin Milewski,53 degrees overcast,Doug Van Dyke
4/12/2018,Jared Herzog,Scott Meier,Noah Sacco,Hunter Hillygus,Truman Schmitt,Kolton Arnold,Trey Kehoe,Tanner Jansen,Nathan Carlin,3,4,Ethan Coble,6,020010100,cf,2b/ss,lf,1b,c,3b,p/dh,rf,ss,Trey Kehoe,SIM,simpson,Trey Kehoe,,9,,"Indianola, Iowa (McBride Field)",6:11 pm,2:43,Home Plate: Jason KramerFirst: Patrick McIlhon,DBQ,dubuque,Jack Lasswell,Dalton Garst,Will Doherty,Justin Jenson,Ian Meyer,Kellen Mitchell,Tyler Imrich,Tyler Lewan,Nasir Ricks,1,14,Nick Sewruk,20,420101231,2b,3b,c,rf,dh,1b,lf,ss,cf,Doug Van Dyke,"68, p cloudy, ene 13 mph",Doug Van Dyke
3/10/2018,Garrett Saunders,Coy Moore,Ryan Bouwman,Tanner Wood,Trevor Kimm,Joe Rebik,Kyle Crampton,Anthony Fumagalli,Kaiden Fiebelkorn,0,11,Kyle Crampton,13,125030X,ss,cf,1b,rf,c,lf,dh/p,2b,3b,Nick Long,,central,Sydney Ness,,7,,"Auburndale, Fla. (Lake Myrtle Park)",6 p.m.,2:30,,,crown,Seth Betts,Levi Knott,Gideon Dunn,Joel Silva,Brooks Repking,Connor Buchanan,Camden Wiens,Kress Medina,Jason Sroufe,3,0,Camden Wiens,3,0000000,c,rf,lf,cf,1b,3b,dh/p,ss,2b,Sydney Ness,,Nick Long
