attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
150,"May 9, 2008",iiac5,,Cody Smith,NA,Ryan Baranowski,Ryan Schisler,Ryan Velvick,Tyler McAllister,Pat Richmond,Jeff Wagner,Eric Hanna,Joe Swanson,0,6,Kevin Baranowski,13,20030100X,cf,NA,2b,dh,3b,c,1b,lf,ss,rf,Alec Lewis,"coe college
",Coe College,Kohls (5-2),,9.0,Y,,"Cedar Rapids, IA (Veteran's Stadium)",9:58 am   ,2:32   ,HP: Kenny Ferris  1B: Pat Mcilhon  3B: Kevin F,"luther college
",Luther College,Jeff Riddle,NA,Alex Ross,Jake Waddle,Jeff Hiatt,Ben Schott,Matthew Bruhn,Mark Weber,Steve Beckman,Alex Thomas,0,2,Nate Todd,5,100000010,2b,NA,rf,c,ss,1b,lf,dh,3b,cf,Adam Kohls,Lewis (6-3)
75,"Apr 26, 2008",bvusmu2,2,Mark Blum,NA,Michael Stephenson,Brandon Pietrzyk,Jeff Weisenborn,Michael Hoffman,John-Paul Baker,Chris Dolezal,Brad Blum,Tyler Case,5,6,Kyle Dupic,10,10203000,3b,NA,2b,rf,dh,lf,c,1b,ss,cf,Nick Lanning,"buena vista university
",Buena Vista Univ.,Dupic (4-2),,8.0,Y,,"Storm Lake, Iowa (St. Mary's Field)",3:35   ,3:00   ,HP: Tim Dunphy  1B: Mark Zal,st. mary's univ.,St. Mary's Univ.,Black,NA,Ryan,Knudsen,Archambault,Warren,Haugh,Olberding,Johnson,Krieger,1,7,Pass,9,21200101,rf,NA,2b,cf,dh,3b,ss,c,1b,lf,Olson,Pass (1-2)
50,"Apr 02, 2008",bvudbq1,1,Mark Blum,NA,Michael Stephenson,Jeff Weisenborn,Brandon Pietrzyk,Kevin Kloewer,Steve Johnston,Andy Compton,Brad Blum,Tyler Case,2,2,Cody Aldrich,6,0110000,3b,NA,2b,dh,lf,c,1b,rf,ss,cf,Luke Probasco,"buena vista university
",Buena Vista Univ.,,,7.0,Y,Probasco (0-1),"Carroll, IA (Carroll Stadium)",3:30pm   ,1:55   ,,"dubuque, univ. of","Dubuque, Univ. of",Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Tony Foster,Ron Manthe,Bill Albee,Chris Dahle,1,10,Cody Doonan,12,3221020,2b,NA,cf,dh,ss,3b,rf,c,1b,lf,Cody Doonan,"Doonan, C"
100,"May 03, 2008",bvulor2,2,Mark Blum,NA,Michael Stephenson,Jeff Weisenborn,Brandon Pietrzyk,Michael Hoffman,Steve Johnston,Chris Dolezal,John-Paul Baker,Brad Blum,3,3,Tregg Fay,6,0020010,p,NA,2b,lf,cf,rf,1b,3b,c,ss,Mark Blum,"buena vista university
",Buena Vista Univ.,Probasco (1-2),,7.0,Y,,"Storm Lake, Iowa (Memorial Field)",4:15pm   ,2:00   ,,"loras college
",Loras College,Adam Gross,NA,Nick Olberding,Clark Egdorf,Don Pirkle,Brock Schneden,John Schroeder,Tim Andrews,Alex Miklo,Ben Kuebel,1,8,Brian Kearns,9,1000520,cf,NA,ss,dh,1b,rf,c,lf,2b,3b,Kevin Moriarity,Moriarity (6-4)
205,"Mar 29, 2008",coelor2,1,Adam Gross,NA,Alex Miklo,Nick Olberding,Don Pirkle,John Schroeder,Tim Andrews,Tyler Shireman,Brock Schneden,Ben Kuebel,1,5,Kyler Laurie,7,1002200,cf,NA,2b,ss,1b,c,dh,lf,rf,3b,Matt Barilla,"loras college
",Loras College,Barilla (1-3),,7.0,Y,Gaynor (6),Loras College (Petrakis Park),1:00pm   ,1:45   ,,"coe college
",Coe College,Trent Svehla,NA,Cody Smith,Tyler McAllister,Pat Richmond,Ryan Schisler,Ryan Velvick,R Baranowski,Nick Robertson,Eric Hanna,3,10,Mike Gaynor,15,2500012,lf,NA,cf,c,1b,3b,dh,2b,rf,ss,Lee Boyse,Boyse (3-2)
175,"Mar 22, 2008",coedbq1,1,Tyler McAllister,NA,Jeff Wagner,Cody Smith,Pat Richmond,Ryan Schisler,Ryan Baranowski,Andy Oberhoffer,Nick Robertson,Eric Hanna,1,2,Ryan Nicholson,5,0001001,c,NA,lf,cf,1b,3b,2b,dh,rf,ss,Ryan Nicholson,"coe college
",Coe College,"Doonan, C",,7.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 pm   ,1:39   ,,"dubuque, univ. of","Dubuque, Univ. of",Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Tony Foster,Chris Duran,Matt Lampugnano,Ron Manthe,Alex Larson,1,1,Cody Doonan,6,0100000,2b,NA,cf,dh,ss,rf,1b,3b,c,lf,Cody Doonan,Nicholson (3-1)
75,3/8/08,lutuwo1,1,Jeff Riddle,NA,Jake Waddle,Jeff Hiatt,Ben Schott,Alex Ross,Alex Thomas,Zack Topping,Phil Worden,Joe Thompson,2,5,Darin Schneider,8,00102020,2b,NA,c,ss,1b,lf,cf,dh,3b,rf,Adam Kohls,"luther college
",Luther College,Todd (0-1),"Fifth meeting between teams, but the first since 1985...UWO goes ahead 5-3on B. Demmin's three-run home run in seventh...LC ties score at 5-5 onWaddle's triple and Hiatt's ground out in seventh...UWO scores two unearnedruns in eighth, getting run-scoring singles from Fadness and B. Demmin.",8.0,Y,,"Minneapolis, Minn. (Metrodome)",5:35 am   ,2:30   ,HP: Les Ziebell  1B: Adam Berg,wisconsin-oshkosh,Wisconsin-Oshkosh,N. Fadness,NA,Leighton,B. Demmin,Wetenkamp,Waupoose,Kannenberg,Fosler,Hiroskey,Berg,2,7,Rubens,12,00002032,2b,NA,ss,1b,lf,dh,3b,rf,c,cf,R. Demmin,Rubens (2-0)
100,"Mar 03, 2008",lorham2,2,Adam Gross,NA,Nick Olberding,Alex Miklo,Don Pirkle,Brock Schneden,John Schroeder,Clark Egdorf,Nathan Roling,Ben Kuebel,2,10,Brian Kearns,9,401500X,cf,NA,ss,2b,1b,rf,dh,lf,c,3b,Tim Carty,"loras college
",Loras College,"Mullendore, (0-1)",,7.0,Y,,"Minneapolis, Minn. (Metrodome)",7:23   ,1:50   ,,hamline (minn.),Hamline (Minn.),"Kaczrowski,",NA,"Grupe, J","Bennett, A","Smith, B",Humerickhous,"Buresh, A","Roiger, J","Sand, B","Fuller, S",5,3,"Kreitlow, C",6,0210000,2b,NA,lf,cf,3b/rf,ss,dh,rf,1b,c/3b,"Mullendore,",Carty (1-0)
121,"Apr 09, 2008",lutvit1,1,Jeff Riddle,NA,Alex Ross,Jake Waddle,Jeff Hiatt,Ben Schott,Alex Thomas,Mark Weber,Joe Thompson,Phil Worden,1,4,Paul Pichelmann,11,0002101,2b,NA,lf,c,ss,1b,cf,dh,rf,3b,Cody Hyland,"luther college
",Luther College,Hyland (3-2),,7.0,Y,White (2),"Decorah, Iowa (Luther College)",2:00pm   ,2:21   ,,viterbo university,Viterbo University,Michiels,NA,Loch,Schoh,Dreger,Roberts,Lenzendorf,Rennicke,Cloutier,O'Halloran,0,7,White,7,4110010,lf,NA,cf,1b,3b,rf,dh,c,2b,ss,Sutherland,Adank (3-0)
187,"Mar 15, 2008",lorheid2,2,Emrhein,NA,Grassley,Wentworth,Keen,Boytim,Pawlowicz,Decker,Lash,Kaglic,1,5,McFarland,10,0101030,dh,NA,lf,cf,2b,1b,3b,c,ss,rf,McFarland,heidelberg college,Heidelberg College,Geertgens (1-1),,7.0,Y,,"Port Charlotte, FLA (Desguin Field (PCHS))",4:00 PM   ,2:05   ,,"loras college
",Loras College,Adam Gross,NA,Nick Olberding,Alex Miklo,Don Pirkle,Brock Schneden,John Schroeder,Nathan Roling,Tim Andrews,Ben Kuebel,1,3,Brian Kearns,6,1002000,cf,NA,ss,2b,1b,rf,dh,c,lf,3b,Bryan Geertgens,McFarland (2-0)
