attendance,date,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
50,"Mar 25, 2016",1,Garrett Saunders,Noah Stochl,Adam Lindell,Michael Reuter,Kyle Crampton,Spencer Gritsch,Zach Brown,Seth Griffiths,Jacob Hirst,5,0,Seth Eash,3,0000000,dh,ss,rf,c,1b,2b,3b,lf,cf,Blake Judkins,"central college
",Central College,h (2-1),,7,Y,Judkins (0-2),"Pella, Iowa (Kuyper Athl. Complex)",Noon   ,2:00   ,HP: Brett Miell  1B: Jason Kra,augsburg (minn.),Augsburg (Minn.),B.Schmahl,B.Brookshaw,J.Marlowe,B.Pruszinske,E.Olheiser,A.Julkowski,M.Brookshaw,J.Dittman,J.DeCroock,1,8,S.Piette,6,0000620,cf,ss,1b,lf,3b,dh,2b,c,rf,L.Hochmuth,NA,L
197,"Mar 09, 2016",1,Trent Dooley,Gage Reis,Trevor Dudar,Bud Smith,Austin Burlin,Hunter Hillygus,Jonathan Greiner,Taylor Harmon,Adam Richman,2,13,Brock Borgeson,13,219001X,cf,ss,dh,c,rf,1b,3b,2b,lf,Brock Borgeson,"simpson college
",Simpson College,Veness (0-1),,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",10:00 am   ,2:12   ,,marian (wi),Marian (WI),Vorpagel,Dugandzic,Grannis,Buss,Ryan,Schaefer,Rath,Berry,Hodgson,4,9,Alessi,12,4400001,ss,c,lf/3b,dh,rf,3b,1b,2b,cf,Veness,NA,Borgeson (2-0)
350,"May 14, 2016",,Blake Mahoney,Clay Henning,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Zach Hovick,Mike Brown,Tyler Willis,0,4,Chris Tomkins,7,021010000,lf,ss,rf,cf,3b,dh,1b,c,2b,Taylor Gilson,"wartburg college
",Wartburg College,Gilson (8-4),,9,Y,,"Cedar Rapids, Iowa (Veterans Memorial)",4:28 pm   ,2:13   ,HP: Josh Mara  1B: Ryan Farnsworth  3B: Dan Graw,"luther college
",Luther College,Alex Weber,Jon Opdahl,Czenvic Rojer,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Max Uetz,Jake Halverson,1,10,Cody Reimer,14,000142012,cf,2b,rf,c,3b,1b,p,lf,ss,Cody Reimer,NA,Reimer (6-1)
NA,4/19/2016,NA,Austin Konagel,Nolan Ritter,Tony Heiser,Ryan Koester,Thomas Johnson,Patrick Walsh,Lucas Jacque,Danny Paluch,Luke Leibforth,1,4,Alex Steines,9,100012X,3b,ss,rf,1b,lf,p/3b,c,cf,2b,Patrick Walsh,,loras,Tyler Trifiletti,,7,NA,Alex Steines,"Dubuque, Iowa (Petrakis Park)",6:00 PM,1:50,,,univ. of dubuque,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Will Doherty,Jacob Evans,Kyle May,Jeremy Morski,Gaetano Florio,3,3,Tyler Trifiletti,7,0000111,rf,3b,cf,dh,c,lf,2b,1b,ss,Tyler Trifiletti,54 and Cloudy,Patrick Walsh
289,"Mar 28, 2016",1,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Ben Larison,Alec Zwanziger,Colton Knox,Nolan Arp,1,9,Zach Kammin,10,042201X,ss,lf,cf,c,rf,dh,2b,1b,3b,Ben Jacobson,"coe college
",Coe College,,,7,Y,Borgeson (2-1),"Cedar Rapids, Iowa (Daniels Park)",1:06 pm   ,1:54   ,HP: Josh Mara  1B: Kevin F,"simpson college
",Simpson College,Trent Dooley,Luke Anctil,Austin Burlin,Bud Smith,Gage Reis,Trevor Dudar,Hunter Hillygus,Jonathan Greiner,Taylor Harmon,1,5,Tyler Englehardt,7,0300020,cf,lf,rf,c,ss,dh,1b,3b,2b,Brock Borgeson,NA,"Jacobson, B"
100,"May 06, 2016",1,Alex Weber,Jon Opdahl,Czenvic Rojer,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Max Uetz,Jake Halverson,2,17,Mitch Adams,13,270800X,cf,2b,rf,c,3b,1b,lf,dh,ss,Blake Peterson,"luther college
",Luther College,Stumpf (6-4),,7,Y,,"Decorah, IA (Luther College)",1:00 PM   ,2:30   ,HP: Jeff Gould  1B: Jason Sto,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Will Doherty,Jacob Evans,Kyle May,Jeremy Morski,Gaetano Florio,3,10,Derek Kornfeind,10,2400301,rf,3b,cf,dh,c,lf,2b,1b,ss,Reed Stumpf,NA,Peterson (6-1)
65,"May 02, 2016",2,Jon Opdahl,Mitch Knippenberg,Joe Silversmith,Czenvic Rojer,Alex Weber,Max Uetz,Zach Hendrikson,Jake Halverson,,1,1,Mitch Adams,4,000001000,2b,c,3b,rf,cf,lf,1b,ss,,Cody Reimer,"luther college
",Luther College,Reimer (4-1),,9,Y,,"Decorah, Iowa (Luther College)",3:20 pm   ,2:10   ,,#23 buena vista univ.,#23 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Tanner Truesdell,Kendall Candor,Bennett Mann,Devin Wagenman,Michael Zellar,Noah Paper,Devon Harms,1,10,Charlie Ruff,11,021011320,2b,1b,lf,dh,rf,cf,3b,ss,c,Keenan Jones,NA,Jones (3-3)
150,"Mar 10, 2016",,Gulve,Casa,Sallee,Martinez,Peil,Peacock,Kolasinski,Dutton,Christine,2,1,Kaveney,3,100000000,cf,rf/lf,1b,dh,2b,3b,lf,c,ss,Kaveney,beloit college,Beloit College,,,9,Y,Kaveney (),"Auburndale, Fla. (Lake Myrtle Park #1)",2:33 pm   ,1:42   ,,"coe college
",Coe College,Kevin DeLaney,Michael Redmond,Craig Konrardy,Grant Henning,Andrew Brierton,Alec Zwanziger,Colton Knox,"Urban, Dan",Nolan Arp,0,2,Ben Jacobson,7,001000001,lf,cf,ss,c,rf,2b,1b,dh,3b,Ben Jacobson,NA,"Jacobson, B"
75,"Apr 03, 2016",1,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Colton Knox,Ben Larison,Alec Zwanziger,Nolan Arp,6,3,Tyler Smith,10,1000002,ss,lf,cf,c,rf,1b,dh,2b,3b,Thomas Schaedel,"coe college
",Coe College,"Schaedel, T",,7,Y,,"Cedar Rapids, Iowa (Bill Quinby Field)",1:00 pm   ,1:40   ,HP: Bret Miell  1B: Scott Behn,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Thomas Kempf,Eric Hall,Tyler Lewan,Jacob Evans,Will Doherty,Gaetano Florio,Ryan Karrick,3,5,Reed Stumpf,9,0010400,rf,3b,1b,cf,dh,lf,c,ss,2b,Reed Stumpf,NA,Stumpf (2-2)
123,"May 03, 2016",1,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Colton Knox,Blake Lishka,Ben Larison,Jack Strellner,2,5,Ben Jacobson,11,002100011,ss,lf,cf,c,rf/3b,1b,dh,3b,2b,Thomas Schaedel,"coe college
",Coe College,,,9,Y,Kehoe (0-1),"Cedar Rapids, Iowa (Bill Quinby Field)",2:00 pm   ,2:12   ,HP: Michael Kelly  1B: Paul Keitel,"simpson college
",Simpson College,Trent Dooley,Hunter Hillygus,Austin Burlin,Sawer Ocheltree,Bud Smith,Luke Anctil,Jacob Petry,Jonathan Greiner,Andy Anderson,1,4,Trey Kehoe,11,000000310,cf,1b,rf,dh,c,lf,ss/3b,3b,2b,Gage Reis,NA,"Jacobson, B"
50,"Mar 20, 2016",2,Blake Mahoney,Tyler Mougin,Ryan Kemp,Jacob Thumann,Milton Croes,Zach Hovick,Tanner Johnson,Mike Brown,Tyler Willis,0,3,Max Langheinrich,8,000101001,lf,ss,cf,rf,dh,1b,3b,c,2b,Tanner Eckhart,"wartburg college
",Wartburg College,M,,9,Y,(0-1),"Waverly, Iowa (Hertel Field)",  ,  ,,"st. thomas
",St. Thomas,J. Smith,B. Carpenter,B. Johnson,C. Quinlan,B. Waltz,J. Dolan,C. Clute,L. Kohorst,W. Bemboom,1,2,M. Larson,10,000200000,rf,2b,ss,1b,dh,cf,3b,c,lf,T. Feyereise,NA,Langheinrich (3-0)
289,"Mar 28, 2016",2,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Ben Larison,Alec Zwanziger,Colton Knox,Nolan Arp,2,5,James Christ,14,101002100,ss,lf,cf,c,rf,dh,2b,1b,3b,Thomas Schaedel,"coe college
",Coe College,"Kammin, Z",,9,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:30 pm   ,2:38   ,HP: Kevin Ferris  1B: Josh Mara,"simpson college
",Simpson College,Trent Dooley,Luke Anctil,Austin Burlin,Bud Smith,Trevor Dudar,Jacob Petry,Jonathan Greiner,Taylor Harmon,Hunter Hillygus,0,7,Trevor Dudar,11,100002103,cf,lf,rf,c,dh/p,ss,3b,2b,1b,Gage Reis,NA,Dudar (1-1)
,"Mar 12, 2016",,"McCumber, Br","Miller, Ryan","Doyle, Tyler","Willems, Gar","Carrington,","Melbye, Matt","Jablonski, N","Burnikel, Ow","Magyar, Case",4,1,"Mohapp, Matt",7,0001000,lf,2b,cf,p/1b,rf,1b,c,3b/p,ss,"Willems, Gar",msoe,MSOE,"Willems, Gar (0-2)",,7,Y,,"Jacksonville, Ill. (Lenz Field #1)",12:45 pm   ,  ,,"loras college
",Loras College,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Adrian Nunez,Luke Leibforth,Nolan Ritter,2,14,Patrick Moriarty,16,6010106,cf,rf,3b,1b,c,lf,dh,2b,ss,Alex Steines,NA,Steines (1-0)
129,"Mar 05, 2016",1,Luke Anctil,Trent Dooley,Gage Reis,Bud Smith,Trevor Dudar,Austin Burlin,Hunter Hillygus,Jonathan Greiner,Andy Anderson,2,2,Trey Kehoe,5,0200000,lf,cf,ss,c,dh,rf,1b,3b,2b,Adam Richman,"simpson college
",Simpson College,,,7,Y,Richman (0-1),"Tucson, Ariz. (Kino Sports Complex)",5:15 pm   ,2:11   ,,wheaton (il),Wheaton (IL),"Mailman, N.","Zeller, J.","Brittain, B.",Mellinger,"Laucella, A.","Kimmel, J.",Carpenter,"McKenna, J.","Trivits, K.",1,5,"Kaufman, M",8,2010200,lf,rf,2b,1b,dh,cf,3b,ss,c,"Kaufman, M",NA,"Kaufman, M"
224,"Apr 16, 2016",1,Alex Weber,Czenvic Rojer,Jon Opdahl,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Zach Hendrikson,Jake Halverson,1,1,Blake Peterson,3,000100X,cf,rf,2b,c,3b,1b,lf,dh,ss,Blake Peterson,"luther college
",Luther College,Borgeson (4-3),,7,Y,,"Decorah, Iowa (Luther College)",1:00 p.m   ,1:25   ,,"simpson college
",Simpson College,Austin Burlin,Gage Reis,Bud Smith,Hunter Hillygus,Luke Anctil,Taylor Harmon,Jacob Petry,Trent Dooley,Trevor Dudar,1,0,Brock Borgeson,0,0000000,rf,ss,c,1b,lf,2b,3b,cf,dh,Brock Borgeson,NA,Peterson (4-0)
277,"Apr 16, 2016",1,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Tyler Lewan,Jacob Evans,Will Doherty,Gaetano Florio,Kyle May,2,4,Brian Sholty,6,0020002,rf,3b,cf,1b,dh,lf,c,ss,2b,Jacob Padilla,"dubuque, univ. of","Dubuque, Univ. of",Padilla (2-2),,7,Y,,"Dubuque, Iowa (UD Baseball Field)",1 p.m.   ,2:25   ,HP: Mark  1B: Paul,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Mike Brown,Tyler Willis,3,9,Taylor Gilson,8,3112002,lf,ss,1b,rf,cf,3b,dh,c,2b,Taylor Gilson,NA,Gilson (5-2)
60,"Mar 06, 2016",1,Luke Anctil,Trent Dooley,Gage Reis,Bud Smith,Trevor Dudar,Austin Burlin,Hunter Hillygus,Taylor Harmon,Jonathan Greiner,2,2,Daultan Gibson,6,0000002,lf,cf,ss,c,dh,rf,1b,2b/pr,3b,Daultan Gibson,"simpson college
",Simpson College,Gibson (0-1),,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",3:00 pm   ,1:28   ,,"aurora
",Aurora,Mayes,Turner,Popovich,Lipscomb,Vickers,Cherven,LaPage,Sparks,Rybakowski,2,7,Okamoto,10,2010004,ss,rf,1b,2b,lf,dh,c,3b,cf,Manske,NA,Manske (2-0)
213,"Mar 04, 2016",1,Luke Anctil,Trent Dooley,Gage Reis,Bud Smith,Trevor Dudar,Jonathan Greiner,Austin Burlin,Hunter Hillygus,Taylor Harmon,0,18,Brock Borgeson,15,273222X,lf,cf,ss,c,dh,3b,rf,1b,2b,Brock Borgeson,"simpson college
",Simpson College,Hansen (0-1),,7,Y,,"Tucson, Ariz. (Kino Veterans)",3:00 pm   ,5:20   ,,marian (wi),Marian (WI),Vorpagel,Thompson,Grannis,Buss,Ryan,Dugandzic,Rath,Nordlund,Schaefer,4,7,Funkhouser,11,0300112,ss,lf,2b,1b,cf/rf,c,dh,rf,3b,Hansen,NA,Borgeson (1-0)
200,"Apr 10, 2016",2,Blake Mahoney,Clay Henning,Jacob Thumann,Zach Hovick,Tanner Johnson,Ryan Kemp,Milton Croes,Cody Hyler,Tyler Willis,0,5,Tanner Eckhart,8,00002030X,lf,ss,rf,1b,3b,cf,dh,c,2b,Tanner Eckhart,"wartburg college
",Wartburg College,Jones (2-2),,9,Y,,"Waverly, Iowa (Hertel Field)",4 p.m.   ,1:49 pm   ,HP: Josh Mara  1B: Dennis Schroed,#18 buena vista univ.,#18 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Tanner Truesdell,Cameron Johnson,Bennett Mann,Devin Wagenman,AJ Liddell,Noah Paper,Devon Harms,2,1,Wes Onken,4,000000001,2b,1b/c,lf,dh,rf,cf,3b,ss,c,Keenan Jones,NA,Eckhart (2-0)
250,"Apr 10, 2016",1,Blake Mahoney,Clay Henning,Jacob Thumann,Zach Hovick,Ryan Kemp,Tanner Johnson,Milton Croes,Mike Brown,Tyler Willis,1,2,Gavin Nadermann,5,2000000,lf,ss,rf,1b,cf,3b,dh,c,2b,Max Langheinrich,"wartburg college
",Wartburg College,Langheinrich (4-1),,7,Y,,"Waverly, Iowa (Hertel Field)",1:45 pm   ,1:43 hr   ,HP: Dennis Schroeder  1B: Josh Mara,#18 buena vista univ.,#18 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Tanner Truesdell,Cameron Johnson,Bennett Mann,Devin Wagenman,AJ Liddell,Noah Paper,Devon Harms,1,6,Dalton Mason,11,2000022,2b,1b,lf,dh,rf,cf,3b,ss,c,Jake Lewis,NA,Mason (3-0)
350,"May 20, 2016",,Darmawan,Golembo,Santos,Browdy,Kozak,Kuehl,Nelson,Daley,Egly,2,5,Clarke,9,10300001X,ss,cf,lf,2b,c,dh,rf,1b,3b,Clarke,wash u - st. louis,Wash U - St. Louis,Langheinrich (6-2),,9,Y,,"Sauget, IL (GCS Ballpark)",3:30 pm   ,2:00   ,HP: Fye  1B: Riggs  2B: Boever  3B: Turngren,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Zach Hovick,Mike Brown,Tyler Willis,2,1,Max Langheinrich,7,000001000,lf,ss,rf,cf,3b,dh,1b,c,2b,Max Langheinrich,NA,Clarke (6-4)
309,"Mar 11, 2016",1,DeAngelis,Chemis,Venturino,Walsh,Paulus,Crabbe,MacNaughton,Rinsky,Shannon,2,6,D'Andrea,11,002103X,rf,cf,2b,1b,dh,3b,lf,c,ss,Campbell,#15 ramapo,#15 Ramapo,Smith,,7,Y,D'Andrea,"Auburndale, Fla. (Lake Myrtle Main)",12:45 pm   ,2:35   ,,"coe college
",Coe College,Kevin DeLaney,Michael Redmond,Craig Konrardy,Grant Henning,Andrew Brierton,Ben Larison,Alec Zwanziger,Colton Knox,Nolan Arp,0,5,Tyler Smith,6,5000000,lf,cf,ss,c,rf,dh,2b,1b,3b,Thomas Schaedel,NA,Westhelle
95,"Apr 15, 2016",2,Alex Weber,Czenvic Rojer,Jon Opdahl,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Trent Athman,Jake Halverson,0,14,Mason Whitham,11,01(11)101X,cf,rf,2b/ss,dh,3b,1b,lf,c,ss,Teddy Klingsporn,"luther college
",Luther College,Sickels (1-3),,7,Y,,"Decorah, Iowa (Luther College)",3:30 pm   ,2:00   ,,"simpson college
",Simpson College,Austin Burlin,Gage Reis,Bud Smith,Luke Anctil,Taylor Harmon,Hunter Hillygus,Trevor Dudar,Colin Sexton,Nick Carlisle,0,4,Adam Richman,7,0101011,rf,ss,c,lf,2b,1b,dh,3b,cf,Jalen Sickels,NA,Klingsporn (3-0)
175,"Feb 27, 2016",,"Rajkovich, D","Kammer, Jeff","Thomas, Blak","Bishop, Zach","Uhrich, Kyle","Milosch, Jak","Wollnik, Mat","Magruder, Ba","Celleghin, J",0,0,"Bensinger, J",5,000000000,rf,3b,lf,1b,dh,2b,ss,c,cf,"Bensinger, J","webster university
",Webster University,"Bensinger, J (1-1)",,9,Y,Onken (1),"Sauget, Ill. (GCS Ballpark)",2:45 pm   ,1:45   ,,"buena vista university
",Buena Vista Univ.,Neil Marshall,Kolby Hilgenberg,Tanner Truesdell,Devin Wagenman,Bennett Mann,Cale Ewald,Michael Zellar,Noah Paper,Devon Harms,0,2,Wes Onken,5,100000100,2b,dh,lf,cf,rf,1b,3b,ss,c,Justin Lange,NA,Lange (1-0)
75,"Apr 19, 2016",1,Garrett Saunders,Spencer Gritsch,Ryan Bouwman,Michael Reuter,Zach Brown,Kyle Crampton,Noah Stochl,Adam Lindell,Jacob Hirst,1,7,Dakotah Wolken,12,14010100,ss,lf,1b,c,3b,dh/p,2b,rf,cf,Billy Coppage,"central college
",Central College,Wolken (1-4),,8,Y,,"Pella, Iowa (Kuyper Athl Complex)",12:15p.m   ,2:14   ,,"simpson college
",Simpson College,Austin Burlin,Bud Smith,Gage Reis,Hunter Hillygus,Jacob Petry,Taylor Harmon,Trey Kehoe,Luke Anctil,Nick Carlisle,3,10,Brock Borgeson,14,00300403,rf,c,ss,1b,3b,2b,dh,lf,cf,Jonathan Greiner,NA,Borgeson (5-3)
100,"Apr 08, 2016",,Garrett Saunders,Spencer Gritsch,Noah Stochl,Ryan Bouwman,Michael Reuter,Ryan Garrett,Adam Lindell,Zach Brown,Jacob Hirst,1,13,Dakotah Wolken,13,130153X,ss,lf,2b,dh,c,1b,rf,3b,cf,Dakotah Wolken,"central college
",Central College,"Jacobson, B",,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m   ,1:54   ,HP: Aaron Perez  1B: Dean Kirkpatrick,"coe college
",Coe College,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Ben Larison,Michael Golinski,Colton Knox,Alec Zwanziger,1,3,Tyler Smith,8,0100002,ss,lf,cf,c,rf,3b,dh,1b,2b,Ben Jacobson,NA,Wolken (1-2)
125,"Mar 05, 2016",,Blake Mahoney,Robbie Anstoetter,Milton Croes,Jacob Thumann,Ryan Kemp,Mike Brown,Tyler Mougin,Zach Hovick,Tyler Willis,1,2,Taylor Gilson,12,000000011,dh,lf,1b,rf,cf,c,ss,3b,2b,Taylor Gilson,#20 wartburg college,#20 Wartburg College,Riggs,,9,Y,,"Auburndale, Fla. (Lake Myrtle Park)",11:00 am   ,2:00   ,,"cornell college
",Cornell College,Streb,Davis,Kurzejeski,Breard,Tesensky,Rocker,Medina,Orisek,Rausch,1,1,Riggs,5,010000000,2b,lf,3b,1b,rf,cf,c,ss,dh,Daubach,NA,Gilson
125,"Apr 16, 2016",2,Alex Weber,Czenvic Rojer,Jon Opdahl,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Cody Reimer,Zach Hendrikson,Jake Halverson,2,4,Cody Reimer,10,010001002,cf,rf,2b,c,3b,1b,lf/p,dh,ss,Joey Cardamon,"luther college
",Luther College,Richman (0-1),,9,Y,,"Decorah, Iowa (Luther College)",3:00 pm   ,2:25   ,,"simpson college
",Simpson College,Austin Burlin,Bud Smith,Hunter Hillygus,Luke Anctil,Taylor Harmon,Jacob Petry,Keegin Brannin,Trent Dooley,,2,3,Trevor Dudar,5,300000000,rf,c,1b,lf,2b,3b,ss,cf,,Gage Reis,NA,Reimer (3-0)
78,"Apr 09, 2016",2,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Jacob Evans,Michael Salazar,Gaetano Florio,Ryan Karrick,Will Doherty,2,11,Dalton Garst,15,20002025X,rf,3b/p,cf/1b,1b,lf,dh,ss,2b,c,Daniel Karnick,"dubuque, univ. of","Dubuque, Univ. of",Gibson,,9,Y,,"Dubuque, Iowa (UD Baseball Field)",3:30 p.m   ,2:01   ,HP: Scott Forsberg  1B: John Kunz,"simpson college
",Simpson College,Austin Burlin,Bud Smith,Gage Reis,Trey Kehoe,Trent Dooley,Jonathan Greiner,Andy Anderson,Keegin Brannin,Luke Anctil,2,9,Tyler Englehardt,6,060003000,rf,c,dh,1b,cf,3b,2b,ss,lf,Trevor Dudar,NA,Garst
76,"Apr 29, 2016",2,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Will Doherty,Jacob Evans,Kyle May,Jeremy Morski,Ryan Karrick,0,9,Tyler Trifiletti,11,10214001X,rf,3b,cf,dh,c,lf,2b,1b,ss,Doug Van Dyke,"dubuque, univ. of","Dubuque, Univ. of",Schissel (3-4),,9,Y,Trifiletti (1),"Dubuque, Iowa (Chlapaty Sports Comp)",3:10 pm   ,2:22   ,HP: Kyle Klink  1B: Craig Zimmerman,"central college
",Central College,Garrett Saunders,Ryan Bouwman,Spencer Gritsch,Kyle Crampton,Michael Reuter,Ryan Garrett,Kolby Reed,Chris Riddle,Dakotah Wolken,5,2,Spencer Gritsch,8,010010000,ss,1b,lf/p,dh,c,3b,rf/lf,2b,cf,Matt Schissel,NA,Van Dyke (4-3)
50,"Mar 06, 2016",2,S. Vigeant,Brad Douglas,TJ Lynch,Edward Apice,Austin Barry,Tyler Rains,A. Brackett,S. Linnane,Jake Petrin,1,4,S. Braman,9,00200011,ss,cf,3b,rf,lf,dh,1b,2b/3b,c,Myles Levy,rhode island college,Rhode Island College,(1-0),,8,Y,Mauro (0-1),"Auburndale, Fla. (Lake Myrtle Park #3)",5:15 pm   ,  ,,"central college
",Central College,Seth Griffiths,Spencer Gritsch,Adam Lindell,Michael Reuter,Kyle Crampton,Garrett Saunders,Zach Brown,Noah Stochl,Jacob Hirst,1,3,Frankie Mauro,8,00300000,lf,2b,rf,c,1b,dh,3b,ss,cf,Dakotah Wolken,NA,S
310,"May 14, 2016",,Neil Marshall,Brandon Wessels,Tanner Truesdell,Kendall Candor,Bennett Mann,Devin Wagenman,Michael Zellar,Noah Paper,Devon Harms,1,9,Dalton Mason,13,030000042,2b,1b,lf,dh,rf,cf,3b,ss,c,Keenan Jones,"buena vista university
",Buena Vista Univ.,"Robbins, L",,9,Y,,"Cedar Rapids, Iowa (Veterans Memorial)",9:59 am   ,2:16   ,HP: Ryan Farnsworth  1B: Mike Kelly  3B: Josh Mara,"coe college
",Coe College,Kevin DeLaney,Michael Redmond,Craig Konrardy,Andrew Brierton,Alec Zwanziger,Grant Henning,Brett Slager,Ben Larison,Ben Jacobson,2,8,Tyler Verona,12,000000602,lf,cf,ss,dh,2b,c,rf,3b,1b,Zach Kammin,NA,Mason (4-1)
85,"Mar 10, 2016",,Streb,Davis,Kurzejeski,Breard,Tesensky,Rocker,Medina,Irwin,Rausch,1,2,Henry,6,000010001,2b,lf,3b,1b,rf,cf,c,dh,ss,Daubach,"cornell college
",Cornell College,Daubach,,9,Y,,"Auburndale, Fla. (Lake Myrtle Park)",2:30 PM   ,2:26   ,,"central college
",Central College,Garrett Saunders,Spencer Gritsch,Adam Lindell,Michael Reuter,Noah Stochl,Kyle Crampton,Zach Brown,Jacob Hirst,Dylan Diveney,3,7,Frankie Mauro,14,200001220,dh,2b,rf,c,ss,1b,3b,cf,lf,Charlie Palmer,NA,Palmer
,"Mar 12, 2016",,Blake Mahoney,Clay Henning,Ryan Kemp,Milton Croes,Jacob Thumann,Zach Hovick,Samuel Van Fleet,Mike Brown,Tyler Willis,4,1,Tanner Eckhart,6,000000001,lf,ss,cf,1b,rf,3b,dh,c,2b,Max Langheinrich,#24 wartburg college,#24 Wartburg College,n (1-0),,9,Y,Langheinrich (2-1),"Waverly, Iowa (Hertel Field)",11:00 am   ,  ,,st. olaf,St. Olaf,K. Davis,A. Alexander,T. Maus,L. Dahl,J. Ossell,A. Reiter,A. Alvero,N. Bauer,,1,8,T. Peterson,10,610001000,ss,rf,1b,3b,2b,c,lf,cf,,J. Mathison,NA,J
75,"May 01, 2016",2,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Ryan Kemp,Tanner Johnson,Mike Brown,Cody Hyler,Tyler Willis,1,18,Chris Tomkins,13,20513016X,lf,ss,1b,rf,cf,dh,3b,c,2b,Shane Chafa,#19 wartburg college,#19 Wartburg College,Hoffman,,9,Y,,"Waverly, Iowa (Hertel Field)",3:45 pm   ,3:06 hr   ,HP: Jason Kramer  1B: Stacey Dunba,"loras college
",Loras College,Austin Konagel,Thomas Johnson,Tony Heiser,Ryan Koester,Danny Paluch,Danny Weis,Michael Muto,Luke Leibforth,Nolan Ritter,4,12,Zach Forkenbrock,12,220070001,3b/2b,lf,dh,1b,cf,rf,c,2b,ss,Robert Hovey,NA,Tomkins
392,"Mar 07, 2016",1,Kevin DeLaney,Michael Redmond,Craig Konrardy,Grant Henning,Ben Jacobson,Andrew Brierton,Alec Zwanziger,Colton Knox,Nolan Arp,0,10,Thomas Schaedel,11,311410X,lf,cf,ss,c,dh,rf,2b,1b,3b,Thomas Schaedel,"coe college
",Coe College,,,7,Y,Robert Graff (0-1),"Auburndale, Fla. (Lake Myrtle Park #8)",9:00 am   ,1:51   ,,"husson
",Husson,Alex Chapman,Mike Wong,Ryan Rebar,JT Whitten,Julien Boone,Christian Co,Dylan Graffa,Dan Whitney,Andrew Curra,2,1,Ben Holmes,7,1000000,lf,ss,2b,1b,dh,cf,c,3b,rf,Robert Graff,NA,"Schaedel, T"
