attendance,date,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
50,"Apr 15, 2016",2,Nolan Ritter,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Adrian Nunez,Austin Konagel,Danny Paluch,1,3,Tyler Tomaka,8,001200000,ss,rf,3b,1b,c,lf,dh,2b,cf,Brad Schwind,"loras college
",Loras College,,,9,Y,Schwind (1-5),"Dubuque, Iowa (Petrakis Park)",5:45   ,2:15   ,,"coe college
",Coe College,Craig Konrardy,Kevin DeLaney,Alec Zwanziger,Andrew Brierton,Michael Redmond,Blake Lishka,Grant Henning,Ben Jacobson,Nolan Arp,1,8,Lucas Robbins,11,050010011,ss,lf,2b,rf,cf,dh,c,1b,3b,David Keaton,NA,"Keaton, D"
300,"Apr 02, 2016",1,Neil Marshall,Brandon Wessels,Tanner Truesdell,Cameron Johnson,Bennett Mann,Devin Wagenman,AJ Liddell,Noah Paper,Devon Harms,1,7,Justin Lange,7,201400X,2b,1b,lf,dh,rf,cf,3b,ss,c,Justin Lange,#25 buena vista univ.,#25 Buena Vista Univ.,Steines (3-1),,7,Y,,"Storm Lake, Iowa (BVU/SL BB Field)",2:30pm   ,1:45   ,HP: Cory Spangler  1B: Mark Ha,"loras college
",Loras College,Tony Heiser,Luke Leibforth,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Adrian Nunez,Danny Weis,Nolan Ritter,3,4,Hoffman,8,0100003,rf,2b,3b,1b,c,lf,dh,cf,ss,Alex Steines,NA,Lange (3-0)
,"Mar 07, 2016",,Lindemann,Lasceski,Fischbach,Marowski,Bonofiglio,Williams,Wyman,Turnbull,Dennis,0,8,Wyman,10,00005201X,rf,lf/c,cf,1b,c,dh,3b/p,ss,2b,Temrowski,albion (mich.),Albion (Mich.),Schissel (0-1),,9,Y,,"Auburndale, Fla. (Lake Myrtle Park)",2:30 p.m   ,2:29   ,,"central college
",Central College,Seth Griffiths,Spencer Gritsch,Adam Lindell,Michael Reuter,Garrett Saunders,Noah Stochl,Kyle Crampton,Zach Brown,Dylan Diveney,0,5,Kyle Crampton,10,020110100,lf,2b,rf,c,dh/3b,ss,1b/p,3b/1b,cf,Matt Schissel,NA,Temrowski (1-0)
39,"Mar 12, 2016",,Schroeder,Deboer,Greco,Galeazzi,Jester,Meitzler,Iverson,Christopher,Wienkes,0,12,Vandenberg,13,015213X,ss,2b/c,rf,cf,dh,1b,lf,3b,c,Keller,"university of wisconsin-plateville
",UW-Platteville,Pall (0-1),,7,Y,,"Jacksonville, Ill. (Lenz Field)",4:00 PM   ,2:10   ,,"loras college
",Loras College,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Adrian Nunez,Luke Leibforth,Nolan Ritter,3,1,Matt Greene,8,0000010,cf,rf,3b,1b,c,lf,dh,2b,ss,Brian Pall,NA,Keller (1-0)
157,"Apr 12, 2016",2,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Tyler Lewan,Jacob Evans,Will Doherty,Ryan Karrick,Gaetano Florio,2,5,Doug Van Dyke,6,02020010X,rf,3b,cf,1b,dh,lf,c,2b,ss,Doug Van Dyke,"dubuque, univ. of","Dubuque, Univ. of",Wojciehowski (1-1),,9,Y,,"Dubuque, Iowa (Chlapaty Sports Comp)",3:05 pm   ,2:04   ,HP: Dan Grawe  1B: Paul Keitel,"loras college
",Loras College,Tony Heiser,Patrick Walsh,Lucas Jacque,Thomas Johnson,Austin Konagel,Adrian Nunez,Danny Weis,Luke Leibforth,Nolan Ritter,3,1,Tyler Tomaka,7,001000000,rf,1b,c,lf,3b,dh,cf,2b,ss,Aidan Wojciehowski,NA,Van Dyke (2-2)
276,"Apr 16, 2016",2,Jarad Clevenger,Austin McWhite,Jeremy Morski,Tyler Lewan,Jacob Evans,Will Doherty,Gaetano Florio,Ryan Karrick,,1,3,Nick Sewruk,7,101000100,rf,cf,1b,3b,lf,c,ss,2b,,Dalton Garst,"dubuque, univ. of","Dubuque, Univ. of",Garst (1-2),,9,Y,,"Dubuque, Iowa (UD Baseball Field)",3:20 pm   ,2:58   ,HP: Paul  1B: Mark,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Tanner Johnson,Milton Croes,Ryan Kemp,Cody Hyler,Tyler Willis,1,12,Michael Knouse,17,402030201,lf,ss,1b,rf,3b,dh,cf,c,2b,Parker Bolt,NA,Bolt (4-0)
225,"May 13, 2016",,Blake Mahoney,Clay Henning,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Zach Hovick,Mike Brown,Tyler Willis,3,3,Chris Tomkins,10,000300000,lf,ss,rf,cf,3b,dh,1b,c,2b,Tanner Eckhart,"wartburg college
",Wartburg College,,,9,Y,Gilson (8-3),"Cedar Rapids, Iowa (Veterans Memorial)",1:12 pm   ,2:30   ,HP: Mike Kelly  1B: Ryan Farnsworth  3B: Josh Mara,"luther college
",Luther College,Alex Weber,Jon Opdahl,Czenvic Rojer,Mitch Knippenberg,Joe Silversmith,Cody Reimer,Max Uetz,Zach Hendrikson,Jake Halverson,0,9,Mason Whitham,12,010125000,cf,2b,rf,c,3b,lf,dh,1b,ss,Teddy Klingsporn,NA,"Whitham, M"
75,"Apr 13, 2016",,Garrett Saunders,Spencer Gritsch,Ryan Garrett,Noah Stochl,Ryan Bouwman,Kyle Crampton,Adam Lindell,Zach Brown,Jacob Hirst,2,6,Drew McDonough,6,0201210,ss,lf,1b,2b,c,dh,rf,3b,cf,Brandon Zumbach,"central college
",Central College,Zumbach (0-1),,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3:00 p.m   ,2:36   ,HP: Michael Kelly  1B: Jason Kra,"grinnell college
",Grinnell,Anth. Mack,Penaflor,Galanek,Fisher,Hammond,Godinsky,Towner,Klar,Wong,4,16,Goldsher,17,7001260,cf,lf,c,1b,dh,rf,ss,3b,2b,Mathews,NA,Mathews (1-1)
250,"May 13, 2016",,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Will Doherty,Michael Salazar,Austin Thomas,Eric Hall,Gaetano Florio,2,6,Tyler Trifiletti,10,020020020,rf,3b,cf,1b,c,dh,2b,lf,ss,Reed Stumpf,"dubuque, univ. of","Dubuque, Univ. of",Stumpf (6-5),,9,Y,Englehardt (1),"Cedar Rapids, Iowa (Veterans Memorial)",10:00 am   ,2:28   ,HP: Brett Miell  1B: Patrick McIlhon  3B: Dan Graw,"simpson college
",Simpson College,Luke Anctil,Austin Burlin,Sawer Ocheltree,Bud Smith,Jonathan Greiner,Jacob Petry,Gage Reis,Taylor Harmon,Trent Dooley,2,10,Tyler Englehardt,10,000006400,lf,rf,1b,c,3b,ss,dh,2b,cf,Trevor Dudar,NA,Dudar (3-5)
80,"May 07, 2016",1,Alex Weber,Jake Halverson,Czenvic Rojer,Mitch Knippenberg,Joe Silversmith,Bryce Hingst,Trent Athman,Tommy Gleason,Ryan Vijums,2,8,Mason Whitham,8,030005000,cf,ss,rf,dh,3b,1b,c,2b,lf,Cody Reimer,"luther college
",Luther College,Karnick (3-1),,9,Y,"Whitham, M","Decorah, IA (Luther College)",3:00   ,2:30   ,,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Thomas Kempf,Austin McWhite,Will Doherty,Jacob Evans,Austin Thomas,Jeremy Morski,Gaetano Florio,2,6,Chase Kueter,15,100001310,rf,3b,dh,cf,c,lf,2b/ss,1b,ss,Daniel Karnick,NA,Reimer (5-1)
