attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
30,"Mar 22, 2010",lutucny2,2,Jeff Riddle,NA,Joe Thompson,Mark Weber,Ben Schott,Mitchel Obey,Chris Reynolds,Steve Beckman,Kevin Bradley,Ian Fitzgerald,1,5,Augie Lindmark,8,032000X,dh,NA,rf,3b,1b,lf,2b,ss,c,cf,Danny Smith,"luther college
",Luther College,Dexter,,7.0,Y,,"Auburndale, FL (Lake Myrtle Field)",6:29   ,2:26   ,HP: John Killan,union (n.y.) college,Union (N.Y.) College,J. Hotaling,NA,D. Katz-Wick,Mckelligan,Mene,P. Kemp,Mugford,B. Price,Henkel,J. Moore,1,3,Dexter,9,0000201,cf,NA,ss,dh,rf,1b,lf,c,3b,2b,Dexter,,Danny Smith
105,"May 01, 2010",corlut1,1,Jeff Riddle,NA,Chris Reynolds,Ben Schott,Mark Weber,Mitchel Obey,Ryan Bahnemann,Zack Topping,Steve Beckman,Kevin Bradley,1,4,Cody Hyland,7,001102X,2b,NA,cf,1b,lf,rf,3b,dh,ss,c,Cody Hyland,"luther college
",Luther College,Charlie Muir,,7.0,Y,,"Decorah, IA (Luther College)",1:00 pm   ,2:30   ,,"cornell college
",Cornell College,Matt Pfister,NA,David Bartine,Zach Rogers,J.T. Pells,Matthew Shimanovsky,Ryan Clausen,Ryan Fincham,Andy Krekel,Matthew Bliven,0,0,Adam Harrington,2,0000000,lf,NA,rf,3b,dh,2b,1b,cf,c,ss,Charlie Muir,,Cody Hyland
113,"Apr 29, 2010",simgrn1,,Corey Rasmussen,NA,Dave Johnson,Scott Ethell,Colton Calvert,Drew Yarkosky,Brad Agan,Justin Svehla,Tyler Crandell,Zach Smith,2,14,Chris Dorff,18,0064110101,cf,NA,ss,3b,rf,c,dh,1b,lf,2b,Kyle Hanna,"simpson college
",Simpson College,Christoff,,10.0,Y,,"Indianola, Iowa (McBride Field)",4:01 pm   ,3:09   ,HP: Patrick Mcilhon  1B: Ricardo Alverio,"grinnell college
",Grinnell College,Goldfien,NA,Suryn,Roder,Nodzenski,Pierce,Sollo,Skelly,Fletcher,Blumenreich,3,13,Christoff,14,0010(12)00000,ss,NA,lf,rf,c,dh,3b,cf,1b,2b,Myers, Sunny 82; Wind SSW 27mph,Chris Dorff
53,"Apr 18, 2010",bvugac1,1,An. Woitas,NA,K. Rains,Al. Woitas,T. Herman,T. Miller,C. Eul,C. Sukalski,D. Block,W. Hanson,1,3,R. Michaelis,6,1000020,rf,NA,dh,2b,3b,cf,lf,ss,1b,c,A. Bren,"gustavus adolphus
",Gustavus Adolphus,A. Bren,,7.0,Y,,"St.Peter,Minn. (Gustie Field)",1:00pm   ,2:05   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,NA,Michael Stephenson,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Ryan Scheetz,Mark Blum,Neil Eddie,Andy Compton,2,6,Brandon Pietrzyk,9,1100202,ss,NA,2b,cf,lf,dh,1b,3b,c,rf,Ryan Wuebker," Sunny, 60's",Ryan Wuebker
45,"Mar 14, 2010",lorrip,,Bullock,NA,Kastner,Beaman,Whitty,N.Paul,Grambow,McFarland,Bosquez,Bayreuther,0,9,Blader,12,00201222X,cf,NA,lf,3b,c,rf,dh,1b,2b,ss,Dwyer,ripon college,Ripon College,Ben Cottrell,,9.0,Y,,"Auburndale, FLA (Lake Myrtle #1)",9:00 AM   ,2:40   ,,"loras college
",Loras College,Mike Canevello,NA,Ben Kuebel,John Schroeder,Calvin Rea,Austin Brown,BJ Juergens,Travis Olson,Alex Mallonee,Kevin Harlander,3,7,Austin Safranski,9,202100200,ss,NA,3b,c,dh,cf,1b,2b,lf,rf,Kyler Laurie,,Blader
97,"Mar 27, 2010",cordbq2,1,Matt Pfister,David Bartine,Matthew Shimanovsky,Andrew Patzke,Ryan Clausen,Zach Rogers,J.T. Pells,Mark Corbeil,Andy Krekel,Matthew Bliven,2,5,Nick Norris,5,0010004,cf/lf,p/cf,2b,lf,1b,3b,rf,dh,c,ss,David Bartine,"cornell college
",Cornell College,David Bartine,,7.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",1:05 PM   ,2:10   ,HP: Ken Ferris  2B: Todd Gilmo,"dubuque, univ. of","Dubuque, Univ. of",Andrew Danna,NA,Alexander Larson,Nathan Lucas,Todd Whited,Aaron Laskowski,Brock Grubbs,Jeffrey Stevens,Nicholas Martin,Jesse Lawler,2,9,Kalen Mace,9,4100121,ss,NA,c,1b,lf,3b,dh,rf,2b,cf,Kalen Mace,,Kalen Mace
150,"Apr 16, 2010",corlor1,,Ben Kuebel,NA,Clay Henricksen,John Schroeder,Calvin Rea,BJ Juergens,Kyle Soeder,Austin Brown,Derek Bergan,Jordan Ries,0,13,Ben Cottrell,16,50302021,3b,NA,dh,c,lf,1b,rf,cf,ss,2b,Cole Boge,"loras college
",Loras College,Adam Harrington,,8.0,Y,,"Dubuque, Iowa (Petrakis Park)",6:00 PM   ,2:30   ,,"cornell college
",Cornell College,Matt Pfister,NA,David Bartine,Matthew Shimanovsky,Ryan Clausen,J.T. Pells,Zach Rogers,Ryan Fincham,Andy Krekel,Matthew Bliven,5,3,Nick Norris,9,20010000,lf/rf,NA,rf,2b,1b,dh,3b,cf,c,ss,Adam Harrington,,Cole Boge
43,04/28/10,dbqari,,"Serna, Kevin",NA,"Schmidt, Kur","Hoffman, Dav","McIntosh, Ja","Kujawa, Nick","Richardson,","O'Donnell, T","Cecchi, Joe","Lamb, Mike",0,9,"Peters, John",7,00402012X,cf,NA,ss,2b,lf,1b,dh,c,3b,rf,"Heaton, Ben","augustana
",Augustana,Julian Cantu,,9.0,Y,,"Moline, Illinois (Swanson/Brunner)",7:02 pm   ,2:04   ,,"dubuque, univ. of","Dubuque, Univ. of",Nicholas Martin,NA,Austin Linderwell,Andrew Danna,Todd Whited,Alexander Larson,Philip Elking,Aaron Laskowski,Andrew Reese,Klayton Breitbach,2,0,Louis Dettorre,9,000000000,2b,NA,3b,ss,lf,c,1b,cf,dh,rf,Julian Cantu,,"Heaton, Ben"
300,"May 1, 2010",cenlor2,2,Ben Kuebel,NA,Clay Henricksen,John Schroeder,Calvin Rea,BJ Juergens,Kyle Soeder,Austin Brown,Spencer Radabaugh,Jordan Ries,1,10,Eric Rife,11,000145X,ss,NA,dh,c,lf,1b,rf,cf,3b,2b,Nick Panvino,"loras college
",Loras College,Joel Pulliam,,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",  ,1:50   ,,"central college
",Central College,Mike Furlong,NA,Ben Tressel,Caleb Rangel,Jarred Lackey,Ryan Allison,Anthony Miller,Blake Smith,Ben Chestnut,Allen Mann,3,5,Dirk Lindaman,8,0210200,ss,NA,2b,lf,rf,dh,3b,c,1b,cf,Joel Pulliam,,Eric Rife
,"Mar 10, 2010",lorsjme2,,Mike Canevello,NA,John Schroeder,Ben Kuebel,Calvin Rea,Austin Brown,BJ Juergens,Travis Olson,Alex Mallonee,Kevin Harlander,4,6,Spencer Radabaugh,10,0200400,ss,NA,c,3b,dh,cf,1b,2b,lf,rf,Kevin Moriarity,"loras college
",Loras College,Zack Schwartz,,7.0,Y,,Auburndale (Lake Myrtle #4),3:15 PM   ,2:40   ,,st. joseph's (me.),St. Joseph's (Me.),Campbell,NA,Saunders,Lee,Grant-Roy,Keneborus,Pratt,Adams,Woodbrey,Martin,1,12,Keirstead,11,0005052,ss,NA,2b,dh,1b,lf/cf,3b,c,rf,cf,Roberge, Sunny 75 degrees,Keirstead
