attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
42,"Mar 04, 2013",bvuwus,,Max Golembo,Andrew Goldstick,Kyle Billig,Chris Lowery,Zack Kessinger,Kyle Kozak,Alan Komorowski,Brian Cizek,Dylan Reid,0,7,Max Zhang,11,11320000X,rf,ss,cf,3b/p,1b,c,lf,dh,2b/3b,Taylor Berman,washington u.,Washington U.,Reggie Kock,,9,Y,,"St. Louis, Mo. (Kelly Field)",2:15 pm   ,2:20   ,,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Dillon Plath,Joe Paletta,Neil Eddie,Jesse Munsterman,Brandon Wessels,Alex Davis,Ryan Titman,Nick Schlect,2,4,Lucas Hadaway,16,001001002,2b,NA,rf/lf,1b,dh,lf/3b,c,3b,ss,cf,Reggie Kock," Overcast, 50 degrees",Taylor Berman
,"Mar 27, 2013",lutwi,,Eric Pittman,Matt Larson,Zach Hendrikson,Mitch Knippenberg,David Lowe,Andy Briggs,Andrew Nelson,Aldon Severson,Thomas Weber,2,3,Alec Knop,8,000100020,ss,rf,c,2b,3b,cf,dh,1b,lf,Andrew Nelson,"luther college
",Luther College,Andrew Nelson,,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",  ,  ,,williams college,Williams College,Taylor Mondshein,NA,Darren Hartwell,Matt Kastner,Marco Hernandez,K.C. Murphy,David Webster,Kirby Neuner,Chance Rueger,Beau Horan,3,9,Lucas Casso,14,102020310,3b,NA,lf,dh,2b,1b,cf,rf,c,ss,Patrick Blizzard,,Patrick Blizzard
,"Apr 14, 2013",lutsim3,1,Jake Barr,Brett Crable,Tyler Craig,Tyler Crandell,Jake Scieszinski,Ethan Hale,Michael Chia,Jake Esdohr,Blake Heitmeier,1,3,Taylor Neff,7,1000002,lf,cf,1b,ss,dh,2b,3b,c,rf,Junior Rodriguez,"simpson college
",Simpson College,Junior Rodriguez,,7,Y,,"Indianola, Iowa (McBride Field)",11:14 am   ,1:50   ,HP: Matt Badeaux  1B: Ronald Acuna,"luther college
",Luther College,Eric Pittman,NA,Matt Larson,Mitch Knippenberg,Zach Hendrikson,David Lowe,Austen Graham,Ben Obermann,Dakotah Rostad,Andy Briggs,0,5,Nate Whitham,8,0201020,ss,NA,lf,c,rf,1b,2b,dh,3b,cf,Alex Byom," lt rain, 55, Wind SE 24",Alex Byom
235,"Mar 30, 2013",bvulut3,1,Weston Foxx,Dillon Plath,Joe Paletta,Jeremy Lambert,Brandon Wessels,Jesse Munsterman,Neil Eddie,Ryan Duncan,Nick Schlect,0,2,Tyler Lefeber,8,0101000,2b,rf,1b,3b,c,ss/lf,dh,lf,cf,Brennan Holm,"buena vista university
",Buena Vista Univ.,Brennan Holm,,7,Y,,"Storm Lake, Iowa (BVU/SL HS Complex)",1:00pm   ,2:35   ,HP: Matt Ossenfort  1B: Monty Cassn,"luther college
",Luther College,Eric Pittman,NA,Andrew Nelson,Matt Larson,Mitch Knippenberg,Aldon Severson,Thomas Weber,David Lowe,Austen Graham,Andy Briggs,1,4,Alec Knop,9,1012000,ss,NA,dh,lf,c,1b,rf,3b,2b,cf,Matt McKinney,,Matt McKinney
,"Mar 02, 2013",loraur2,2,Mike Canevello,Jordan Ries,Cody Richter,Nick Battalini,Alex Rodrigues,Connor Reilly,Danny Fahlgren,Eric DeSousa,Mike Pudlo,2,5,Matt Kass,7,00010121000,rf,lf,dh,cf,2b,1b,c,3b,ss,Patrick Walsh,"loras college
",Loras College,Matt Kass,,11,Y,,"Auburndale, Fla. (Lake Myrtle)",3:30 pm   ,  ,,#24 aurora university,#24 Aurora University,Carlos Olavarria,NA,Corey Landers,Tanner Oymaian,Mike Foley,Cory Walden,Jake Monson,Jared Swain,Kyle Spooner,Nick Turner,2,6,Kevin Day,9,00004001001,2b,NA,lf,ss,rf,dh,3b,1b,c,cf,Jared Steck,,Thomas Ozlanski
125,"Apr 20, 2013",cenwar1,1,Andrew Krehbiel,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Clay Emmrich,Michael Schinstock,Levi Montague,1,2,Scott Benson,6,0000101,cf,2b,3b,1b,c,dh,lf,rf,ss,Scott Benson,#26 wartburg college,#26 Wartburg College,Ryan Goetzinger,,7,Y,,"Waverly, Iowa (Hertel Field)",  ,  ,HP: Ryan Eklund  1B: Alec Clark,"central college
",Central College,Sam Stetzel,NA,Jordan Judkins,Robbie Rushing,Adam Ariola,Michael Jontz,Zach Zylstra,Jace Ahrendsen,Seth Carson,Spencer Gritsch,1,1,Ryan Goetzinger,7,0000010,cf,NA,ss,lf,3b,rf,dh,c,1b,2b,Ryan Goetzinger,,Scott Benson
156,"May 05, 2013",cenlut4,2,Austen Graham,Andy Briggs,Mitch Knippenberg,Zach Hendrikson,Brian Paulsrud,Matt Larson,Dakotah Rostad,Daniel Schoess,Alec Knop,0,3,Nate Whitham,11,00003000X,2b,cf,dh,c,1b,lf,3b,rf,ss,Nate Whitham,"luther college
",Luther College,Matt Schissel,,9,Y,,"Decorah, Iowa (Luther College)",4:00pm   ,1:50   ,HP: John Kunz  1B: Eric Olson,"central college
",Central College,Sam Stetzel,NA,Jordan Judkins,Robbie Rushing,Adam Ariola,Zach Zylstra,Seth Carson,Andrew O'Toole,Jace Ahrendsen,Kirby Coppess,0,1,Judson McKown,5,000100000,cf,NA,ss,dh,3b,lf,1b,rf,c,2b,Michael Jontz,,Nate Whitham
153,"Apr 26, 2013",coesim2,2,Brett Crable,Blake Heitmeier,Tyler Craig,Tyler Crandell,Jake Barr,Jake Scieszinski,Michael Chia,Jake Esdohr,Ethan Hale,3,1,Zane Butler,4,0001000,cf,rf,1b,ss,lf,dh,3b,c,2b,Junior Rodriguez,"simpson college
",Simpson College,Junior Rodriguez,,7,Y,,"Indianola, Iowa (McBride Field)",5:57 pm   ,1:39   ,HP: Kevin Frost  1B: Alec Clark,"coe college
",Coe College,Ben Larison,NA,Craig Konrardy,Nick Stein,Michael Goerdt,AJ Reuter,Jacob Redman,JD Hunter,Patton Hofer,Michael Redmond,0,13,Ben Strellner,16,0321322,ss,NA,3b,cf,lf,1b,dh,2b,c,rf,Ben Strellner," Overcast 64, Wind S 14",Ben Strellner
505,"May 10, 2013",iiac8,,Sam Stetzel,Jordan Judkins,Adam Ariola,Zach Zylstra,Seth Carson,Andrew O'Toole,Jace Ahrendsen,Kirby Coppess,,2,0,Mark Schroeder,4,000000000,cf,ss,3b,lf,1b,rf,c,2b,,Robbie Rushing,"central college
",Central College,Robbie Rushing,,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",7:00   ,2:05   ,HP: J.Wiechmann  1B: K.Ferris  2B: R.Farnsworth,"simpson college
",Simpson College,Brett Crable,NA,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Jake Esdohr,Michael Chia,Ethan Hale,Josh Pirtle,2,9,Jake Scieszinski,13,040500000,cf,NA,lf,1b,3b,ss,c,dh,2b,rf,Gage Reis," 63, Partly Cloudy",Jake Scieszinski
,"Mar 23, 2013",lutgac,,Austen Graham,Andy Briggs,Matt Larson,Eric Pittman,Andrew Nelson,Thomas Weber,Zach Hendrikson,Peter Sanstedt,Aldon Severson,4,1,Joel Martin,4,001000000,2b,cf,rf,ss,dh/c,lf,c/lf,3b,1b,Alec Knop,"luther college
",Luther College,Alec Knop,,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",  ,  ,,"gustavus adolphus
",Gustavus Adolphus,Taylor Bigandt,NA,Tim Miller,Scott Benjamin,Drew Block,Kellan Euerle,Sam Warner,Max Fidler,Garrett Fuchs,David Tranvik,3,17,Grant Soderberg,16,000334052,rf,NA,cf,2b,1b,lf,dh,ss,3b,c,Grant Soderberg,,Grant Soderberg
55,"Apr 08, 2013",coelut3,1,Eric Pittman,Andrew Nelson,Matt Larson,Aldon Severson,Mitch Knippenberg,Thomas Weber,David Lowe,Andy Briggs,Austen Graham,1,1,Alec Knop,6,00000001,ss,dh,lf,1b,c,rf,3b,cf,2b,Alec Knop,"luther college
",Luther College,Alec Knop,,8,Y,,"Decorah, Iowa (Luther College)",1:00 pm   ,1:50   ,HP: Eric Olson  1B: Ryan Eklund,"coe college
",Coe College,Ben Larison,NA,JD Hunter,Nick Stein,Michael Goerdt,AJ Reuter,Tim Kayser,Kaileb Armbruster,Tanner Beck,Patton Hofer,1,2,Connor Alberhasky,5,00000002,ss,NA,3b/2b,cf,lf,dh,1b,rf,2b,c,Connor Alberhasky,,Connor Alberhasky
100,"Mar 06, 2013",simcuc2,,Jake Barr,Tyler Crandell,Tyler Craig,Michael Chia,Jake Scieszinski,Ethan Hale,Jake Esdohr,Josh Pirtle,Brett Crable,0,1,Kyle Helmerson,4,000000100,lf,ss,1b,3b,dh,2b,c,rf,cf,Junior Rodriguez,"simpson college
",Simpson College,Junior Rodriguez,,9,Y,,"Tucson, Ariz. (Tucson Electric Park)",6:05p   ,1:55   ,HP: Jim Zarin  1B: Hank Hentg,"concordia university chicago
",Concordia-Chicago,B.J. Weisflog,NA,Robert Weis,Shawn Miller,Kyle Huber,Derek Binninger,Will Randerson,Colin Bethran,Rich Santarelli,Steve Zubrzycki,0,4,Steve Cox,7,400000000,lf,NA,ss,cf,dh,1b,c,rf,2b,3b,Kurt Kempema," Clear, 78",Kurt Kempema
155,"Apr 20, 2013",bvusim2,2,Brandon Wessels,Weston Foxx,Joe Paletta,Ryan Scheetz,Jesse Munsterman,Dillon Plath,Neil Eddie,Alex Davis,Nick Schlect,0,2,Brennan Holm,10,0000010001,lf,2b,1b,dh,ss,rf,c,3b,cf,Ian Grigsby,"buena vista university
",Buena Vista Univ.,Junior Rodriguez,,10,Y,,"Indianola, Iowa (McBride Field)",4:21 pm   ,2:19   ,HP: Aaron Perez  1B: Ricardo Alverio,"simpson college
",Simpson College,Jake Barr,NA,Brett Crable,Tyler Craig,Tyler Crandell,Jake Scieszinski,Ethan Hale,Bud Smith,Pedro Rosa,Blake Heitmeier,1,1,Junior Rodriguez,7,0000010000,lf,NA,cf,1b,ss,dh,2b,c,rf,3b,Junior Rodriguez," Cldy, 47;",Brennan Holm
132,"Feb 24, 2013",coeust1,1,Ben Podobinski,Jack Hogan,Tyler Peterson,Dylan Thomas,Tim Kuzniar,J.D. Dorgan,Ryan Gerber,Sam Miller,Jon Kinsel,0,3,Steve Maher,5,000201X,cf,3b,1b,dh,lf,c,rf,2b,ss,Steve Maher,#2 st. thomas (minn.),#2 St. Thomas (Minn.),Connor Alberhasky,,7,Y,,"Minneapolis, Minn. (Metrodome)",8:15 pm   ,2:30   ,,"coe college
",Coe College,Ben Larison,NA,JD Hunter,Nick Stein,Michael Goerdt,Tim Kayser,Jack Hoffmann,Patton Hofer,Craig Konrardy,Michael Redmond,1,0,AJ Reuter,3,0000000,ss,NA,3b,cf,lf,1b,dh,c,2b,rf,Connor Alberhasky, Indoors,Steve Maher
225,"Apr 20, 2013",dbqlut2,2,Andy Danna,Austin Monfross,Spencer Kuehn,Jordan Gawronski,Michael Campbell,Noah Mahlik,Chris Briggs,Vince Parisi,Kyle Duggan,3,2,Aaron Laskowski,7,000010001,ss,3b,rf,2b/lf,dh,cf/lf,1b,c,lf,Nick Martin,"dubuque, univ. of","Dubuque, Univ. of",Nick Martin,,9,Y,,"Dubuque, Iowa (UD Baseball Field)",3:10   ,2:50   ,HP: Mike Gansemer  1B: Larry Allen,"luther college
",Luther College,Eric Pittman,NA,Austen Graham,Mitch Knippenberg,Zach Hendrikson,David Lowe,Matt Larson,Aldon Severson,Thomas Weber,Andy Briggs,1,9,Nate Whitham,11,000030033,ss,NA,2b,c,rf,3b,lf,1b,dh,cf,Alex Byom," 45, Sunny",Alex Byom
120,"May 06, 2013",dbqsim3,1,Brett Crable,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Jake Esdohr,Ethan Hale,Pedro Rosa,Josh Pirtle,2,8,Brett Crable,9,022022X,cf/p,lf,1b,3b,ss,c,2b,dh/rf,rf/cf,Taylor Neff,"simpson college
",Simpson College,Nick Martin,,7,Y,,"Dubuque, Iowa (UD Baseball Field)",1:00   ,1:50   ,HP: P.Keitel  1B: K.F,"dubuque, univ. of","Dubuque, Univ. of",Aaron Laskowski,NA,Andy Danna,Spencer Kuehn,Chris Briggs,Michael Riordan,Jordan Gawronski,Michael Campbell,Vince Parisi,,3,6,Alan Kopp,9,1001004,cf,NA,ss,rf,1b,lf,2b,3b,c,,Nick Martin," 75, Sunny",Taylor Neff
350,"May 09, 2013",iiac3,,Ben Larison,Craig Konrardy,Nick Stein,AJ Reuter,Michael Goerdt,Patton Hofer,Tim Kayser,Tanner Beck,Michael Redmond,1,6,Drew Arends,12,20000202X,ss,3b,cf,dh,lf,c,1b,2b,rf,Wade Morris,"coe college
",Coe College,Will Petrosky,,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",4:45   ,2:15   ,HP: Larry Allen  1B: Paul Keitel  2B: Ryan Farnsworth,"loras college
",Loras College,Mark Jablonski,NA,Mike Pudlo,Mike Canevello,Niko Andriotis,Patrick Walsh,Alex Rodrigues,Eric DeSousa,Danny Fahlgren,Justin Montalvo,2,3,Connor Schreck,5,000300000,cf,NA,ss,rf,dh,1b,2b,3b,c,lf,Will Petrosky," 65, Cloudy",Wade Morris
60,"May 06, 2013",bvulor4,2,Mark Jablonski,Mike Pudlo,Niko Andriotis,Alex Rodrigues,Connor Reilly,Nate Even,Eric DeSousa,Lucas Jacque,Justin Montalvo,1,4,Matt Kass,5,0000201100,cf,ss,lf,2b,1b,dh,3b,c,rf,Patrick Walsh,"loras college
",Loras College,Matt Kass,,10,Y,,"Dubuque, Iowa (Petrakis Park)",5:40   ,3:00   ,HP: Larry Allen  1B: Mike Gan,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Nick Schlect,Joe Paletta,Brandon Wessels,Jesse Munsterman,Jeremy Lambert,Tanner Truesdell,Schuyler Radke,Alex Davis,2,8,Jesse Munsterman,13,0110200004,2b,NA,cf,1b,rf/lf,ss/p,dh,lf,c,3b,Adam Bernstorf,,Jesse Munsterman
,"Mar 04, 2013",simiwc2,2,Jake Barr,Tyler Crandell,Tyler Craig,Michael Chia,Jake Scieszinski,Nick Anderson,Pedro Rosa,Blake Heitmeier,Brett Crable,3,6,Matt Pennings,10,050010X,lf,ss,1b,3b,dh,c,rf,2b,cf,Gage Reis,"simpson college
",Simpson College,Edgar Silva,,7,Y,,"Tucson, Ariz. (Kino Sports Complex)",1:00 pm   ,  ,,iowa wesleyan coll.,Iowa Wesleyan Coll.,Nathan Strusz,NA,Jeffrey Burdett,Jacob Neilson,Louis Rivera,Michael Reed,Brandon Harris,Jacob Scherer,David Barrios,Justin Katich,0,4,Edgar Silva,6,1000030,ss,NA,cf,1b,2b,rf,lf,3b,c,dh,Edgar Silva,,Gage Reis
186,"Apr 21, 2013",coelor4,2,Ben Larison,Tanner Beck,Nick Stein,Michael Goerdt,AJ Reuter,Craig Konrardy,JD Hunter,Patton Hofer,Michael Redmond,1,5,Jack Hoffmann,10,02020010X,ss,2b,cf,lf,1b,3b,dh,c,rf,Wade Morris,"coe college
",Coe College,Ben Cottrell,,9,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:00 pm   ,4:45 pm   ,HP: Gary Hart  1B: Eric Thornton,"loras college
",Loras College,Mark Jablonski,NA,Jordan Ries,Mike Canevello,Nick Battalini,Alex Rodrigues,Eric DeSousa,Niko Andriotis,Danny Fahlgren,Mike Pudlo,2,2,Connor Schreck,5,000001010,cf,NA,lf,1b/rf,rf,2b,3b,dh,c,ss,Ben Cottrell," 60, Partly Cloudy, 20 mph wind",Wade Morris
113,"Apr 02, 2013",coewarn2,2,Ben Larison,Tanner Beck,Nick Stein,Michael Goerdt,Tim Kayser,Cole Tomlinson,Michael Redmond,Patton Hofer,Craig Konrardy,1,2,Kelly O'Rourke,6,0010010,ss,2b,cf,lf,1b,dh,rf,c,3b,Jack Hoffmann,"coe college
",Coe College,Jack Hoffmann,,7,Y,,"Cedar Rapids, Iowa (Daniels Park)",2:45 pm   ,1:53   ,HP: Ryan Farnsworth  1B: Scott Behn,"wartburg college
",Wartburg College,Andrew Krehbiel,NA,Ryan Kemp,Ryan Powers,Drew Yoder,Blake Wilson,Clay Emmrich,Michael Schinstock,Joe Grote,Levi Montague,1,4,Parker Bolt,6,0010201,cf,NA,lf,3b,1b,c,dh,rf,2b,ss,Chase Hirschauer," 43 degrees, Partly Cloudy",Chase Hirschauer
75,"Mar 04, 2013",lortmc,,David Kennett,Nick Connor,Jason Handley,Ryan Darner,Travis Miller,Cody Makin,Craig Hyson,Tyler Graber,Brad Popham,0,6,David Etscheid,11,00011310X,ss,lf,dh,rf,3b,cf/rf,1b,2b,c,Grant Lewis,thomas more college,Thomas More College,Jeremy Gerardy,,9,Y,,"Auburndale, Fla.",  ,  ,,"loras college
",Loras College,Mike Canevello,NA,Jordan Ries,Cody Richter,Patrick Walsh,Nick Battalini,Alex Rodrigues,Eric DeSousa,Lucas Jacque,Mike Pudlo,4,1,Danny Baran,9,000010000,rf,NA,lf,dh,1b,cf,2b,3b,c,ss,Ben Cottrell,,Grant Lewis
74,"Apr 15, 2013",censim2,2,Jake Barr,Brett Crable,Tyler Craig,Tyler Crandell,Jake Scieszinski,Ethan Hale,Michael Chia,Bud Smith,Blake Heitmeier,1,5,Kyle Helmerson,11,100130000,lf,cf,1b,ss,dh,2b,3b,c,rf,Matt Pennings,"simpson college
",Simpson College,Matt Pennings,,9,Y,,"Indianola, Iowa (McBride Field)",5:30 pm   ,2:25   ,HP: Michael Kelly  1B: Micah Shull,"central college
",Central College,Sam Stetzel,NA,Jordan Judkins,Robbie Rushing,Adam Ariola,Zach Zylstra,Seth Carson,Jace Ahrendsen,Jake Effron,Spencer Gritsch,3,9,Robbie Rushing,12,000006030,cf,NA,ss,lf/p,3b,dh,1b,c,rf,2b,Judson McKown,,Judson McKown
683,"May 05, 2013",coewar1,1,Ben Larison,Craig Konrardy,Nick Stein,Michael Goerdt,AJ Reuter,Jacob Redman,JD Hunter,Patton Hofer,Michael Redmond,1,9,Jake Tickle,8,201204X,ss,3b,cf,lf,1b,dh,2b,c,rf,Drew Arends,"coe college
",Coe College,Ben Rettenmeier,,7,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 pm   ,1:50   ,HP: Bret Miell  1B: Jeff F,#18 wartburg college,#18 Wartburg College,Andrew Krehbiel,NA,Ryan Kemp,Ryan Powers,Drew Yoder,Clay Emmrich,Levi Montague,Blake Wilson,Michael Schinstock,Jackson Litterer,0,8,Ben Rettenmeier,12,2401100,cf,NA,lf,3b,1b,dh,ss,c,rf,2b,Ryan Doty," 71, Partly Cloudy",Jake Tickle
55,"Apr 08, 2013",coelut4,2,Eric Pittman,Austen Graham,Aldon Severson,Mitch Knippenberg,Matt Larson,Andrew Burgmeier,Thomas Weber,Dakotah Rostad,Andy Briggs,0,3,Blake Peterson,9,0110100,ss,2b,1b,c,lf,dh,rf,3b,cf,Matt McKinney,"luther college
",Luther College,Matt McKinney,,7,Y,,"Decorah, Iowa (Luther College)",3:30   ,2:00   ,HP: Ryan Eklund  1B: Eric Olson,"coe college
",Coe College,Ben Larison,NA,JD Hunter,Nick Stein,Michael Goerdt,AJ Reuter,Jory Heckenberg,Michael Redmond,Craig Konrardy,Patton Hofer,0,6,AJ Reuter,6,0001401,ss,NA,2b,cf,lf,1b/p,dh,rf,3b,c,Kyle Brady,,Kyle Brady
45,"Mar 20, 2013",dbqblc1,1,Joe Tuholsky,Mitch Sellers,Lucas Herd,Adam Geiger,Clint Aretz,Dylan Gass,Cory Ferm,Mitch Kleist,Andy Gensch,3,1,Jake Gleason,3,0000001,2b,ss,cf,lf,1b,3b,dh,c,rf,Garrett Benson,"bethany lutheran
",Bethany Lutheran,Garrett Benson,,7,Y,,"Minneapolis, Minn. (Metrodome)",8:00 am   ,1:45   ,,"dubuque, univ. of","Dubuque, Univ. of",Andy Danna,NA,Kyle Duggan,Michael Campbell,Spencer Kuehn,Chris Briggs,Michael Riordan,Vince Parisi,Austin Monfross,Aaron Laskowski,0,11,Nick Martin,13,1223300,ss,NA,lf,3b,dh,1b,rf,c,2b,cf,Nick Martin, Indoors,Nick Martin
75,"Mar 03, 2013",lorbe,,Mike Canevello,Jordan Ries,Cody Richter,Danny Fahlgren,Patrick Walsh,Nick Battalini,Alex Rodrigues,Eric DeSousa,Mike Pudlo,3,12,Jeremy Gerardy,14,10114410X,rf,lf,dh,c,1b,cf,2b,3b,ss,Adam Schwoebel,"loras college
",Loras College,Andrew Edwards,,9,Y,,"Winter Haven, Fla. (Chain 'O Lakes Park)",2:50 pm   ,2:28   ,,beloit college,Beloit College,Ethan Blumenthal,Andrew Edwards,Adrian Peil,Will Mack,Alex Lawrence,Tyler Peacock,Sean Little,Danny Corral,Jerrick Habecker,Jake Parrott,5,4,Dylan Scully,7,210100000,lf,p/1b,ss,cf,1b,dh,3b,c,2b,rf,Andrew Edwards," Partly Cloudy, 52, WNW15",Adam Schwoebel
165,"May 05, 2013",cenlut3,1,Austen Graham,Andy Briggs,Mitch Knippenberg,Zach Hendrikson,Brian Paulsrud,Matt Larson,Andrew Nelson,Dakotah Rostad,Alec Knop,8,1,Phillip Lapointe,4,0100000,2b,cf,c,rf,1b,lf,dh,3b,ss,Danny Smith,"luther college
",Luther College,Danny Smith,,7,Y,,"Decorah, Iowa (Luther College)",1:00 pm   ,2:27   ,HP: Eric Olson  1B: John Kunz,"central college
",Central College,Sam Stetzel,NA,Jordan Judkins,Robbie Rushing,Adam Ariola,Zach Zylstra,Michael Jontz,Seth Carson,Jace Ahrendsen,Kirby Coppess,2,14,Robbie Rushing,12,4140113,cf,NA,ss,dh/p,3b,lf,rf,1b,c,2b,Ryan Goetzinger,,Ryan Goetzinger
195,"Mar 30, 2013",bvulut4,2,Brandon Wessels,Jesse Munsterman,Joe Paletta,Ryan Scheetz,Jeremy Lambert,Jake Daniels,Neil Eddie,Ryan Duncan,Ryan Titman,2,2,Jake Bjorkgren,6,000200000,lf,rf/ss,1b,dh,3b,2b,c,cf,ss,Ian Grigsby,"buena vista university
",Buena Vista Univ.,Ian Grigsby,,9,Y,,"Storm Lake, Iowa (BVU/SL HS Complex)",4:05   ,2:20   ,HP: Monty Cassner  1B: Matt Ossenfort,"luther college
",Luther College,Eric Pittman,NA,Andrew Nelson,Matt Larson,Mitch Knippenberg,Aldon Severson,Thomas Weber,David Lowe,Austen Graham,Andy Briggs,1,6,Nate Whitham,12,500000001,ss,NA,dh,lf,c,1b,rf,3b,2b,cf,Blake Peterson,,Blake Peterson
65,"Apr 05, 2013",bvuwar1,1,Brandon Wessels,Weston Foxx,Joe Paletta,Ryan Scheetz,Jesse Munsterman,Jeremy Lambert,Dillon Plath,Neil Eddie,Nick Schlect,0,9,Jon Ringblom,11,405000X,lf,2b,1b,dh,ss,3b,rf,c,cf,Jon Ringblom,"buena vista university
",Buena Vista Univ.,Scott Benson,,7,Y,,"Storm Lake, Iowa (BVU/SL HS Complex)",1:00pm   ,1:20   ,HP: Aaron Christians  1B: Randy Bertra,"wartburg college
",Wartburg College,Andrew Krehbiel,NA,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Michael Schinstock,Levi Montague,Ryan Kemp,0,1,Scott Benson,4,0001000,cf,NA,2b,3b,1b,c,dh,rf,ss,lf,Scott Benson,,Jon Ringblom
183,"Mar 04, 2013",coebel1,1,Ben Larison,JD Hunter,Nick Stein,Michael Goerdt,AJ Reuter,Jory Heckenberg,Patton Hofer,Michael Redmond,Craig Konrardy,1,7,Kelly O'Rourke,9,300013X,ss,3b,cf,lf,1b,dh,c,rf,2b,Connor Alberhasky,"coe college
",Coe College,Ryan Kaveney,,7,Y,,"Auburndale, Fla. (Lake Myrtle Park)",9:15 am   ,1:45   ,,beloit college,Beloit College,Ethan Blumenthal,NA,Andrew Edwards,Will Mack,Alex Lawrence,Grant Henricksen,Sean Little,Tyler Peacock,Matt Woodstock,Matt Meade,1,0,Jim Leyhane,4,0000000,rf,NA,1b,cf,dh,2b,3b,c,lf,ss,Ryan Kaveney," 48 degrees, Sunny",Connor Alberhasky
145,"Apr 14, 2013",lutsim4,2,Jake Barr,Brett Crable,Tyler Craig,Tyler Crandell,Jake Scieszinski,Ethan Hale,Michael Chia,Nick Anderson,Blake Heitmeier,2,12,Gage Reis,16,04006020X,lf,cf,1b,ss,dh,2b,3b,c,rf,Aaron Young,"simpson college
",Simpson College,Blake Peterson,,9,Y,,"Indianola, Iowa (McBride Field)",1:38 pm   ,3:09   ,HP: Ronald Acuna  1B: Matt Badeaux,"luther college
",Luther College,Eric Pittman,NA,Matt Larson,Mitch Knippenberg,Zach Hendrikson,David Lowe,Austen Graham,Aldon Severson,Zach Lashbrook,Andy Briggs,2,11,Nate Whitham,18,341111000,ss,NA,lf,dh,rf,3b,2b,1b,c,cf,Matt McKinney," Overcast, 63, Wind S18",Brock Borgeson
123,"Mar 06, 2013",coesjfc,,Ben Larison,JD Hunter,Nick Stein,AJ Reuter,Jory Heckenberg,Michael Goerdt,Patton Hofer,Michael Redmond,Craig Konrardy,6,3,AJ Reuter,11,002000000100,ss,3b,cf,1b/p,dh,lf,c,rf,2b,Kyle Brady,"coe college
",Coe College,AJ Reuter,,12,Y,,"Winter Haven, Fla. (Chain of Lakes Park)",2:30 pm   ,2:55   ,,st. john fisher,St. John Fisher,Sean Osterman,NA,Chris Roeder,Brad Rush,Mike Fahy,Shane Barley,Ben Bostick,Johnny Beck,Mike Roman,Tim Coykendall,2,5,Jordan Doroshenko,14,010010000102,cf,NA,ss,1b,dh,3b,rf,lf,2b,c,Adam Pettinella," 66 degrees, Sunny, 17 mph wind",Jordan Doroshenko
231,"May 15, 2013",warncaa1,,Andrew Krehbiel,Ryan Doty,Drew Yoder,Blake Wilson,Levi Montague,Clay Emmrich,Michael Schinstock,Joe Grote,Craig Kerper,2,4,Michael Schinstock,14,000000130000,cf,2b,1b,c,ss,dh,rf/p,3b,lf,Scott Benson,#21 wartburg college,#21 Wartburg College,Michael Schinstock,,12,Y,,"Moline, Ill. (Swanson/Brunner)",3:30 PM   ,2:48   ,HP: Dan Grawe  1B: Jay Wiechmann  2B: Dave Boever  3B: Matt Ossenfort,adrian college,Adrian College,A.DeLuca,NA,J.Sackett,D.Heatherly,Sam Fischer,M.Stefanski,A.Sergi,R.J. Rios,Ben Yax,G.Green,4,5,L.Willitzer,8,010012000001,rf,NA,c,lf,cf,dh,3b,1b,ss,2b,R.Robinson,,L.Willitzer
