attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
105,"Mar 17, 2013",bvunwu2,2,John Kingston,Pete Sitorius,Alex Heideman,Beau Kelly,Justin Van Dyke,J.J. Thaut,Chris Johnson,Jordan Watteyne,James McKain,1,7,Sam Busboom,10,201022X,cf,3b,rf/c,1b,dh/3b,lf,ss,2b,c,Matt Schommer,"nebraska wesleyan university
",Nebraska Wesleyan U.,Jake Bjorkgren,,7,Y,,"Lincoln, Neb. (NWU Field)",2:58 pm   ,2:22   ,HP: Gary Eikmeier  1B: Jeff Kopecky,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Jesse Munsterman,Ryan Scheetz,Joe Paletta,Jeremy Lambert,Neil Eddie,Brandon Wessels,Dillon Plath,Ryan Duncan,2,5,Jake Bjorkgren,8,0002030,2b,NA,ss,dh,1b,3b,c,lf,rf,cf,Reggie Kock,,Jon Keck
100,"Mar 27, 2013",bvuwi,,Weston Foxx,Dillon Plath,Joe Paletta,Jeremy Lambert,Brandon Wessels,Jesse Munsterman,Ryan Scheetz,Ryan Duncan,Nick Schlect,0,8,Cam Beatty,13,50010020X,2b,rf,1b,3b,c,ss,dh,lf,cf,Reggie Kock,"buena vista university
",Buena Vista Univ.,Alex Beschloss,,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",2:00 pm   ,2:55   ,,williams college,Williams College,Taylor Mondshein,NA,Darren Hartwell,Marco Hernandez,K.C. Murphy,Phil McGovern,Patrick Blizzard,David Webster,Kirby Neuner,Beau Horan,3,7,Lucas Casso,10,003301000,3b,NA,lf,2b,1b,c,dh,cf,rf,ss,Andrew Bishop,,Tyler Lefeber
625,"May 11, 2013",iiac10,,Andrew Krehbiel,Ryan Doty,Drew Yoder,Clay Emmrich,Blake Wilson,Levi Montague,Jake Raecker,Joe Grote,Craig Kerper,4,7,Joe Moen,9,00000331X,cf,2b/1b,1b,dh,c,ss,rf,3b,lf,Michael Schinstock,"wartburg college
",Wartburg College,AJ Reuter,,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",1:05   ,2:20   ,HP: L.Allen  1B: R.Farnsworth  2B: J.Wiechmann,"coe college
",Coe College,Ben Larison,NA,Craig Konrardy,Nick Stein,AJ Reuter,Michael Goerdt,Patton Hofer,Tim Kayser,JD Hunter,Michael Redmond,1,6,AJ Reuter,7,060000000,ss,NA,3b,cf,dh/p,lf,c,1b,2b,rf,Drew Arends," 55, Windy",Joe Moen
60,"Mar 15, 2013",cenben,,Michael Jontz,Sam Stetzel,Robbie Rushing,Adam Ariola,Jordan Judkins,Seth Carson,Andrew O'Toole,Jace Ahrendsen,Jake Effron,4,6,James Longo,5,6000000,lf,cf,ss,2b,3b/ss,1b,dh,c,rf,Matt Schissel,"central college
",Central College,Matt Schissel,,7,Y,,"Auburndale, Fla. (Lake Myrtle #3)",9 a.m.   ,2:30   ,HP: Rod Davis  2B: John Vuelow,benedictine (ill.),Benedictine (Ill.),Tim Hendricks,NA,Nick Karakosta,Ryan Mullin,John Cervantes,Kevin Hendricks,Brandon Clark,Tom Higgins,Steve Cocat,Chris Wanderling,2,19,Nick Diessner,21,1711234,cf,NA,ss,1b,rf,lf,dh,c,3b,2b,Kevin Crowley," Sunny, Cool",Kevin Crowley
515,"May 11, 2013",iiac9,,Ben Larison,Craig Konrardy,Nick Stein,AJ Reuter,Michael Goerdt,Patton Hofer,Tim Kayser,JD Hunter,Michael Redmond,1,6,Connor Alberhasky,9,01030011X,ss,3b,cf,dh,lf,c,1b,2b,rf/cf,Connor Alberhasky,"coe college
",Coe College,Junior Rodriguez,,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",10:00 am   ,2:20   ,HP: M.Badeaux  1B: D.Kirkpatrick  2B: P.McIlhon,"simpson college
",Simpson College,Brett Crable,NA,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Jake Esdohr,Ethan Hale,Michael Chia,Josh Pirtle,1,1,Kyle Helmerson,8,000010000,cf,NA,lf,1b,3b,ss,c,2b,dh,rf,Junior Rodriguez," 55, Windy",Connor Alberhasky
125,"Mar 09, 2013",lutmac1,1,Ross Bronfenbrenner,Nick Sia,Tom Forster,Jimmy Belfont,Justin Sims,C.J. Smith,Sam Berk,Colin Carpenter,David Melms,1,1,Chase Kahn,7,10000000,lf,rf,c,ss,1b,cf,dh,3b,2b,Nathan Kelleher-Crew,macalester college,Macalester College,Nathan Kelleher-Crew,,8,Y,,"Minneapolis, Minn. (Metrodome)",10:00 pm   ,2:01   ,,"luther college
",Luther College,Austen Graham,NA,Andy Briggs,Matt Larson,Eric Pittman,Andrew Nelson,Thomas Weber,Ben Obermann,Aldon Severson,Dakotah Rostad,1,2,Alex Byom,7,01000001,2b,NA,cf,lf,ss,c,rf,dh,1b,3b,Danny Smith,,Alex Byom
,"Mar 25, 2013",lutclu,,Jake Petersen,Nicho DellaValle,Trevor Koons,Nick Boggan,Nick DeLorenzo,Kevin Leonard,Mike Vinyard,Spencer DuBois,Garrett Smith,1,11,Elon Goldman,14,14202200X,rf,3b,ss,1b,lf,dh/ph,cf,c,2b,Tyler Hebda,california lutheran,California Lutheran,Matt McKinney,,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",  ,  ,,"luther college
",Luther College,Austen Graham,NA,Andy Briggs,Eric Pittman,Matt Larson,Andrew Nelson,David Lowe,Aldon Severson,Zach Lashbrook,Daniel Schoess,2,4,Corey Miller,8,010300000,2b,NA,cf,ss,rf,dh,3b,1b,c,lf,Matt McKinney,,Tyler Hebda
98,"Mar 26, 2013",lutcar,,Jeff Dsida,David Stillerman,Hayden Tsutusi,Ray Yong,Nolan Baker,Kevin Johnson,Cody Bohlman,David Reynolds,Hikaru Mizuno,2,21,Cody Bohlman,27,30046341X,c,ss,1b,cf,rf,dh,3b/p,lf,2b,Henry Rownd,"carleton college
",Carleton College,Nate Whitham,,9,Y,,"Tucson, Ariz. (Kino Sports Complex)",10:00 am   ,3:22   ,,"luther college
",Luther College,Eric Pittman,NA,Matt Larson,Zach Hendrikson,Mitch Knippenberg,Brian Paulsrud,Austen Graham,Andy Briggs,Dakotah Rostad,Thomas Weber,3,6,Andrew Withers,16,012001200,ss,NA,rf,c,dh,1b,2b,cf,3b/2b,lf,Nate Whitham,,Henry Rownd
,"Apr 27, 2013",coesim3,1,Brett Crable,Jake Barr,Tyler Craig,Tyler Crandell,Blake Heitmeier,Jake Scieszinski,Michael Chia,Bud Smith,Ethan Hale,1,3,Taylor Neff,4,0300000,cf,lf,1b,ss,rf,dh,3b,c,2b,Matt Pennings,"simpson college
",Simpson College,Matt Pennings,,7,Y,,"Indianola, Iowa (McBride Field)",3:31 pm   ,1:41   ,HP: Matt Badeaux  1B: Aaron Perez,"coe college
",Coe College,Ben Larison,NA,Craig Konrardy,Nick Stein,Michael Goerdt,AJ Reuter,Jacob Redman,JD Hunter,Patton Hofer,Michael Redmond,1,5,Drew Arends,8,2020100,ss,NA,3b,cf,lf,1b,dh,2b,c,rf,Drew Arends," Partly cloudy, 69",Drew Arends
185,"Mar 29, 2013",bvulut2,2,Weston Foxx,Dillon Plath,Joe Paletta,Jeremy Lambert,Brandon Wessels,Ryan Scheetz,Jesse Munsterman,Ryan Titman,Nick Schlect,2,5,Jake Bjorkgren,9,10000040X,2b,rf,1b,3b,c,dh,lf,ss,cf,Scott Harris,"buena vista university
",Buena Vista Univ.,Danny Smith,,9,Y,,"Storm Lake, Iowa (BVU/SL HS Complex)",3:40pm   ,2:25   ,HP: Mark Harris  1B: Matt Ossenfort,"luther college
",Luther College,Eric Pittman,NA,Matt Larson,Mitch Knippenberg,Zach Hendrikson,David Lowe,Ben Obermann,Aldon Severson,Austen Graham,Andy Briggs,1,2,Nate Whitham,2,001000100,ss,NA,lf,dh,c,3b,rf,1b,2b,cf,Danny Smith,,Griffin Hatten
