attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
145,"Mar 19, 2015",cenha,,Dakotah Wolken,NA,Zach Zylstra,Kirby Coppess,Adam Lindell,Zach Brown,Spencer Gritsch,Ryan Garrett,Tyler Frideres,Andy Carr,3,4,Zach Brown,7,020100010,cf,NA,lf,ss,dh,1b/p,2b,3b,c,rf,Dylan Diveney,"central college
",Central College,Brown,,9.0,Y,Roesller,"Tucson, Ariz. (Kino Sports Complex)",10:30 am   ,2:06   ,,"hamline university
",Hamline University,Connell,NA,Picht,Olstad,Sammon,Moro,Cordell,Tormey,Summers,Berumen,0,6,Roesller,10,010300002,rf,NA,1b,dh,2b,cf,lf,ss,3b,c,Smith,Smith
650,"May 16, 2015",warncaa3,,Knoespel,NA,Wick,"Bailey, Drew",Helmich,Wade,"Hero, Reed",Schmidlkofer,"Rave, Matt","Cmiel, Matt",1,4,Mentkowski,10,01000201X,lf,NA,rf,ss,dh,3b,1b,c,2b,cf,Mentkowski,carthage college,Carthage College,Langeinrich (5-3),,9.0,Y,,"Waterloo, Iowa (Riverfront Stadium)",3:40 pm   ,2:13 hr   ,HP: David Fields  1B: Larry Allen  2B: Michael McGloon  3B: Ryan,#13 wartburg college,#13 Wartburg College,Jackson Litterer,NA,Jacob Thumann,Ryan Kemp,DJ Utley,Milton Croes,Blake Wilson,Mike Brown,Tyler Mougin,Tyler Willis,1,1,Michael Knouse,4,000001000,lf/3b,NA,rf,cf,1b,dh,c,3b,ss,2b,Max Langheinrich,Mentkowski (5-0)
35,"May 07, 2015",iiacgm1,,Neil Marshall,NA,Kolby Hilgenberg,Tanner Truesdell,Eric Gurbacki,Bryce Wessels,Bennett Mann,Brandon Wessels,Thomas Wisecup,Noah Paper,2,1,Ian Grigsby,1,000000001,cf,NA,lf,dh,1b,2b,rf,c,3b,ss,Jake Bjorkgren,"buena vista university
",Buena Vista Univ.,Bjorkgren (4-3),,9.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 p.m   ,2:00   ,HP: Josh Mara  1B: Patrick McIlhon  2B: Jay Wiechman,"luther college
",Luther College,Matt Larson,NA,Jon Opdahl,Aldon Severson,Andrew Burgmeier,David Lowe,Alex Weber,Joe Silversmith,Mitch Knippenberg,Cody Reimer,1,5,Teddy Klingsporn,12,013000010,lf,NA,2b,1b,dh,3b,cf,ss,c,rf,Teddy Klingsporn,Klingsporn (7-1)
,"Apr 04, 2015",bvuwar3,1,Neil Marshall,NA,Kendall Candor,Tanner Truesdell,Bryce Wessels,Bennett Mann,Brandon Wessels,Eric Gurbacki,Thomas Wisecup,Noah Paper,3,5,Lucas Hadaway,11,0021101,cf,NA,dh,lf,ss,rf,c,1b,3b,2b,Jake Bjorkgren,#14 buena vista univ.,#14 Buena Vista Univ.,,,7.0,Y,Nadermann,"Storm Lake, Iowa (BV/SL BB Field)",1:00pm   ,1:40   ,HP: Matt Badeaux  1B: Patrick McIlhon,#10 wartburg college,#10 Wartburg College,Tyler Willis,NA,Jacob Thumann,Ryan Kemp,DJ Utley,Blake Wilson,Milton Croes,Matt Kruger,Zach Hovick,Tyler Mougin,0,4,Gavin Nadermann,6,2020000,2b,NA,rf,cf,1b,c,dh,lf,3b,ss,Max Langheinrich,L
200,"Mar 28, 2015",cenwar4,2,Tyler Willis,NA,Jacob Thumann,Ryan Kemp,DJ Utley,Milton Croes,Blake Wilson,Tyler Mougin,Jackson Litterer,Chaz Boots,2,11,Gavin Nadermann,10,42020102X,2b,NA,rf,cf,1b,dh,c,ss,3b,lf,Shane Chafa,#14 wartburg college,#14 Wartburg College,Meyer (0-1),,9.0,Y,Nadermann (4),"Waverly, Iowa (Hertel Field)",3:30 pm   ,2:28   ,HP: Ron Acuna  1B: Mike Kelly,"central college
",Central College,Spencer Gritsch,NA,Zach Zylstra,Kirby Coppess,Adam Lindell,Zach Brown,Michael Reuter,Ryan Garrett,Dakotah Wolken,Jacob Hirst,3,8,Mark Schroeder,11,010001420,2b,NA,lf,ss,dh,1b,c,3b,rf/cf,cf,Austin Meyer,Chafa (4-0)
75,"Apr 26, 2015",cenlut1,1,Alex Weber,NA,Joe Silversmith,Aldon Severson,Andrew Burgmeier,David Lowe,Mitch Knippenberg,Zach Hendrikson,Jon Opdahl,Cody Reimer,2,1,Teddy Klingsporn,8,0000100,cf,NA,ss,dh,1b,3b,c,lf,2b,rf,Teddy Klingsporn,"luther college
",Luther College,Klingsporn (5-1),,7.0,Y,,"Decorah, Iowa (LC Baseball Diamond)",1:00 pm   ,1:41   ,HP: Eric Olson  1B: Gary LaChanc,"central college
",Central College,Kirby Coppess,NA,Zach Zylstra,Adam Lindell,Michael Reuter,Zach Brown,Seth Griffiths,Dakotah Wolken,Mason Ellis,Noah Stochl,1,2,Andy Carr,9,1001000,ss,NA,lf,dh,c,3b,rf,cf,1b,2b,Andy Carr,Carr (4-1)
,"Mar 08, 2015",simblc2,2,Joe Tuholsky,NA,Clay Anderson,Adam Geiger,Tyler Hebrink,Brandyn Olsen,Nick Caldeen,Taylor Beattie,Jordan Grams,,1,2,Arlen Nett,9,0001001,2b,NA,3b,lf,1b,cf,c,rf,ss,,Lucas Herd,"bethany lutheran
",Bethany Lutheran,Herd (0-1),,7.0,Y,Borgeson (1),"Tucson, Ariz. (Kino Complex #5)",12:00 pm   ,1:30   ,,"simpson college
",Simpson College,Jake Esdohr,NA,Nick Anderson,Gage Reis,Zeb Noel,Jonathan Greiner,Bud Smith,Keegin Branin,Austin Burlin,Taylor Harmon,0,3,Brock Borgeson,9,0110010,cf,NA,lf,1b,dh,3b,c,ss,rf,2b,Jake Scieszinski,Scieszinski (1-0)
132,"Mar 12, 2015",coeprin,,Eddie Bargmann,Christian Thomas,Parker Davidson,Gavin Thomas,Dallen Russell,Hunter Mehring,Bryce Murray,Connor Coyne,David McClelland,Aleq McMullin,4,1,Bucky Brewer,3,0000100,cf,p/ss,lf,dh,1b,rf,c,2b,3b,ss/2b,Christian Thomas,principia college,Principia College,,,7.0,Y,C,"Winter Haven, Fla. (Chain O' Lakes #3)",3:00 pm   ,2:30   ,,"coe college
",Coe College,Craig Konrardy,NA,Michael Goerdt,Cole Tomlinson,Jory Heckenberg,Alec Zwanziger,Michael Redmond,Jack Hoffmann,Grant Henning,Andrew Brierton,2,17,Tyler Smith,16,0042830,ss,NA,lf,rf,1b,2b,cf,dh,c,3b,Ben Jacobson,"Jacobson, B"
,"Mar 16, 2015",lutmmc,,Zac Hollenback,NA,Alex Mueller,Bryton Carlson,Derek Blumenstok,Collin Peterson,Hunter Hallock,Cody Ulmer,Riley Stack,Nick Sehr,3,7,Justin Miller,15,012002002,cf,NA,ss,dh,lf,1b,3b,rf,2b,c,Brandon Nickolite,mount marty college,Mount Marty College,Nickolite (),,9.0,Y,,"Tucson, Ariz. (Kino Sports Complex)",  ,  ,,"luther college
",Luther College,Alex Weber,NA,Jon Opdahl,Mitch Knippenberg,David Lowe,Aldon Severson,Andrew Burgmeier,Joe Silversmith,Zach Hendrikson,Ryan Vijums,3,13,Carlos Pineda,15,202600300,cf,NA,2b,dh,3b,lf,1b,ss,c,rf,Mitch Adams,Adams (1-0)
65,"Mar 18, 2015",simaib1,,Jake Esdohr,NA,Devan Wicks,Gage Reis,Jeremy Roehrick,Nick Anderson,Jake Scieszinski,Bud Smith,Taylor Harmon,,3,5,Matt Pennings,7,003020000,cf,NA,lf,1b,3b,rf,ss/p,c,2b,,Zeb Noel,"simpson college
",Simpson College,,,9.0,Y,Noel (0-2),"Indianola, Iowa (McBride Field)",4:05pm   ,2:54   ,HP: Jeff Osborne  1B: Kevin Benzing,aib college of bus.,AIB College of Bus.,"Stout, Jay",NA,"Leverett, Steven","Wardian, Shawn","Ingram, Rob","Daane, Jordan","Robbins, Austin","Jouris, Jacob","Munson, Jon","Ito, Drayson",4,18,"Davis, Jackson",17,321223005,lf/rf,NA,ss/lf,2b,c,3b,dh,1b,rf,cf,"Huffman, Tyler","Huffman, T"
509,"Apr 28, 2015",coecor,,Craig Konrardy,NA,Michael Goerdt,AJ Reuter,Jack Hoffmann,Jory Heckenberg,Grant Henning,Michael Redmond,Andrew Brierton,Cole Tomlinson,2,6,Michael Greene,13,10200030X,ss,NA,lf,1b,rf,3b,c,cf,dh,2b,Jeremy Santiago,"coe college
",Coe College,Samson (0-3),,9.0,Y,"Greene, M","Cedar Rapids, Iowa (Veterans Memorial)",5:02 pm   ,2:25   ,HP: Bret Miell  1B: Ryan Farnsworth,"cornell college
",Cornell College,Joe Gerace,NA,Nate Streb,Beriah Quick,Max Freilinger,Wyatt Kurzejeski,Walker Breard,Tesensky,Tony Medina,Brandon Davis,1,3,Jared Henry,10,000102000,cf,NA,2b,ss,dh,3b,1b,rf,c,lf,Kyle Stennes,Becker (2-0)
50,"Mar 16, 2015",cenaugs,,J.Buescher,NA,B.Brookshaw,G.Kappers,B.Pruszinske,A.Julkowski,A.Welckle,R.Cervenka,R.Hebig,B.Schmahl,1,13,L.Hochmuth,15,006016X,cf,NA,2b,ss,lf,dh,1b,3b,c,rf,L.Chinn,augsburg college,Augsburg College,1-1),,7.0,Y,Wolken (0-1),"Tucson, Ariz. (Kino Sports Complex)",12:30 pm   ,2:25   ,,"central college
",Central College,Zach Zylstra,NA,Kirby Coppess,Adam Lindell,Zach Brown,Ryan Garrett,Spencer Gritsch,Tyler Frideres,Andy Carr,,5,3,Austin Meyer,8,1011000,lf,NA,ss,rf,1b,3b,2b,c,cf,,Dakotah Wolken,L
407,"Mar 21, 2015",coewar3,1,Craig Konrardy,NA,Michael Goerdt,Cole Tomlinson,AJ Reuter,Michael Redmond,Jory Heckenberg,Alec Zwanziger,Andrew Brierton,Thomas Simon,3,6,Ben Jacobson,9,20000400,ss,NA,lf,c,dh,cf,1b,2b,3b,rf,Ben Jacobson,"coe college
",Coe College,"Jacobson, B",,8.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:00 pm   ,2:00   ,HP: Eric Olson  1B: Bret Miell,"wartburg college
",Wartburg College,Tyler Willis,NA,Jacob Thumann,Ryan Kemp,DJ Utley,Milton Croes,Blake Wilson,Tyler Mougin,Jackson Litterer,Robbie Anstoetter,0,7,Taylor Gilson,10,30300001,2b,NA,rf,cf,1b,dh,c,ss,3b,lf,Max Langheinrich,Gilson (2-0)
78,"Apr 07, 2015",simgrn2,,Jake Esdohr,NA,Jake Scieszinski,Gage Reis,Austin Burlin,Zeb Noel,Bud Smith,Jonathan Greiner,Taylor Harmon,Luke Anctil,2,5,Brock Borgeson,9,301000001,cf,NA,ss/p,dh,rf,1b,c,3b,2b,lf/rf,Daultan Gibson,"simpson college
",Simpson College,Annerino (1-1),,9.0,Y,,"Indianola, Iowa (McBride Field)",6:54 pm   ,2:36   ,HP: Todd Savage  1B: Mike Kelly,"grinnell college
",Grinnell College,Niko Takayesu,NA,Sam Galanek,Anthony Mack,Graham Fisher,Matt Hammond,Matt Godinsky,Michael Slattery,Ryan Penaflor,Teague Towner,2,4,Michael Annerino,12,000002002,2b,NA,c,cf,1b,dh,rf,3b,lf,ss,Noah Mathews,Borgeson (1-1)
60,"Mar 08, 2015",bvucor2,2,Neil Marshall,NA,Brandon Wessels,Tanner Truesdell,Bryce Wessels,Bennett Mann,Eric Gurbacki,Ryan Duncan,Devon Harms,Noah Paper,0,3,Lucas Hadaway,3,101010X,cf,NA,lf/c,dh,ss,rf,1b,3b,c,2b,Justin Lange,"buena vista university
",Buena Vista Univ.,Daubach (0-1),,7.0,Y,L,"Tucson, Ariz. (Kino Complex #5)",6:45 PM   ,1:32   ,,"cornell college
",Cornell College,Joe Gerace,NA,John Tesenky,Beriah Quick,Wyatt Kurzejeski,Max Freilinger,TJ Rausch,Walker Breard,Josh Dimmitt,Chuck Rocker,1,0,Eric Daubach,4,0000000,lf,NA,rf,ss,3b,dh,2b,1b,c,cf,Eric Daubach,Lange (1-0)
313,"Mar 20, 2015",coewar2,2,Craig Konrardy,NA,Michael Goerdt,Cole Tomlinson,Jory Heckenberg,Michael Redmond,AJ Reuter,Grant Henning,Alec Zwanziger,Andrew Brierton,2,1,Jeremy Santiago,5,000000001,ss,NA,lf,rf,1b,cf,dh,c,2b,3b,Jack Hoffmann,"coe college
",Coe College,Hoffmann (2-1),,9.0,Y,,"Cedar Rapids, Iowa (Daniels Park)",3:17 pm   ,2:10   ,HP: Ryan Farnsworth  1B: Bret Miell,"wartburg college
",Wartburg College,Tyler Willis,NA,Jacob Thumann,Ryan Kemp,DJ Utley,Milton Croes,Blake Wilson,Tyler Mougin,Jackson Litterer,Matt Kruger,0,7,Gavin Nadermann,18,001001104,2b,NA,rf,cf,1b,dh,c,ss,3b,lf,Michael Knouse,Knouse (3-0)
,"Mar 31, 2015",censim1,1,Jake Esdohr,NA,Gage Reis,Austin Burlin,Jake Scieszinski,Devan Wicks,Jonathan Greiner,Bud Smith,Taylor Harmon,Nick Anderson,0,0,Matt Pennings,3,0000000,cf,NA,1b,rf,ss,lf,3b,c,2b,dh,Matt Pennings,"simpson college
",Simpson College,Pennings (1-4),,7.0,Y,,"Indianola, Iowa (McBride Field)",3:37 pm   ,1:21   ,HP: Patrick McIlhon  1B: Jeff Osborn,"central college
",Central College,Spencer Gritsch,NA,Zach Zylstra,Kirby Coppess,Adam Lindell,Zach Brown,Michael Reuter,Ryan Garrett,Dakotah Wolken,Jacob Hirst,0,1,Matt Schissel,5,1000000,2b,NA,lf,ss,dh,1b,c,3b,rf,cf,Matt Schissel,Schissel (1-1)
250,"Apr 03, 2015",bvuwar2,2,Neil Marshall,NA,Kendall Candor,Tanner Truesdell,Bryce Wessels,Bennett Mann,Brandon Wessels,Eric Gurbacki,Thomas Wisecup,Noah Paper,1,6,Charlie Ruff,11,020220000,cf,NA,dh,lf,ss,rf,c,1b,3b,2b,Kendall Hazel,#14 buena vista univ.,#14 Buena Vista Univ.,Hazel (),,9.0,Y,,"Storm Lake, Iowa (BVU/Storm Lake Field)",6:00pm   ,2:50   ,HP: Patrick McIlhon  1B: Matt Badeaux,#10 wartburg college,#10 Wartburg College,Jackson Litterer,NA,Tyler Willis,Ryan Kemp,DJ Utley,Jacob Thumann,Blake Wilson,Milton Croes,Tyler Mougin,Robbie Anstoetter,2,14,Chris Tomkins,18,150104201,3b,NA,2b,cf,1b,rf,c,dh,ss,lf,Michael Knouse,Gilson (5-0)
71,"Mar 21, 2015",lorsim4,2,Cole Reeg,NA,Anthony Flattery,Patrick Walsh,Spence Bonner,Tony Heiser,Adam Kennedy,Luke Leibforth,Lucas Jacque,Nolan Ritter,3,12,Connor Schreck,16,11503002X,cf,NA,3b,p,1b,rf,lf,2b,c,ss,Patrick Walsh,"loras college
",Loras College,Borgeson (0-1),,9.0,Y,,"Dubuque, Iowa (Petrakis Park)",3:40   ,2:30   ,,"simpson college
",Simpson College,Jake Esdohr,NA,Taylor Harmon,Gage Reis,Austin Burlin,Jake Scieszinski,Jonathan Greiner,Bud Smith,Jeremy Roehrick,Devan Wicks,1,6,Curt Castenson,8,401010000,cf,NA,2b,1b,rf,ss,3b,c,dh,lf,Brock Borgeson,Walsh (2-1)
50,"Mar 09, 2015",cengvle1,1,Hardin,NA,Osborne,Montgomery,Olmsted,Storment,Smith,Brown,McFarland,Berning,2,1,Campbell,5,100000000,cf,NA,lf,c,rf,1b,dh,3b,ss,2b,Opp,greenville college,Greenville College,Opp (0-1),,9.0,Y,Wolken (1),"Sauget, Ill. (GCS Ballpark)",1 pm   ,2:25   ,,"central college
",Central College,Dakotah Wolken,NA,Zach Zylstra,Kirby Coppess,Adam Lindell,Zach Brown,Spencer Gritsch,Andy Carr,Mason Ellis,Michael Reuter,1,2,Dakotah Wolken,10,002000000,cf/p,NA,lf,ss,dh,3b,2b,rf,1b,c,Blake Judkins,Judkins (1-0)
500,"May 15, 2015",warncaa2,,Riley Spetz,NA,Bobby Gregorich,Jimmy Coady,Taylor Carlson,Cody Hanke,Mitch Beau,Kyle McHugh,Ray Greco,Alex Tarras,2,2,Nick Prebelski,8,001010000,ss,NA,cf,rf,3b,lf,dh,1b,2b,c,Mark Kowalke,#7 wis.-stevens point,#7 Wis.-Stevens Point,Kowalke (5-4),,9.0,Y,,"Waterloo, Iowa (Riverfront Stadium)",3:30 pm   ,2:13 hr   ,HP: Michael McGloon  1B: Larry Allen  2B: Jon Fye  3B: David Field,#13 wartburg college,#13 Wartburg College,Jackson Litterer,NA,Tyler Willis,Ryan Kemp,DJ Utley,Jacob Thumann,Blake Wilson,Milton Croes,Mike Brown,Tyler Mougin,0,4,Parker Bolt,3,111000010,lf,NA,2b,cf,1b,rf,c,dh,3b,ss,Parker Bolt,Bolt (7-4)
,"Mar 15, 2015",warsto4,2,Tyler Willis,NA,Jacob Thumann,Ryan Kemp,DJ Utley,Milton Croes,Blake Wilson,Jackson Litterer,Zach Hovick,Robbie Anstoetter,1,7,Taylor Gilson,9,10010410X,2b,NA,rf,cf,1b,dh,c,3b,ss,lf,Shane Chafa,"wartburg college
",Wartburg College,T,,9.0,Y,-1),"Waverly, Iowa (Hertel Field)",3:15 pm   ,2:31   ,,"st. olaf college
",St. Olaf College,K. Davis,NA,J. Mathison,R. Tapani,N. Denn,A. Reiter,A. Alvero,R. Iverson,N. Bauer,,1,2,K. Cronin,4,110000000,ss,NA,2b,3b,c,lf,rf,1b,cf,,T. Maus,Chafa (2-0)
