date,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
4/23/2019,A. Konagel,C. Thompson,D. Paluch,R. Agerbeek,L. Fennelly,D. Pardoe,J. Oglesby,D. Church,J. Egan,3,2,S. Conneely,7,01010000,2b,dh,cf,1b,ss,3b,lf,c,rf,S. Marhefke,LOR,loras,S. Marhefke,,8,,"Dubuque, Iowa ()",3:30 PM,2:16,,DBQ,dubuque,J. Lasswell,J. Valencia,K. Mitchell,T. Kempf,Z. McCoy,J. Clevenger,J. Pawlowski,L. Carroll,J. Goldstein,1,14,T. Carlson,12,01515200,2b,rf,1b,dh,ss,lf,cf,c,3b,T. Carlson,,T. Carlson
3/1/2019,Nolan Schoonveld,Cullen Buck,Devin Rodgers,Jake Dujmovic,Zack Langton,Elliott Engen,Tyler Brick,Broady Russell,Ryan Brauer,0,2,Nate Rubbelke,5,00010100,1b,2b,cf,ss,rf,c,dh,3b,lf,Ben Resnick,,hamline university,Nate Rubbelke,,8,,"Pittsburg, Kansas (Jaycee Ballpark)",10:00,2:10,,LUT,luther,Trent Athmann,Jake Halverson,Jake Vogt,Bryce Hingst,Joe McKibben,Derek McCready,Matt Clark,Owen Vander Linden,Kelby Johnson,4,3,Ross Hingst,8,10010001,c,ss,cf,3b,lf,dh,rf,1b,2b,Joey Cardamon,Cloudy,Ross Hingst
3/9/2019,Quinton McNitt,Matthew Inaba,Jared Booth,Julian Cabrera,Jack Hager,Jonathan Gottlieb,Riley Guieb,Chad Koehler,Kory Crajkowski,2,8,Will Richman,13,10032200000,1b,lf,3b,dh,rf,ss,cf,c,2b,Brock Weirather,,grinnell college,Ryan Jack,,11,,"Topeka, Kan. (Bettis Family Sports)",12:00pm,3:30,,BVU,buena vista,Bryce Rheault,Nick Henrichs,Peyton Renning,Coleman Roberts,Tyler Tennyson,Porter Sartor,Tyler Stoltze,Ryley McGregor,Noah Paper,2,16,Andy Bower,20,00022130008,2b,dh,cf,rf,1b,3b,c,lf,ss,Egan Bonde,,Gage Smart
3/22/2019,Zach Hollingsworth,Kolton Arnold,Truman Schmitt,Josh Breitbarth,Nathan Carlin,Brandon Urias,Brady Held,Tyrese Moore,Richie Hintz,2,2,Brett Kauzlarich,7,000020000,rf,1b,c,dh,ss,3b,lf,cf,2b,Tanner Jansen,SIM,simpson,Tanner Jansen,,9,,"Indianola, Iowa (McBride Field)",6:06 pm,2:14,Home Plate: Lee PrzybylskiFirst: Mike Kelly,BVU,buena vista,Bryce Rheault,Nick Henrichs,Peyton Renning,Tyler Tennyson,Coleman Roberts,Tyler Stoltze,Noah Paper,Ryley McGregor,Easton Bahr,0,4,Gage Smart,8,001100020,2b,p/dh,cf,1b,rf,c,ss,lf,3b,Nick Henrichs,"57, sunny",Gage Smart
3/4/2019,TJ Johnson,Kevin DeLaney,Jordan Kaplan,Kyle Alvarado,Jacob Burns,Daniel Berger,Jacob Henry,TJ Deardorff,Cameron Frazier,0,4,TJ Deardorff,7,20100001,ss,rf,1b,dh,lf,c,3b,2b/p,cf,Andrew Schmit,,coe college,Johnson,,8,,"Auburndale, Fla. (Lake Myrtle Main)",5;45 pm,2;15,,,ohio northern,Klinehoffer,Thomas,Burkett,Davis,Overholt,P.Buckingham,Thwaits,Zeleznik,Rocco,2,3,Johnson,8,00003000,rf,1b,dh,lf,3b,2b,cf,c,ss,Mohr,82 partly cloudy west 10-15mph,TJ Deardorff
3/17/2019,L. Fennelly,A. Konagel,C. Thompson,J. Oglesby,R. Agerbeek,D. Paluch,D. Pardoe,D. Church,J. Egan,2,16,J. Lopez,13,30013153X,ss,2b,dh,lf,1b,cf,3b,c,rf,S. Marhefke,,loras,Cross,Wallace faced 1 batter in the 6th.,9,,"Carol Stream, Ill. ()",10:00 AM,1:10 PM,Home Plate: Greg GodsilFirst: Bill Lopina,,northland,Matteson,Schramm,Cross,Bethel,Arreazola,Veit,Kraft,Warren,Stuckart,3,9,Reuter,14,010203300,1b,lf,3b/p,rf,ss,c/2b,2b,cf,dh/p,Ferry,,J. Lopez
3/14/2019,Noah Sacco,Kolton Arnold,Truman Schmitt,Josh Breitbarth,Brandon Urias,Nathan Carlin,Devin Creger,Brady Held,Zach Hollingsworth,3,10,Tanner Jansen,18,220400011,lf,1b,c,dh,2b,ss,3b,rf/lf,cf,Tom Kunzer,,simpson,Keith Haina,Kunzer faced 4 batters in the 3rd.,9,,"Kissimmee, Fla. (Osceolo Heritage Par)",9:00 am,3:15,,,beloit,Nick Schmidt,Garrison Ferone,Jalen Davis,Ethan Conley,Mitch Campbell,Bronson Balholm,Terrence Cribbs,Drew Freitag,Brice Call,2,9,Keith Haina,8,004201020,lf,ss,cf,2b,dh,c,3b,1b,rf,Danny Belling,,Tanner Jansen
4/20/2019,Peyton Renning,Bryce Rheault,Joe Rock,Coleman Roberts,Nick Henrichs,Logan Mueller,Ryley McGregor,Tyler Stoltze,Noah Paper,2,15,Tate Holmes,19,21342030X,cf,2b,1b,rf,p/dh,3b,lf,c,ss,Nick Henrichs,,buena vista univ.,Darren Kilpatrick,VanHouten faced 3 batters in the 8th.,9,,"Storm Lake, Iowa (BVU/SL HS BB Field)",1:00pm,2:25,Home Plate: Josh MaraFirst: Taylor Sheeks,WAR,wartburg college,JoJo McNair,Parker Ridge,Tyler Hovick,Tyler Nunemaker,Emmanuel Jeffery,Brett Kelting,Ethan Hayes,Max Goodhue,Joesph Baumann,0,8,Bryce Butler,15,100150010,cf,ss,2b,rf,1b,dh,3b,lf,c,Darren Kilpatrick,,Nick Henrichs
4/26/2019,Kelby Johnson,Jake Halverson,Trent Athmann,Luke Plunkett,Bryce Hingst,Owen Vander Linden,Joe McKibben,Jake Vogt,Tommy Gleason,2,6,Nate Loch,10,202020000,2b,ss,rf,c,3b,1b,lf,cf,dh,Joey Cardamon,LUT,luther college,Joey Cardamon,Cardamon faced 2 batters in the 6th.,9,Gage Smart,"Decorah, Iowa (Luther College)",2:00 pm,2:40,Home Plate: David RamosFirst: Allan Gruwell,BVU,buena vista,Peyton Renning,Bryce Rheault,Joe Rock,Coleman Roberts,Nick Henrichs,Logan Mueller,Ryley McGregor,Tyler Stoltze,Noah Paper,2,9,Gage Smart,11,320101020,cf,2b,1b,rf,p/dh,3b,lf,c,ss,Nick Henrichs,55 and Sunny,Eric LaRue
3/17/2019,Bryce Rheault,Nick Henrichs,Peyton Renning,Coleman Roberts,Tyler Tennyson,Tyler Stoltze,Alex Savary,Parker Truesdell,Noah Paper,2,3,Austin Scott,3,000001020,2b,p/dh,cf,rf,1b,c,lf,3b,ss,Nick Henrichs,,buena vista,Nick Henrichs,,9,Alex Denzler,"Tucson, Ariz. (Kino SC 4)",10:00 AM,2:20,,,macalester,Jared Abelson,Soren Roe,Graham Low,Sam Goldberg,Leonardo Bucello,Jack Sahargun,Lian Lincoln,Carl Francalangia,Cooper Jensen,3,5,Alex Denzler,8,001000301,dh,lf,c,rf,1b,cf,3b,2b,ss,Andrew Polk,,Andrew Polk
3/3/2019,JoJo McNair,Parker Ridge,Emmanuel Jeffery,Tyler Nunemaker,Ben DeKruyf,Joesph Baumann,Collin Guinn,Ethan Hayes,Tyler Hovick,0,22,Emmanuel Jeffery,23,40310(13)1X,cf,ss,dh/p,rf,lf,c,1b,3b,2b,Dylan Gotto,,wartburg college,A. Kroeger,J. Miceli faced 1 batter in the 4th.,8,,"Winter Haven, FL (Chain of Lakes)",2:30 pm,3:00,,,desales university,E. Plummer,P. Amato,C. Barebo,S. Hanczaryk,B. Scanlon,A. Fritz,N. White,F. Licari,C. Mish,3,11,M. Antos,15,50114000,rf,2b,cf,c,1b,dh,lf,3b,ss,I. Kacergis,,Tony Rex
5/17/2019,Kevin DeLaney,Riley LeGrand,Jordan Kaplan,Jacob Burns,TJ Johnson,Nolan Arp,Jacob Henry,Isaac Evans,Daniel Berger,2,10,Lucas Robbins,15,10320121X,rf,lf,1b,dh,ss,2b,3b,cf,c,Zach Kammin,,coe college,"Roycroft, C.",,9,,"St. Louis, Mo. (Kelly Field)",1:30 PM,2:33,Home Plate: Aaron AshlockFirst: John FyeThird Base: Brad Snyder,,aurora,"Purviance, D","Mayes, J.","Gill, AJ","Dobravec, P.","Wedekind, J.","Rivard, C.","White, D.","Bachio, J.","Wiskow, A.",3,1,Poffenberger,6,010000000,cf,ss,1b/lf,dh,c,3b,rf,lf,2b,"Roycroft, C.","85 degrees, blue skies",Zach Kammin 
3/26/2019,Bryce Rheault,Nick Henrichs,Peyton Renning,Tyler Tennyson,Coleman Roberts,Joe Rock,Alex Savary,Porter Sartor,Noah Paper,0,5,Tate Holmes,15,100030001,2b,c,cf,dh,rf,1b,lf,3b,ss,Casey Hendricks,,buena vista univ.,Clayton Christian,,9,Jimmy Skroch,"Storm Lake, Iowa (BVU/SL HS Field)",2:00pm,2:40,,,hamline univ.,Nolan Schoonveld,Cullen Buck,Zack Langton,Elliott Engen,Logan Tollefson,Broady Russell,Jake Dujmovic,Cyle Hartwig,Avery Nelson,0,7,Jimmy Skroch,8,001011220,1b,2b,cf,dh,lf,3b,ss,c,rf,Evan Bayer,,Ben Resnick
4/29/2019,JoJo McNair,Parker Ridge,Tyler Hovick,Tyler Nunemaker,Brett Kelting,Andrew Walker,Max Goodhue,Collin Guinn,Joesph Baumann,0,4,Aaron Eybers,9,01001101X,cf,ss,2b,rf,dh,3b,lf,1b,c,Darren Kilpatrick,WAR,wartburg college,Jansen,,9,Aaron Eybers,"Waverly, Iowa (Hertel Field)",5:30 p.m,1:49 hr,,SIM,simpson college,Creger,Sacco,Schmitt,Carlin,Arnold,Held,Hollingswort,Moore,Hintz,2,2,Kauzlarich,5,000002000,3b,lf,c,ss,1b,dh,rf,cf,2b,Jansen,,Darren Kilpatrick
