No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Axis [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
125,1/29/20,15:51:15,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,33.745,0.1,-2.562,1963,237.411,2:00,1.679,-0.312,1.619,-1.057,0.203,0.276,0.651,0.145,30.558,-7.662,-0.525,0.512,,,,,,,,,,,,-0.167,0.121,-0.244,15.24,1.673,1.395,-33.396,-0.321,-2.404,6.692,-8.069,Coe College,Coe College,,,,,{1CF11EAE-61E8-41C1-B79E-C8AB38A10911},0.145,0.651,
126,1/29/20,15:51:31,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,,,Top,,,,Curveball,,,,,,,,,28.909,1.449,-4.645,1907,255.669,2:30,1.679,-0.645,1.611,-1.668,0.059,0.156,0.426,0.531,25.707,-10.885,-3.48,0.607,,,,,,,,,,,,-0.131,0.06,-0.518,15.24,1.705,2.267,-28.475,0.221,-1.33,5.939,-9.198,Coe College,Coe College,,,,,{678C0C6E-517E-487B-98FB-58E0F7EBBAFF},0.531,0.426,
127,1/29/20,15:51:50,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,30.565,3.98,1.549,2258,259.862,2:45,1.568,-0.49,1.643,-1.436,0.101,0.125,1.271,-1.057,27.414,-6.634,2.475,0.567,,,,,,,,,,,,-0.053,0.042,-0.533,15.24,1.664,-0.856,-30.184,1.643,-0.62,5.772,-9.321,Coe College,Coe College,,,,,{079F58B1-FF17-4FE4-88F9-C6B8FB5A4FAE},-1.057,1.271,
128,1/29/20,15:52:08,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,27.38,2.242,-4.734,1969,18.668,6:30,1.878,-0.453,1.607,-2.008,-0.079,-0.19,0.514,1.095,25.005,-12.373,-6.13,0.636,,,,,,,,,,,,0.059,-0.032,-0.32,15.24,1.923,2.29,-26.99,0.478,0.551,4.684,-10.103,Coe College,Coe College,,,,,{83F655D2-3238-4381-A42E-55C9DF5CE463},1.095,0.514,
129,1/29/20,15:52:26,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,26.606,4.335,-3.637,1929,292.52,3:45,1.861,-0.54,1.46,-2.152,-0.068,0.24,0.966,0.272,24.024,-11.321,-1.875,0.662,,,,,,,,,,,,-0.158,-0.041,-0.432,15.24,1.971,1.592,-26.184,1.339,-1.379,4.432,-10.167,Coe College,Coe College,,,,,{641FB400-120C-4967-A0A4-F94151CFE0F6},0.272,0.966,
130,1/29/20,15:52:42,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,29.936,0.946,-0.987,1583,214.597,1:15,1.602,-0.458,2.082,-1.138,0.368,0.229,0.727,-0.412,27.163,-7.652,0.752,0.56,,,,,,,,,,,,-0.136,0.217,-0.44,15.24,1.615,0.458,-29.726,0.219,-1.551,5.37,-7.336,Coe College,Coe College,,,,,{6A4E0D6E-B0FF-4442-9964-129FB45772C3},-0.412,0.727,
131,1/29/20,15:53:00,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,26.669,6.433,-3.182,1912,342.199,5:30,1.806,-0.404,1.626,-2.417,-0.374,0.062,1.239,0.446,24.031,-11.323,-2.725,0.655,,,,,,,,,,,,-0.061,-0.223,-0.316,15.24,1.964,1.439,-26.194,2.285,-0.535,4.461,-11.759,Coe College,Coe College,,,,,{9085725A-A464-4BCD-A2F6-40953440190E},0.446,1.239,
132,1/29/20,15:53:15,0,0,Donnie Jestel,{E7C28FC3-1658-4970-A852-BBFF88FF8197},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,34.086,3.515,-0.653,2015,261.676,2:45,1.78,-0.485,1.755,-1.094,0.122,0.263,1.684,-0.562,30.706,-4.614,1.301,0.503,,,,,,,,,,,,-0.147,0.051,-0.47,15.24,1.861,0.296,-33.73,1.703,-2.152,6.801,-9.064,Coe College,Coe College,,,,,{E931662D-7869-4AAA-9EC6-CD2CFD55CD60},-0.562,1.684,
133,1/29/20,15:54:21,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,38.049,-0.709,-1.692,1197,189.599,12:15,1.741,-0.485,1.874,-0.681,0.277,0.005,0.86,-0.014,34.605,-5.778,-1.653,0.445,,,,,,,,,,,,-0.016,0.165,-0.446,15.24,1.72,1.113,-37.746,-0.708,-0.292,8.115,-6.764,Coe College,Coe College,,,,,{E0467654-0F27-4A36-88CC-D3CCAF13C288},-0.014,0.86,
134,1/29/20,15:54:32,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,38.21,-1.611,-2.898,2481,229.113,1:45,1.727,-0.376,1.911,-0.72,0.228,0.251,0.554,0.187,34.766,-6.972,-1.016,0.443,,,,,,,,,,,,-0.16,0.146,-0.312,15.24,1.686,1.83,-37.867,-1.315,-2.976,8.219,-7.099,Coe College,Coe College,,,,,{51EE0BEC-ED7C-464F-BDA2-F1C71F992960},0.187,0.554,
