No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
21,2019/11/06,15:18:36,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,33.148,-1.787,-0.522,1704.00,163.065,11:30,1.782,0.257,2.086,-0.283,0.667,-0.203,0.525,0.017,30.002,-7.547,-1.397,0.504,,,,,,,,,,,,0.150,0.493,-0.206,15.240,1.792,-0.082,-32.814,-1.926,2.098,6.061,-2.919,"Coe College","Coe College",,,,,{2B971693-834D-4603-BF1F-9B83F82CBFB8},-0.012,0.558
22,2019/11/06,15:18:49,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,33.628,-0.522,-0.397,1919.00,180.678,12:0,1.718,0.292,2.069,-0.246,0.666,0.008,0.790,0.138,30.565,-6.466,-0.900,0.494,,,,,,,,,,,,-0.006,0.491,-0.293,15.240,1.807,0.346,-33.373,-1.505,-0.085,5.800,-2.643,"Coe College","Coe College",,,,,{F4A16D98-A689-422D-8F14-49F09EB20119},-0.142,0.829
23,2019/11/06,15:19:01,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,33.379,1.228,0.654,1910.00,191.666,12:30,1.628,0.321,2.097,-0.450,0.473,0.098,1.093,0.324,30.253,-5.467,-0.586,0.497,,,,,,,,,,,,-0.072,0.350,-0.415,15.240,1.719,0.408,-33.119,-0.176,-1.039,5.659,-4.778,"Coe College","Coe College",,,,,{430D4704-6166-452B-88A0-B2496C352B72},-0.338,1.119
24,2019/11/06,15:19:12,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.057,-0.782,-0.859,1968.00,188.618,12:15,1.726,0.432,2.117,-0.252,0.633,0.096,0.725,0.391,30.996,-6.751,0.641,0.487,,,,,,,,,,,,-0.071,0.469,-0.436,15.240,1.784,0.418,-33.795,-1.549,-1.064,5.996,-2.792,"Coe College","Coe College",,,,,{210A2353-7942-44C7-A55F-5564331C6FD6},-0.356,0.785
25,2019/11/06,15:22:14,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,39.230,-2.262,-0.440,1404.00,175.588,11:45,1.830,0.297,1.969,-0.164,0.526,-0.041,0.835,0.160,35.516,-5.035,-0.586,0.431,,,,,,,,,,,,0.030,0.383,-0.233,15.240,1.851,0.046,-38.864,-2.102,0.577,8.921,-2.329,"Coe College","Coe College",,,,,{883B40B7-B273-417F-B548-0902CEB37332},-0.169,0.826
26,2019/11/06,15:22:46,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,39.129,0.530,-0.135,1395.00,165.907,11:30,1.696,0.467,1.928,-0.361,0.331,-0.083,1.234,0.553,35.402,-4.067,0.788,0.432,,,,,,,,,,,,0.061,0.241,-0.356,15.240,1.807,-0.724,-38.898,-0.455,1.178,9.224,-5.118,"Coe College","Coe College",,,,,{55875B82-C64C-4708-8A15-6A450AD826B0},-0.551,1.216
27,2019/11/06,15:23:14,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,39.019,-1.732,-1.152,2098.00,264.922,2:45,1.658,0.531,1.973,-0.675,0.020,0.228,0.478,0.068,35.446,-6.929,-2.201,0.433,,,,,,,,,,,,-0.167,0.015,-0.585,15.240,1.539,1.839,-38.600,-0.736,-3.225,8.482,-9.523,"Coe College","Coe College",,,,,{5EB231C8-70E4-48E2-B67B-D8B528EFD6A7},-0.107,0.476
28,2019/11/06,15:23:32,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,39.329,-4.616,-0.110,1131.00,183.715,12:0,2.017,0.216,1.921,0.169,0.857,0.056,0.475,-0.071,35.780,-6.491,-1.991,0.431,,,,,,,,,,,,-0.041,0.624,-0.267,15.240,1.769,0.909,-38.919,-3.450,-0.793,8.918,2.408,"Coe College","Coe College",,,,,{91D20F9A-C5BA-4CCC-8433-08398F13875C},0.033,0.585
29,2019/11/06,15:24:21,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,39.471,-0.190,0.272,2128.00,198.672,12:30,1.640,0.432,1.990,-0.423,0.257,0.087,0.884,0.508,35.703,-5.470,0.327,0.428,,,,,,,,,,,,-0.064,0.189,-0.513,15.240,1.686,0.308,-39.077,-0.782,-1.254,9.228,-6.099,"Coe College","Coe College",,,,,{A9BFC39C-CB50-4BE7-9F91-917D3E9E5874},-0.490,0.893
30,2019/11/06,15:24:40,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,39.385,-6.582,-2.335,2163.00,162.393,11:30,2.098,0.325,2.017,-0.040,0.640,-0.203,0.126,-0.631,36.091,-7.575,-4.562,0.427,,,,,,,,,,,,0.148,0.467,-0.276,15.240,1.961,1.702,-38.942,-4.507,2.929,8.295,-0.580,"Coe College","Coe College",,,,,{C7DD5F64-0C5B-45FE-A4EE-C5D5E7D88E8E},0.631,0.126
