No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
247,2019/02/05,16:43:53,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Foul Ball",,,,,,,76.951,2.549,-2.150,1691.00,284.396,3:30,"4' 3""","1' 6""","7' 7""",-49.264,-5.205,20.278,"2' 6""","1' 3""",69.716,-6.963,1.767,0.478,,,,,,,,,,,,-17.232,9.598,"-1' 5""",50',"4' 4""",4.323,-112.384,4.007,-18.430,21.760,-36.812,"Coe College","Coe College",,,,,{A006ACD4-5D68-40BE-B902-76BE3FEF9C38},"-1' 4""","2' 5"""
248,2019/02/05,16:44:12,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Top,,,,Slider,,Single,,,,,,,71.262,2.503,-2.646,1101.00,231.361,1:45,"4' 3""","1' 5""",7',-47.122,5.534,6.923,"2' 7""","0' 5""",64.320,-6.615,-1.651,0.522,68.277,0.930,22.110,,,,,"40' 3""",,,0.426,-7.909,14.049,"-1' 3""",50',"4' 4""",4.352,-103.950,4.264,-3.626,17.602,-33.275,"Coe College","Coe College",,,,,{327C1FA2-1A32-47B7-9060-F987D95C62CD},"0' 5""","2' 6"""
249,2019/02/05,16:46:29,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Gannon OBrien",{9E4FF111-F03D-42B8-9E72-0AD3B64F7FA9},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,75.482,2.279,-1.077,1103.00,140.218,10:45,"4' 9""","1' 11""","5' 10""",-45.170,3.707,-3.086,"3' 1""","0' 8""",68.205,-6.211,-1.917,0.503,,,,,,,,,,,,1.128,11.272,"-1' 9""",50',"4' 11""",1.424,-110.172,3.794,3.829,19.129,-35.288,"Coe College","Coe College",,,,,{0919A21D-84CD-4BAF-91B9-E29AFC7B08B8},"0' 8""","2' 11"""
250,2019/02/05,16:46:42,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Gannon OBrien",{9E4FF111-F03D-42B8-9E72-0AD3B64F7FA9},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,75.961,1.285,-4.612,2175.00,82.561,8:45,"4' 11""","1' 11""","5' 5""",-49.896,-1.584,-12.129,"1' 11""","-3' 5""",69.640,-8.031,-6.519,0.500,,,,,,,,,,,,-7.850,12.118,"-1' 6""",50',"4' 11""",9.886,-111.533,1.640,4.059,20.996,-36.977,"Coe College","Coe College",,,,,{0CAFE7D3-7B4D-4014-9161-6A3B53BB123F},"3' 5""","1' 11"""
251,2019/02/05,16:46:56,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Gannon OBrien",{9E4FF111-F03D-42B8-9E72-0AD3B64F7FA9},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Foul Ball",,,,,,,84.670,0.872,-3.849,2069.00,237.634,2:0,"4' 10""","1' 8""","6' 1""",-28.204,11.138,17.574,"3' 3""","0' 5""",76.052,-4.509,-0.657,0.451,,,,,,,,,,,,-17.107,13.392,"-1' 5""",50',"4' 10""",7.724,-122.089,2.120,-16.649,23.795,-30.178,"Coe College","Coe College",,,,,{D6FAF149-7331-47D1-BE09-7AB641B63A2B},"0' 4""","3' 2"""
252,2019/02/05,16:47:14,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Gannon OBrien",{9E4FF111-F03D-42B8-9E72-0AD3B64F7FA9},R,"Coe College","Wind Up",,Top,,,,Slider,,Single,,,,,,,74.670,3.138,-1.243,2392.00,353.304,5:45,"4' 7""","1' 5""","5' 11""",-52.106,-2.060,0.242,"3' 2""","0' 4""",67.240,-6.676,-1.420,0.509,73.859,29.545,12.459,,,,,"241' 2""",,,3.465,3.833,8.726,"-1' 3""",50',"4' 10""",0.864,-108.550,4.850,6.621,19.074,-37.775,"Coe College","Coe College",,,,,{05CF6182-521D-4AA0-B167-9E55322887DE},"0' 2""",3'
253,2019/02/05,16:47:34,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,83.410,-1.370,-2.541,2046.00,240.611,2:0,"5' 3""","1' 7""","7' 1""",-30.983,7.244,12.861,"1' 5""","0' 4""",76.099,-7.267,0.002,0.445,,,,,,,,,,,,-14.038,19.554,"-1' 5""",50',"5' 1""",5.677,-121.430,-3.058,-14.546,23.154,-28.733,"Coe College","Coe College",,,,,{EBDCA081-E494-456E-9BA2-2BC640AA4E30},"0' 4""","1' 4"""
254,2019/02/05,16:47:46,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,84.301,0.867,-4.539,2109.00,240.898,2:0,"4' 11""","1' 8""","5' 6""",-27.838,12.613,22.659,"3' 5""","0' 8""",75.728,-4.407,-0.461,0.458,,,,,,,,,,,,-17.727,17.743,"-1' 3""",50',5',8.242,-121.194,1.172,-16.554,23.105,-24.587,"Coe College","Coe College",,,,,{D0EFE358-3786-47AA-8965-966BC46DA8EB},"0' 8""","3' 4"""
255,2019/02/05,16:47:59,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Wind Up",,Top,,,,Changeup,,Single,,,,,,,75.740,2.043,-2.892,1627.00,221.639,1:30,"4' 8""","1' 7""","5' 10""",-39.510,9.008,8.008,"3' 3""","0' 5""",68.447,-5.428,-1.440,0.501,69.402,-9.390,-32.159,,,,,"16' 8""",,,0.164,-12.154,17.171,"-1' 5""",50',"4' 9""",5.842,-110.598,2.995,-8.290,21.049,-28.011,"Coe College","Coe College",,,,,{159D09D5-65DF-4997-B93E-4DB22050B8C5},"0' 5""","3' 3"""
256,2019/02/05,16:48:25,0,0,"Matt Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Matthew Schrader",{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,84.331,-0.712,-0.073,2066.00,183.881,12:15,5',"1' 8""","6' 7""",-26.134,12.301,0.834,"2' 2""","1' 8""",76.389,-5.716,0.188,0.446,,,,,,,,,,,,-3.878,18.204,"-1' 8""",50',"4' 11""",0.909,-122.817,-1.208,-5.237,26.261,-27.291,"Coe College","Coe College",,,,,{7009250E-24A3-4460-A863-735844B1CCE7},"-1' 9""","2' 1"""
