No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
56,2019/11/20,15:34:53,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.906,-3.406,-0.752,2169.00,168.077,11:30,1.824,0.396,1.980,-0.090,0.619,-0.131,0.562,0.093,35.076,-5.800,-1.366,0.436,,,,,,,,,,,,0.096,0.452,-0.394,15.240,1.671,0.423,-38.504,-2.371,1.808,9.623,-1.249,"Coe College","Coe College",,,,,{DEC572D8-D053-4D36-8B9C-36DA3A8FC787},-0.075,0.608
57,2019/11/20,15:35:09,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.808,-0.395,-1.051,1702.00,199.457,12:45,1.745,0.662,1.924,-0.253,0.460,0.163,1.057,0.439,34.893,-4.760,-0.545,0.438,,,,,,,,,,,,-0.118,0.335,-0.670,15.240,1.771,0.994,-38.387,-1.003,-2.237,9.182,-3.478,"Coe College","Coe College",,,,,{F9C5D401-1EF9-4D11-B013-081229573642},-0.451,1.078
58,2019/11/20,15:35:28,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.082,-2.028,-1.877,1788.00,212.021,1:0,1.667,0.513,2.023,-0.341,0.384,0.240,0.396,-0.032,34.632,-7.327,-2.001,0.441,,,,,,,,,,,,-0.177,0.283,-0.533,15.240,1.655,1.973,-37.695,-2.076,-3.250,8.262,-4.613,"Coe College","Coe College",,,,,{3626A6F2-FEB0-408C-8E18-46DFE184A43C},0.004,0.410
59,2019/11/20,15:35:55,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.854,-3.817,-1.698,2060.00,166.856,11:30,1.827,0.329,2.016,-0.174,0.533,-0.124,0.359,-0.188,35.171,-6.869,-2.045,0.435,,,,,,,,,,,,0.091,0.391,-0.284,15.240,1.664,0.849,-38.430,-2.649,1.727,9.337,-2.414,"Coe College","Coe College",,,,,{7ED0831D-7B57-4384-A700-E1394A9B1CAE},0.202,0.392
60,2019/11/20,15:36:15,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.461,-2.406,0.786,2195.00,175.698,11:45,1.808,0.379,1.967,-0.211,0.470,-0.035,0.607,0.410,35.820,-6.408,-0.504,0.428,,,,,,,,,,,,0.026,0.343,-0.446,15.240,1.708,-0.027,-39.159,-2.031,0.509,9.252,-3.041,"Coe College","Coe College",,,,,{037CE8AC-8B71-4548-98C9-154BFD8E426A},-0.416,0.663
61,2019/11/20,15:37:08,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,39.062,-0.876,-0.827,2100.00,185.289,12:15,1.711,0.259,1.980,-0.267,0.431,0.040,0.945,-0.062,35.263,-4.838,-1.455,0.433,,,,,,,,,,,,-0.029,0.314,-0.284,15.240,1.730,0.955,-38.721,-1.174,-0.561,9.226,-3.751,"Coe College","Coe College",,,,,{31F3E61D-96FD-45B2-8972-B17733A54733},0.055,0.956
62,2019/11/20,15:37:28,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.964,-0.201,-1.069,1895.00,217.556,1:15,1.737,0.417,2.029,-0.449,0.257,0.198,1.044,0.145,34.967,-5.015,-0.896,0.435,,,,,,,,,,,,-0.144,0.187,-0.490,15.240,1.722,1.391,-38.508,-0.397,-2.745,9.100,-6.240,"Coe College","Coe College",,,,,{AC52F72C-DCE1-4FF3-9D60-92A4C99D654C},-0.153,1.053
63,2019/11/20,15:37:46,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.974,0.476,0.401,2151.00,169.216,11:45,1.669,0.415,1.975,-0.562,0.131,-0.025,0.961,0.168,35.376,-5.850,-2.126,0.432,,,,,,,,,,,,0.018,0.096,-0.469,15.240,1.664,0.585,-38.643,-0.088,0.353,8.683,-7.955,"Coe College","Coe College",,,,,{79A29C45-AD05-4C7A-85E7-668C7D5839AB},-0.205,0.988
64,2019/11/20,15:38:07,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.771,-1.319,-1.128,2046.00,199.693,12:45,1.697,0.478,2.089,-0.348,0.357,0.128,0.703,0.253,35.000,-6.077,-0.494,0.434,,,,,,,,,,,,-0.094,0.262,-0.478,15.240,1.681,0.902,-38.496,-1.391,-1.780,9.368,-4.837,"Coe College","Coe College",,,,,{12625091-643D-4E71-BD35-5A06477C4EBA},-0.258,0.722
65,2019/11/20,15:38:23,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,38.948,-4.097,-1.238,2101.00,193.900,12:30,1.856,0.413,2.001,-0.226,0.469,0.116,0.146,0.115,35.564,-8.322,-0.906,0.432,,,,,,,,,,,,-0.085,0.343,-0.389,15.240,1.840,0.965,-38.558,-3.552,-1.640,8.426,-3.184,"Coe College","Coe College",,,,,{5965C910-5B92-4267-BFCB-BD03C31BBE2C},-0.133,0.156
