No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
129,2019/01/29,16:47:15,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,"Called Strike",,,,,,,37.625,-0.758,-3.079,2478.00,210.704,1:0,1.609,0.537,2.128,-0.676,0.292,0.173,0.723,-0.144,34.063,-5.907,-1.836,0.444,,,,,,,,,,,,-0.262,0.457,-0.457,15.240,1.571,1.867,-37.168,-0.375,-2.265,7.074,-8.552,"Coe College","Coe College",,,,,{88F913F4-E425-476C-99F3-1198DE27452F},0.121,0.690
130,2019/01/29,16:47:29,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Changeup,,Ball,,,,,,,34.237,3.044,-2.180,1952.00,279.481,3:15,1.340,0.700,2.353,-1.222,-0.089,0.532,0.952,0.636,30.853,-6.322,1.766,0.481,,,,,,,,,,,,-0.566,0.043,-0.709,15.240,1.360,1.670,-33.947,2.008,-7.189,6.323,-13.561,"Coe College","Coe College",,,,,{9013BDD3-1EDD-4818-9C4F-B4F11BF2E6E9},-0.690,0.877
131,2019/01/29,16:47:45,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,"Called Strike",,,,,,,37.502,0.202,-2.606,2411.00,218.531,1:15,1.543,0.636,2.103,-0.764,0.208,0.166,0.835,0.078,33.984,-5.630,-1.583,0.445,,,,,,,,,,,,-0.212,0.386,-0.578,15.240,1.536,1.550,-37.148,0.121,-1.772,7.063,-9.186,"Coe College","Coe College",,,,,{B0D8B2CE-A645-4755-88CF-E9B8ED9F0524},-0.090,0.804
132,2019/01/29,16:48:06,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,37.914,-0.191,-3.032,2327.00,237.145,2:0,1.580,0.655,2.085,-0.771,0.185,0.286,0.756,0.097,34.371,-6.004,-0.910,0.441,,,,,,,,,,,,-0.271,0.433,-0.574,15.240,1.560,1.720,-37.428,-0.231,-2.773,7.048,-8.666,"Coe College","Coe College",,,,,{C438D086-0775-4852-A66B-AD776001E9BA},-0.102,0.740
133,2019/01/29,16:48:19,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Cutter,,"Called Strike",,,,,,,33.131,0.967,-4.005,,237.065,2:0,1.592,0.763,2.020,-1.055,0.198,0.306,0.808,-0.050,29.991,-6.991,-1.815,0.505,,,,,,,,,,,,-0.401,0.368,-0.683,15.240,1.590,2.287,-32.848,0.618,-3.095,5.302,-10.498,"Coe College","Coe College",,,,,{C3802F08-CF72-4F74-B55D-4AC9B9AF32A9},0.046,0.739
134,2019/01/29,16:48:36,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,34.254,2.718,-1.723,1979.00,298.296,4:0,1.373,0.672,2.373,-1.398,-0.275,0.512,0.717,0.713,31.040,-8.009,1.966,0.478,,,,,,,,,,,,-0.414,-0.044,-0.668,15.240,1.371,1.083,-33.968,1.856,-5.497,6.150,-15.308,"Coe College","Coe College",,,,,{5A841A48-8150-4561-83A8-BCF110CB3179},-0.741,0.643
135,2019/01/29,16:48:51,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.108,1.945,-0.599,1317.00,171.952,11:45,1.579,0.665,2.042,-1.016,0.329,-0.046,1.106,0.452,28.787,-5.778,-1.182,0.524,,,,,,,,,,,,0.056,0.348,-0.626,15.240,1.597,0.116,-31.886,1.259,1.025,5.719,-10.267,"Coe College","Coe College",,,,,{DF38FD4F-8456-420F-8D69-F6D663F9C3DA},-0.451,1.011
136,2019/01/29,16:49:11,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,36.813,-0.417,-2.435,2400.00,191.654,12:30,1.698,0.725,2.081,0.002,1.017,0.210,1.584,0.258,33.088,-0.590,-0.891,0.455,,,,,,,,,,,,-0.206,0.802,-0.666,15.240,1.660,1.334,-36.377,0.136,-1.855,7.604,-1.283,"Coe College","Coe College",,,,,{C13E92E2-D3A3-48AF-9A76-90134E8DE23D},-0.267,1.602
137,2019/01/29,16:49:37,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,37.478,1.915,1.279,2511.00,104.988,9:30,1.414,0.516,2.184,-0.858,0.111,-0.413,1.086,0.456,33.795,-4.632,-1.731,0.444,,,,,,,,,,,,0.113,0.209,-0.563,15.240,1.430,-0.261,-37.148,1.310,1.899,7.682,-10.860,"Coe College","Coe College",,,,,{C85C2C84-E7CF-49B3-BCBD-B89489DC47D7},-0.508,1.041
138,2019/01/29,16:49:48,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,37.489,2.274,-5.598,2478.00,256.040,2:30,1.437,0.771,1.785,-0.854,0.169,0.680,1.230,-0.139,33.701,-4.082,-0.750,0.457,,,,,,,,,,,,-0.517,0.352,-0.590,15.240,1.485,2.951,-36.760,1.098,-5.625,6.581,-8.336,"Coe College","Coe College",,,,,{717A215E-555E-4D40-8852-9F223CD438BE},0.151,1.222
139,2019/01/29,16:50:06,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.816,0.084,0.743,2602.00,166.940,11:30,1.709,0.629,2.032,-0.581,0.692,-0.160,1.151,0.676,29.595,-4.433,-0.409,0.509,,,,,,,,,,,,0.104,0.672,-0.629,15.240,1.687,-0.392,-32.608,0.204,1.093,5.318,-6.304,"Coe College","Coe College",,,,,{810753CB-39E3-47E5-B397-BD8176BC606A},-0.692,1.088
140,2019/01/29,16:50:20,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,"Called Strike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{99B509C1-4127-45F7-9713-2AE3E7C5DD0E},,
141,2019/01/29,16:50:34,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,32.058,2.153,-0.064,1056.00,56.035,7:45,1.452,0.594,2.000,-1.571,-0.215,-0.319,0.482,0.258,28.911,-9.630,-2.042,0.526,,,,,,,,,,,,-0.016,0.125,-0.616,15.240,1.463,0.536,-31.829,1.187,0.537,5.853,-13.783,"Coe College","Coe College",,,,,{221E561A-5D37-4043-BBD7-C805A66C7D22},-0.294,0.426
142,2019/01/29,16:53:15,0,0,"Rheise DeTombe",{DE118B7E-F2D3-4221-BC43-EDB073FFEFC9},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,34.447,-0.598,-3.072,1819.00,187.827,12:15,1.667,0.420,2.107,-0.459,0.687,0.094,1.042,-0.339,31.152,-4.190,-2.395,0.483,,,,,,,,,,,,-0.331,0.641,-0.364,15.240,1.623,2.052,-34.315,-0.040,-2.627,6.601,-6.145,"Coe College","Coe College",,,,,{DB2277D7-98BA-4607-973B-C8E0AED7BDE2},0.292,0.988
143,2019/01/29,16:53:31,0,0,"Rheise DeTombe",{DE118B7E-F2D3-4221-BC43-EDB073FFEFC9},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,34.314,2.535,-2.456,1763.00,271.374,3:0,1.389,0.593,2.214,-1.146,-0.003,0.124,0.943,0.039,30.997,-6.163,-1.488,0.483,,,,,,,,,,,,-0.187,0.239,-0.547,15.240,1.418,1.385,-34.119,1.381,-1.105,6.261,-11.082,"Coe College","Coe College",,,,,{BA377D92-268D-46B7-84C8-8DA340D122EB},-0.035,0.916
144,2019/01/29,16:53:46,0,0,"Rheise DeTombe",{DE118B7E-F2D3-4221-BC43-EDB073FFEFC9},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,30.848,1.649,-4.356,1824.00,287.579,3:30,1.530,0.554,2.328,-1.457,-0.036,0.114,0.526,-0.526,27.746,-9.455,-3.564,0.538,,,,,,,,,,,,-0.323,0.309,-0.472,15.240,1.527,2.256,-30.452,0.925,-1.332,5.318,-11.845,"Coe College","Coe College",,,,,{F988C289-22AC-4801-8939-3FEC7B5CED93},0.499,0.478
